articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524055632,일반상가,월세,1/3,110,"2,000",67,67,동향,20250507,"['25년이상', '융자금없는', '테라스', '1층']",37.602457,126.960725
2523374774,일반상가,월세,B1/3,240,"3,000",122,122,남동향,20250502,"['10년이내', '지하층', '주차가능', '총3층']",37.601271,126.959367
2522152346,일반상가,월세,1/4,110,"2,000",67,67,동향,20250425,"['25년이상', '1층', '주차가능', '총4층']",37.602457,126.960725
2521926621,일반상가,월세,1/1,52,"1,000",18,18,남향,20250424,"['25년이상', '1층', '남향']",37.604707,126.960877
2521754638,일반상가,월세,1/5,75,"2,000",49,49,동향,20250423,"['25년이상', '융자금없는', '1층', '주차가능']",37.605484,126.960001
2520879738,일반상가,월세,1/3,85,"1,000",33,33,남동향,20250418,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.605155,126.960518
2520802466,일반상가,월세,1/3,100,"1,000",21,20,남동향,20250418,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.605155,126.960518
2519916235,일반상가,월세,B1/4,200,"3,000",147,147,남향,20250414,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.604118,126.961798
2519306836,단지내상가,매매,2/2,,52억,895,683,동향,20250411,"['25년이상', '고층', '주차가능', '총2층']",37.605536,126.960334
2519307103,단지내상가,월세,2/2,680,"1억 2,000",349,247,동향,20250411,"['25년이상', '고층', '주차가능', '총2층']",37.605536,126.960334
2518954667,일반상가,월세,1/3,50,"1,000",17,17,남향,20250410,"['25년이상', '융자금적은', '1층', '총3층']",37.604308,126.961522
