articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524610739,일반상가,월세,1/1,89,"2,900",18,18,남향,20250509,"['25년이내', '역세권', '1층', '남향']",37.578653,126.982321
2524428867,일반상가,월세,B1/4,"1,589","1억 6,000",611,442,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.576063,126.983888
2524135447,일반상가,월세,2/2,150,"3,000",22,22,남서향,20250507,"['25년이내', '역세권', '고층', '총2층']",37.578456,126.982253
2523949320,일반상가,월세,1/2,250,"5,000",30,26,북향,20250506,"['4년이내', '역세권', '1층', '총2층']",37.577306,126.984826
2523400765,일반상가,월세,1/2,175,"3,000",23,23,남서향,20250502,"['15년이내', '역세권', '1층', '총2층']",37.576553,126.984309
2523508826,일반상가,월세,1/2,250,"5,000",26,26,북향,20250502,"['4년이내', '역세권', '1층', '주차가능']",37.577306,126.984826
2523186123,일반상가,월세,1/2,250,"5,000",25,25,북향,20250430,"['4년이내', '역세권', '1층', '총2층']",37.577306,126.984826
2522821262,일반상가,월세,1/2,175,"3,000",25,23,서향,20250429,"['15년이내', '역세권', '1층', '총2층']",37.576553,126.984309
2521640388,일반상가,월세,4/4,192,"3,200",105,105,남동향,20250423,"['25년이상', '역세권', '고층', '엘리베이터']",37.57633,126.984555
2521697433,일반상가,월세,B1/4,"1,589","1억 6,000",750,442,남동향,20250423,"['25년이상', '역세권', '지하층', '주차가능']",37.576063,126.983888
2521640462,일반상가,월세,4/4,108,"1,800",59,59,남동향,20250423,"['25년이상', '역세권', '고층', '엘리베이터']",37.57633,126.984555
2519270995,일반상가,월세,1/1,89,"2,900",23,16,남향,20250411,"['25년이상', '역세권', '1층', '남향']",37.578653,126.982321
