articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524432996,일반상가,월세,2/4,250,"5,000",62,59,남동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.57571,126.990382
2523570419,일반상가,월세,1/5,135,"3,000",24,24,동향,20250502,"['25년이상', '역세권', '1층', '총5층']",37.574534,126.990734
2522767853,일반상가,월세,1/5,150,"2,000",49,49,동향,20250428,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.574516,126.99139
2522274150,일반상가,월세,1/2,150,"2,000",68,48,서향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.576489,126.990536
2521738758,일반상가,월세,1/5,135,"3,000",38,38,동향,20250423,"['25년이상', '역세권', '1층', '총5층']",37.574534,126.990734
2521492093,일반상가,월세,1/5,135,"3,000",39,39,동향,20250422,"['25년이상', '역세권', '1층', '총5층']",37.574534,126.990734
2521120585,일반상가,월세,1/5,135,"3,000",40,26,동향,20250421,"['25년이상', '역세권', '1층', '총5층']",37.574534,126.990734
2520515452,일반상가,월세,1/5,400,1억,110,82,동향,20250417,"['25년이상', '역세권', '1층', '총5층']",37.576648,126.990532
2520557088,일반상가,월세,B1/5,400,1억,290,231,서향,20250417,"['25년이상', '역세권', '지하층', '총5층']",37.57683,126.990487
2520088958,일반상가,월세,1/5,150,"2,000",52,46,동향,20250415,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.574516,126.99139
2519121031,복합상가,월세,B1/5,500,"5,000",204,204,북동향,20250410,"['15년이내', '역세권', '지하층', '관리비20만원이하']",37.576135,126.990307
