articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524534469,일반상가,월세,1/8,600,"7,000",46,46,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.577189,126.988155
2523973650,단지내상가,월세,1/5,350,"5,000",123,123,서향,20250507,"['15년이내', '역세권', '1층', '총5층']",37.575806,126.989404
2524080533,일반상가,월세,1/5,250,"6,000",70,70,서향,20250507,"['10년이내', '역세권', '1층', '총5층']",37.576193,126.989409
2523677057,일반상가,월세,B1/4,500,"6,000",156,156,서향,20250503,"['25년이상', '역세권', '지하층', '주차가능']",37.575664,126.989499
2523287898,일반상가,월세,1/5,250,"6,000",70,57,서향,20250502,"['10년이내', '역세권', '1층', '주차가능']",37.576193,126.989409
2522738108,일반상가,월세,8/8,"1,200","1억 4,000",119,102,북향,20250428,"['25년이상', '역세권', '고층', '북향']",37.577189,126.988155
2522165381,일반상가,월세,B1/5,500,"6,000",155,155,남향,20250425,"['25년이상', '융자금없는', '역세권', '지하층']",37.575664,126.989499
2522240561,일반상가,월세,1/5,200,"3,000",55,49,동향,20250425,"['10년이내', '융자금없는', '테라스', '역세권']",37.576138,126.989216
2522036004,일반상가,월세,8/8,"1,200","1억 4,000",163,163,북향,20250424,"['25년이상', '역세권', '고층', '엘리베이터']",37.577189,126.988155
2521168951,단지내상가,월세,1/5,200,"3,000",55,55,동향,20250421,"['10년이내', '역세권', '1층', '총5층']",37.576138,126.989216
2519800151,일반상가,월세,1/8,600,"7,200",66,46,북향,20250414,"['25년이상', '역세권', '1층', '북향']",37.577189,126.988155
2519552909,일반상가,월세,1/4,200,"5,000",79,79,서향,20250412,"['25년이내', '역세권', '1층', '총4층']",37.576791,126.989394
2519171593,일반상가,월세,B1/5,500,"6,000",202,165,남향,20250411,"['25년이상', '역세권', '지하층', '총5층']",37.575664,126.989499
2519267963,일반상가,월세,1/1,200,"2,000",26,26,남향,20250411,"['15년이내', '역세권', '1층', '주차가능']",37.5756,126.989319
