articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524611239,일반상가,월세,1/1,250,"2,500",44,44,북향,20250509,"['25년이상', '역세권', '1층', '북향']",37.573736,126.990714
2524611046,일반상가,월세,1/2,"2,000",3억,416,416,동향,20250509,"['10년이내', '역세권', '1층', '총2층']",37.574154,126.99011
2524395917,일반상가,월세,1/1,400,"7,000",82,82,남서향,20250508,"['25년이내', '역세권', '1층', '남서향']",37.573771,126.990391
2524407081,일반상가,월세,1/1,700,1억,122,122,서향,20250508,"['15년이내', '역세권', '1층', '서향']",37.573066,126.989992
2524474253,일반상가,월세,1/2,"1,200",1억,185,185,남향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.574081,126.989919
2524474834,일반상가,월세,1/2,800,"7,000",90,90,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.574081,126.989919
2524532743,일반상가,월세,1/1,600,"1억 5,000",62,62,서향,20250508,"['25년이상', '역세권', '1층', '서향']",37.573653,126.989583
2524475075,일반상가,월세,2/2,600,"5,000",89,89,남향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.574081,126.989919
2524408617,일반상가,월세,1/1,500,"5,000",99,99,서향,20250508,"['15년이내', '역세권', '1층', '서향']",37.573677,126.990218
2524081222,일반상가,월세,1/1,"1,200","1억 5,000",152,87,동향,20250507,"['25년이상', '역세권', '1층', '동향']",37.573348,126.990401
2523993922,일반상가,월세,B1/2,"1,200",2억,319,319,남동향,20250507,"['10년이내', '역세권', '지하층', '총2층']",37.574114,126.990039
2524095194,일반상가,월세,2/2,300,"5,000",37,37,남향,20250507,"['25년이상', '역세권', '고층', '총2층']",37.573013,126.990139
2524096887,일반상가,월세,1/3,300,"5,000",58,58,동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.573476,126.990548
2524325608,일반상가,월세,1/2,400,"5,000",89,89,남향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.574021,126.989431
2523974053,일반상가,월세,1/1,"1,150","1억 5,000",102,102,남동향,20250506,"['25년이상', '융자금없는', '역세권', '1층']",37.573993,126.990176
