articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609149,일반상가,월세,1/2,700,"8,000",82,82,북서향,20250509,"['10년이내', '역세권', '1층', '총2층']",37.571504,126.985003
2524633497,일반상가,월세,2/8,650,2억,115,82,남향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '엘리베이터']",37.572073,126.986614
2524633313,일반상가,월세,8/8,640,"1억 5,000",132,105,남향,20250509,"['2년이내', '역세권', '고층', '엘리베이터']",37.572073,126.986614
2524633202,일반상가,월세,3/8,590,"1억 5,000",132,105,남향,20250509,"['2년이내', '역세권', '중층', '엘리베이터']",37.572073,126.986614
2524633380,일반상가,월세,B1/8,450,1억,115,82,남향,20250509,"['2년이내', '역세권', '지하층', '엘리베이터']",37.572073,126.986614
2523975245,일반상가,월세,1/4,450,1억,61,61,남향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.572879,126.985659
2524241650,일반상가,월세,1/8,420,"5,000",33,33,동향,20250507,"['10년이내', '역세권', '1층', '동향']",37.572674,126.986322
2523431506,일반상가,월세,B1/4,120,"2,000",61,61,남향,20250502,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.572879,126.985659
2523302665,일반상가,월세,2/6,270,"8,000",149,149,북서향,20250502,"['25년이상', '역세권', '지상층(1층제외)', '북서향']",37.572279,126.986568
2523204084,일반상가,월세,8/8,640,"1억 5,000",105,105,북동향,20250430,"['2년이내', '역세권', '고층', '북동향']",37.572073,126.986614
2523204283,일반상가,월세,5/8,590,"1억 5,000",105,105,북동향,20250430,"['2년이내', '역세권', '중층', '북동향']",37.572073,126.986614
2523174297,일반상가,월세,2/6,344,"8,000",148,148,남향,20250430,"['25년이상', '역세권', '지상층(1층제외)', '남향']",37.572279,126.986568
2522703816,일반상가,월세,2/6,270,"8,000",194,148,동향,20250428,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.572279,126.986568
2522635430,복합상가,매매,1/15,,"1억 2,000",14,8,서향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.571923,126.987261
2522546318,일반상가,월세,1/1,850,"1억 5,000",46,46,남동향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.57193,126.9867
2521922070,일반상가,월세,1/1,"2,500",5억,477,477,북향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.572372,126.986118
2521489236,일반상가,월세,4/4,150,"1,500",70,59,북향,20250422,"['25년이상', '역세권', '고층', '총4층']",37.572887,126.986147
2521366045,일반상가,월세,1/8,"1,060",3억,99,66,동향,20250421,"['2년이내', '역세권', '1층', '동향']",37.572073,126.986614
2520797093,일반상가,월세,4/4,150,"1,500",70,70,북향,20250418,"['25년이상', '역세권', '고층', '총4층']",37.572887,126.986147
2520756664,일반상가,매매,1/1,,152억,198,198,북향,20250418,"['25년이상', '역세권', '1층', '북향']",37.572372,126.986118
2520485301,일반상가,월세,3/8,640,"1억 5,000",105,105,동향,20250417,"['2년이내', '역세권', '중층', '동향']",37.572073,126.986614
2520484911,일반상가,월세,2/8,650,2억,82,82,동향,20250417,"['2년이내', '역세권', '지상층(1층제외)', '동향']",37.572073,126.986614
2520487191,일반상가,월세,6/8,590,"1억 5,000",105,105,동향,20250417,"['2년이내', '역세권', '고층', '동향']",37.572073,126.986614
2520487755,일반상가,월세,7/8,590,"1억 5,000",105,105,동향,20250417,"['2년이내', '역세권', '고층', '동향']",37.572073,126.986614
2520484649,일반상가,월세,B1/8,450,1억,82,82,동향,20250417,"['2년이내', '역세권', '지하층', '동향']",37.572073,126.986614
2520485587,일반상가,월세,4/8,590,"1억 5,000",105,105,동향,20250417,"['2년이내', '역세권', '중층', '동향']",37.572073,126.986614
2520247311,일반상가,월세,1/5,400,1억,61,61,남향,20250416,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572879,126.985659
2520356843,일반상가,월세,1/8,"1,060",3억,112,82,서향,20250416,"['2년이내', '역세권', '1층', '서향']",37.572073,126.986614
2520360082,일반상가,월세,4/8,590,"1억 5,000",132,105,서향,20250416,"['2년이내', '역세권', '중층', '서향']",37.572073,126.986614
2520255284,일반상가,월세,2/5,180,"2,000",56,56,남향,20250416,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.572879,126.985659
2520216183,일반상가,월세,전체층/2,"1,500",2억,380,351,남향,20250416,"['25년이상', '융자금적은', '역세권', '총2층']",37.57234,126.987049
2520339895,일반상가,월세,B1/8,450,1억,112,82,서향,20250416,"['2년이내', '역세권', '지하층', '서향']",37.572073,126.986614
2520027857,일반상가,월세,1/4,"1,800",2억,234,234,남동향,20250415,"['25년이상', '역세권', '1층', '총4층']",37.572187,126.986992
2519018860,복합상가,월세,2/6,270,"8,000",194,194,동향,20250410,"['25년이상', '역세권', '지상층(1층제외)', '엘리베이터']",37.572279,126.986568
