articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2523892822,복합상가,매매,1/19,,3억,13,6,서향,20250509,"['25년이내', '역세권', '1층', '급매']",37.571498,126.998656
2523505567,복합상가,매매,B2/19,,"1억 8,000",200,84,남동향,20250502,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2522879270,일반상가,월세,1/5,270,"5,000",80,80,동향,20250429,"['25년이상', '역세권', '1층', '총5층']",37.5719,126.999573
2522794884,복합상가,매매,2/19,,"4,000",31,12,서향,20250429,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.571498,126.998656
2522600265,복합상가,매매,1/19,,"4,000",23,9,남동향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.571498,126.998656
2522602011,복합상가,매매,B2/19,,"4,000",95,27,남동향,20250428,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2521868889,복합상가,월세,1/14,220,"3,000",36,36,남향,20250424,"['4년이내', '융자금없는', '역세권', '1층']",37.572634,126.998807
2521805249,일반상가,월세,1/1,300,"4,000",41,41,동향,20250423,"['25년이상', '역세권', '1층', '동향']",37.571691,126.99975
2521175017,단지내상가,매매,B1/19,,6억,100,38,동향,20250421,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2520681682,복합상가,월세,B2/19,10,500,36,29,남향,20250418,"['25년이내', '융자금없는', '역세권', '지하층']",37.571498,126.998656
2520186495,단지내상가,매매,B2/19,,"5억 5,000",104,43,남향,20250416,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2520186352,단지내상가,매매,B2/19,,"5억 2,000",102,42,남향,20250416,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2520277801,일반상가,매매,1/19,,3억,16,6,서향,20250416,"['25년이내', '역세권', '1층', '주차가능']",37.571498,126.998656
2520186604,단지내상가,매매,B2/19,,"15억 5,000",308,129,남향,20250416,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2519663932,일반상가,월세,1/5,260,"1,800",90,90,동향,20250414,"['25년이상', '융자금없는', '역세권', '1층']",37.571632,126.999797
2518939807,복합상가,월세,B2/19,50,"1,000",101,29,남서향,20250410,"['25년이내', '역세권', '지하층', '주차가능']",37.571498,126.998656
2519134813,일반상가,월세,1/1,270,"4,000",42,42,동향,20250410,"['25년이상', '역세권', '1층', '동향']",37.571691,126.99975
