articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524504965,일반상가,월세,1/4,670,1억,68,68,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.579112,126.985665
2524424726,일반상가,월세,1/1,400,"8,000",58,58,남향,20250508,"['25년이상', '역세권', '1층', '남향']",37.577946,126.986299
2523948892,일반상가,월세,2/3,650,"1억 5,000",135,135,남향,20250506,"['25년이상', '융자금없는', '역세권', '중층']",37.579512,126.984746
2523949565,일반상가,월세,1/4,680,1억,78,93,북향,20250506,"['4년이내', '역세권', '1층', '주차가능']",37.579112,126.985665
2523509100,일반상가,월세,1/4,670,1억,79,79,북서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.579112,126.985665
2523207111,일반상가,월세,1/1,"1,000","1억 5,000",46,46,남서향,20250430,"['25년이상', '마당', '역세권', '1층']",37.577379,126.986126
2522772468,일반상가,월세,3/3,500,1억,193,193,동향,20250428,"['25년이상', '역세권', '고층', '주차가능']",37.577176,126.985734
2522113011,일반상가,월세,3/3,500,1억,194,194,동향,20250425,"['25년이상', '역세권', '고층', '총3층']",37.577176,126.985734
2521719177,일반상가,매매,1/1,,"13억 5,000",56,25,남서향,20250423,"['25년이상', '역세권', '1층', '남서향']",37.579036,126.984304
2521766801,일반상가,월세,1/4,670,1억,78,68,북향,20250423,"['25년이상', '역세권', '1층', '천장에어컨']",37.579112,126.985665
2521437029,일반상가,월세,1/1,400,"4,000",59,59,남향,20250422,"['25년이상', '역세권', '1층', '남향']",37.577274,126.986345
2520739734,일반상가,월세,1/3,"1,500","1억 5,000",158,138,북향,20250418,"['2년이내', '역세권', '1층', '주차가능']",37.579241,126.98425
2520800226,일반상가,월세,B1/2,"3,500",4억,429,353,동향,20250418,"['2년이내', '역세권', '지하층', '총2층']",37.577282,126.985704
2520215971,일반상가,월세,1/2,"4,000",4억,160,120,동향,20250416,"['2년이내', '역세권', '1층', '주차가능']",37.577282,126.985704
2520073721,일반상가,월세,1/2,300,"3,500",56,56,남향,20250415,"['25년이상', '융자금없는', '역세권', '1층']",37.576878,126.985862
2520088798,일반상가,월세,B1/2,"1,500",2억,379,379,북동향,20250415,"['15년이내', '역세권', '지하층', '주차가능']",37.578846,126.98436
2519628053,일반상가,월세,1/4,670,1억,68,66,북향,20250414,"['25년이상', '역세권', '1층', '총4층']",37.579112,126.985665
2519142294,일반상가,월세,1/4,670,1억,66,66,북향,20250410,"['25년이상', '역세권', '1층', '총4층']",37.579047,126.985691
