articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609937,일반상가,월세,1/6,"1,200",2억,132,99,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.569932,126.984362
2524632239,일반상가,월세,1/5,350,"5,000",69,36,북향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.569952,126.986423
2524612859,일반상가,월세,1/8,650,"1억 2,000",66,66,남향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.570609,126.985292
2524511334,일반상가,월세,1/6,"1,200",2억,119,99,북향,20250508,"['25년이상', '역세권', '1층', 'CCTV']",37.569932,126.984362
2524304296,일반상가,월세,4/5,500,"8,000",205,194,북향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.569932,126.98418
2524503376,일반상가,월세,4/9,"4,700",11억,1548,1024,동향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.570541,126.989088
2524503086,일반상가,월세,4/9,"2,400",6억,811,528,동향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.570541,126.989088
2524473301,일반상가,월세,1/9,800,2억,59,49,동향,20250508,"['15년이내', '역세권', '1층', '엘리베이터']",37.570541,126.989088
2524508737,일반상가,월세,1/4,"1,000",2억,251,251,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.569934,126.984066
2524503749,일반상가,월세,1/9,800,2억,49,49,동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.570541,126.989088
2524583195,일반상가,월세,2/5,350,"6,000",30,30,북향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.569952,126.986423
2524577016,일반상가,월세,1/6,"1,200",2억,106,102,북동향,20250508,"['25년이상', '역세권', '1층', '북동향']",37.569931,126.98429
2524470859,일반상가,월세,5/9,"1,200",3억,406,330,남향,20250508,"['15년이내', '역세권', '중층', '엘리베이터']",37.570541,126.989088
2524370298,일반상가,월세,1/8,600,"7,000",91,91,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.569951,126.986647
2524557627,일반상가,월세,1/7,150,"2,000",19,19,,20250508,"['15년이내', '역세권', '1층']",37.570541,126.989088
2523987260,일반상가,월세,1/6,"1,000",2억,264,264,북향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.569931,126.98429
2524059803,일반상가,월세,1/6,"1,200",2억,106,99,북향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.569932,126.984362
2524132750,일반상가,월세,4/7,455,"8,000",183,145,북향,20250507,"['25년이상', '역세권', '중층', '엘리베이터']",37.569956,126.98493
