articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2523638403,일반상가,월세,1/4,"1,800",2억,267,267,남향,20250508,"['25년이상', '역세권', '1층', '세대당 1.5대이상']",37.576739,126.970454
2524536168,일반상가,월세,1/2,500,"1억 5,000",29,29,동향,20250508,"['2년이내', '역세권', '1층', '총2층']",37.577291,126.972011
2524265230,일반상가,월세,1/3,150,"3,000",20,20,동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.579027,126.970309
2522613563,일반상가,월세,1/2,430,"1억 3,000",33,33,동향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.577291,126.972011
2522356824,일반상가,월세,1/3,280,"3,000",53,53,남향,20250426,"['25년이상', '융자금없는', '역세권', '1층']",37.577624,126.971208
2522110539,일반상가,월세,1/1,340,"6,000",36,36,남서향,20250425,"['25년이내', '융자금없는', '역세권', '1층']",37.576761,126.970122
2522091085,일반상가,월세,1/2,"1,800",2억,349,275,남향,20250424,"['25년이상', '융자금적은', '역세권', '1층']",37.576739,126.970454
2521077185,일반상가,월세,3/4,750,"1억 5,000",298,298,남서향,20250421,"['25년이상', '융자금적은', '역세권', '고층']",37.576739,126.970454
2521256295,일반상가,월세,2/3,300,"6,000",99,99,남향,20250421,"['25년이상', '융자금없는', '역세권', '중층']",37.576577,126.971873
2520740975,일반상가,월세,1/3,220,"2,000",52,23,,20250418,"['25년이상', '역세권', '1층', '총3층']",37.57776,126.971803
2519638321,일반상가,월세,1/3,230,"2,000",26,26,동향,20250414,"['25년이상', '역세권', '1층', '총3층']",37.57776,126.971803
2519411917,일반상가,월세,1/4,"1,200","1억 5,000",153,108,남향,20250411,"['25년이상', '역세권', '1층', '주차가능']",37.576739,126.970454
2519413494,일반상가,월세,2/4,450,1억,159,159,남서향,20250411,"['25년이상', '융자금적은', '역세권', '중층']",37.576739,126.970454
2519042255,일반상가,월세,B1/3,250,"3,000",111,111,남향,20250410,"['10년이내', '융자금없는', '역세권', '지하층']",37.577932,126.970215
