articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524559589,복합상가,매매,3/3,,"93억 5,000",362,174,북향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.579332,126.97057
2524421345,일반상가,월세,1/3,200,"3,000",30,30,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.579332,126.97057
2524052656,일반상가,월세,1/1,330,"5,000",42,42,남향,20250507,"['25년이상', '역세권', '1층', '남향']",37.57968,126.970886
2523479636,일반상가,월세,1/2,320,"4,000",76,76,북향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.579958,126.970838
2522324452,일반상가,월세,3/3,55,"1,000",45,45,남향,20250426,"['25년이상', '고층', '총3층', '화재경보기']",37.580633,126.969827
2522018786,일반상가,매매,1/1,,30억,89,89,동향,20250424,"['25년이상', '역세권', '1층', '동향']",37.578692,126.970975
2521631787,일반상가,월세,1/2,110,"1,000",14,14,남동향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.580219,126.971014
2521478604,일반상가,월세,B1/5,50,"3,000",49,49,남향,20250422,"['25년이상', '지하층', '총5층', '남향']",37.581299,126.969418
2521415950,일반상가,매매,1/1,,"10억 8,000",28,28,남동향,20250421,"['25년이상', '1층', '남동향']",37.580277,126.969674
2520868473,일반상가,월세,2/2,100,"2,000",29,26,남동향,20250418,"['25년이상', '역세권', '고층', '총2층']",37.578765,126.970817
2520356122,일반상가,매매,1/5,,12억,48,48,동향,20250416,"['25년이상', '1층', '총5층', '동향']",37.581011,126.970833
2520322119,일반상가,월세,2/2,100,"2,000",29,23,서향,20250416,"['25년이상', '역세권', '고층', '총2층']",37.578765,126.970817
2519566483,일반상가,월세,1/2,110,"1,000",18,18,남동향,20250412,"['25년이상', '역세권', '1층', '천장에어컨']",37.580219,126.971014
2519566336,일반상가,월세,2/2,100,"2,000",29,29,남동향,20250412,"['25년이내', '역세권', '고층', '총2층']",37.578765,126.970817
2519188794,일반상가,월세,4/4,300,"3,500",66,66,남동향,20250411,"['25년이내', '역세권', '고층', '관리비10만원이하']",37.57904,126.971166
