articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524249822,일반상가,월세,1/1,250,"5,000",59,33,남향,20250507,"['25년이내', '마당', '1층', 'CCTV']",37.583128,126.981282
2524044865,일반상가,매매,1/2,,107억,443,171,남향,20250507,"['25년이상', '1층', '총2층', '남향']",37.582061,126.980897
2523916129,일반상가,월세,1/3,500,1억,82,82,동향,20250505,"['25년이상', '융자금적은', '1층', '총3층']",37.581676,126.981057
2523278894,일반상가,월세,1/3,400,"5,000",106,106,동향,20250501,"['25년이상', '1층', '총3층', '동향']",37.583561,126.981203
2523188913,일반상가,월세,1/2,180,"4,000",27,27,동향,20250430,"['15년이내', '1층', '주차가능', '총2층']",37.583291,126.98116
2522853571,일반상가,월세,1/1,150,"3,000",38,38,북동향,20250429,"['25년이상', '1층', '북동향']",37.582533,126.981118
2522874551,일반상가,월세,1/1,80,"1,000",5,5,동향,20250429,"['25년이내', '융자금없는', '1층', '동향']",37.581486,126.980751
2522663660,일반상가,월세,1/3,600,1억,66,66,북동향,20250428,"['25년이상', '1층', '천장에어컨', '총3층']",37.581676,126.981057
2522140810,일반상가,월세,1/3,600,1억,63,63,남동향,20250425,"['25년이상', '1층', '총3층', '남동향']",37.581676,126.981057
2522000390,일반상가,월세,1/2,500,1억,116,116,남서향,20250424,"['25년이상', '1층', '급매', '총2층']",37.582803,126.981189
2521497449,일반상가,월세,1/2,700,1억,205,205,남동향,20250422,"['25년이상', '1층', '주차가능', '총2층']",37.582558,126.98075
2520647326,일반상가,매매,1/1,,"15억 9,000",76,39,동향,20250417,"['25년이상', '1층', '동향']",37.58236,126.98119
2520100574,일반상가,월세,1/1,180,"2,000",49,33,남서향,20250415,"['25년이상', '1층', '남서향']",37.581616,126.98096
2519518139,일반상가,월세,1/2,200,"2,000",76,76,동향,20250412,"['4년이내', '1층', '주차가능', '총2층']",37.583291,126.98116
