articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524543561,단지내상가,매매,B1/2,,"5억 3,000",394,335,북동향,20250508,"['25년이상', '지하층', '주차가능', '총2층']",37.610936,126.978691
2524463452,일반상가,월세,5/5,180,"2,000",115,60,남향,20250508,"['25년이내', '고층', '주차가능', '엘리베이터']",37.606155,126.967114
2524339472,일반상가,월세,B2/4,800,1억,280,280,남향,20250508,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.60486,126.964476
2524388063,단지내상가,월세,1/15,150,"3,000",99,84,북향,20250508,"['25년이상', '1층', '주차가능', '북향']",37.610936,126.978691
2524335297,일반상가,월세,2/4,700,"7,000",351,351,남향,20250508,"['25년이내', '중층', '주차가능', '총4층']",37.60486,126.964476
2523066078,단지내상가,매매,1/5,,"5억 5,000",170,87,남향,20250430,"['15년이내', '1층', '주차가능', '총5층']",37.606823,126.969226
2522976207,일반상가,월세,1/3,160,"3,000",49,49,동향,20250429,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.606767,126.966326
2522971035,단지내상가,월세,1/5,250,"5,000",124,78,북동향,20250429,"['15년이내', '융자금없는', '1층', '주차가능']",37.6069,126.968678
2522970924,단지내상가,월세,1/5,500,1억,249,157,북동향,20250429,"['15년이내', '융자금없는', '1층', '주차가능']",37.6069,126.968678
2522786807,일반상가,월세,1/1,70,"5,000",66,60,남서향,20250429,"['25년이상', '마당', '1층', '주차가능']",37.605097,126.965235
2522970987,단지내상가,월세,1/5,360,"5,000",105,66,북동향,20250429,"['15년이내', '융자금없는', '1층', '주차가능']",37.6069,126.968678
2522219761,일반상가,월세,B1/5,130,"2,000",198,110,남향,20250425,"['25년이내', '지하층', '주차가능', '총5층']",37.606155,126.967114
2522301679,일반상가,월세,B1/5,130,"2,000",198,149,동향,20250425,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.606155,126.967114
2521238872,복합상가,매매,B1/5,,4억,84,64,남향,20250421,"['15년이내', '지하층', '주차가능', '총5층']",37.606823,126.969226
2521237579,일반상가,월세,1/5,500,1억,382,249,남향,20250421,"['25년이내', '융자금없는', '1층', '주차가능']",37.607039,126.970382
2520908344,단지내상가,매매,1/2,,"4억 5,000",99,84,북동향,20250418,"['25년이상', '1층', '급매', '주차가능']",37.610936,126.978691
2520890752,복합상가,매매,4/5,,"9억 7,000",300,234,남향,20250418,"['15년이내', '고층', '주차가능', '총5층']",37.606823,126.969226
2520723526,일반상가,매매,B1/6,,90억,615,615,남향,20250418,"['25년이상', '지하층', '주차가능', '남향']",37.60486,126.964476
2520894082,복합상가,월세,1/5,750,"1억 5,000",374,236,남향,20250418,"['15년이내', '융자금없는', '1층', '주차가능']",37.606823,126.969226
2520335828,일반상가,월세,5/5,180,"2,000",115,66,북서향,20250416,"['25년이내', '고층', '주차가능', '총5층']",37.606155,126.967114
2520365495,일반상가,월세,B1/5,130,"2,000",198,198,남향,20250416,"['25년이내', '지하층', '주차가능', '총5층']",37.606155,126.967114
2519760576,일반상가,매매,2/5,,"7억 5,000",114,114,남서향,20250414,"['15년이내', '중층', '주차가능', '총5층']",37.606823,126.969226
2519390594,복합상가,월세,1/5,160,"3,000",63,40,남향,20250411,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.606823,126.969226
2518910128,일반상가,월세,B1/4,600,1억,325,325,남향,20250410,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.60486,126.964476
2518852916,일반상가,월세,1/3,120,"2,000",22,22,북서향,20250410,"['25년이상', '1층', '총3층', '북서향']",37.605643,126.967319
2518891933,일반상가,월세,1/4,"1,000",1억,495,429,남서향,20250410,"['25년이상', '융자금적은', '1층', '주차가능']",37.609106,126.974556
