articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524447239,일반상가,월세,1/4,125,"2,000",56,56,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.586757,127.001652
2524481896,일반상가,월세,3/7,260,"3,000",194,125,남서향,20250508,"['25년이내', '역세권', '중층', '남서향']",37.58624,127.000759
2524451375,일반상가,월세,1/4,600,"1억 5,000",212,212,남서향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.58637,127.00061
2524406478,일반상가,월세,B1/3,260,"5,000",112,105,남향,20250508,"['25년이상', '융자금적은', '역세권', '지하층']",37.584551,127.002709
2524385007,단지내상가,월세,1/3,140,"2,000",21,21,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586786,127.0003
2524589629,일반상가,월세,5/6,800,1억,276,276,북동향,20250508,"['25년이상', '융자금적은', '역세권', '고층']",37.584258,127.002083
2523903407,일반상가,월세,4/4,85,"2,000",23,23,서향,20250507,"['25년이상', '테라스', '역세권', '고층']",37.584148,127.001281
2524264885,일반상가,월세,1/6,"1,000","1억 5,000",205,132,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.5845,127.001181
2524034846,일반상가,매매,전체층/2,,50억,112,112,서향,20250507,"['25년이상', '역세권', '총2층', '서향']",37.584666,127.001125
2524101407,일반상가,월세,1/4,"1,000",2억,382,382,남서향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.58637,127.00061
2524271787,일반상가,월세,B2/6,"1,800","2억 2,000",1506,777,서향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.584258,127.002083
2524034668,일반상가,월세,4/5,440,"4,000",169,169,동향,20250507,"['25년이상', '역세권', '고층', '총5층']",37.584796,127.000842
2524023662,일반상가,월세,1/4,130,"2,000",25,25,서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.5878,126.999972
2524114919,일반상가,월세,1/3,60,800,23,23,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.587323,127.000668
2524021401,일반상가,월세,1/4,250,"3,000",117,117,북향,20250506,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.587246,127.00352
2523268587,일반상가,월세,5/6,850,1억 500,585,276,서향,20250502,"['25년이상', '역세권', '고층', '주차가능']",37.584258,127.002083
2523309167,일반상가,월세,3/3,85,"1,000",46,44,서향,20250502,"['25년이상', '고층', '관리비10만원이하', '총3층']",37.587921,126.999945
2523527666,일반상가,월세,1/6,650,"7,300",202,110,서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.584258,127.002083
2523292683,일반상가,월세,B2/6,"2,000","2억 3,000",1506,771,서향,20250502,"['25년이상', '역세권', '지하층', '주차가능']",37.584258,127.002083
2523573654,일반상가,월세,1/2,250,"3,300",143,33,서향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.584386,127.001168
2523166978,단지내상가,월세,1/3,60,800,33,23,북서향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.587323,127.000668
2523025668,일반상가,월세,1/3,60,800,33,26,북서향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.587323,127.000668
2523086873,일반상가,월세,1/3,60,800,20,20,서향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.587323,127.000668
2523085255,일반상가,월세,1/5,330,"5,000",94,70,동향,20250430,"['25년이상', '역세권', '1층', '총5층']",37.584796,127.000842
2523180532,일반상가,월세,5/6,400,"5,000",282,133,서향,20250430,"['25년이상', '융자금없는', '역세권', '고층']",37.584258,127.002083
2523190610,일반상가,월세,B1/3,55,500,17,17,남동향,20250430,"['25년이상', '지하층', '총3층', '남동향']",37.590344,126.999694
2522906216,일반상가,월세,2/3,500,"5,000",200,175,남동향,20250429,"['25년이상', '역세권', '중층', '총3층']",37.585816,127.000587
2522782291,일반상가,월세,1/5,500,"9,000",155,155,남동향,20250429,"['25년이상', '융자금적은', '역세권', '1층']",37.587601,127.003211
2522574075,일반상가,월세,전체층/4,250,"3,000",61,61,남향,20250428,"['10년이내', '융자금없는', '주차가능', '총4층']",37.5903,126.999545
2522703928,일반상가,월세,1/6,"1,000","1억 5,000",205,139,동향,20250428,"['25년이상', '테라스', '역세권', '1층']",37.5845,127.001181
2522762645,일반상가,월세,4/4,130,"1,500",42,42,남향,20250428,"['25년이상', '융자금적은', '역세권', '고층']",37.586259,127.001506
2522621632,일반상가,월세,4/4,"1,000",2억,382,382,남서향,20250428,"['10년이내', '테라스', '역세권', '고층']",37.58637,127.00061
2522643580,일반상가,월세,1/4,650,2억,59,59,동향,20250428,"['25년이상', '역세권', '1층', '총4층']",37.584038,127.001304
2522305532,일반상가,월세,2/4,90,"1,500",33,33,동향,20250426,"['25년이상', '역세권', '중층', '총4층']",37.586757,127.001652
2522422302,일반상가,월세,1/4,130,"2,000",56,23,남서향,20250426,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.5878,126.999972
2522203835,일반상가,월세,2/5,240,"2,000",114,114,남서향,20250425,"['10년이내', '역세권', '중층', '관리비20만원이하']",37.586512,127.000934
2521866323,일반상가,월세,1/4,400,"5,000",178,178,서향,20250424,"['15년이내', '융자금없는', '역세권', '1층']",37.586907,127.0003
2521686107,일반상가,월세,1/5,650,"7,300",110,110,서향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.584258,127.002083
2521794628,일반상가,매매,B1/6,,28억,811,391,남향,20250423,"['25년이상', '역세권', '지하층', '주차가능']",37.583975,127.00217
2521641660,일반상가,월세,1/5,330,"5,000",72,72,동향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.584796,127.000842
2521180260,일반상가,월세,1/6,"1,000","1억 5,000",205,205,동향,20250421,"['25년이상', '역세권', '1층', '동향']",37.5845,127.001181
2520794159,일반상가,월세,1/6,650,"7,300",110,110,서향,20250418,"['25년이상', '융자금없는', '역세권', '1층']",37.584258,127.002083
2520393132,일반상가,월세,3/5,160,"1,000",69,69,남향,20250417,"['4년이내', '역세권', '중층', '총5층']",37.587164,127.002453
2520487052,단지내상가,매매,B1/4,,7억,61,61,남동향,20250417,"['10년이내', '지하층', '주차가능', '총4층']",37.5903,126.999545
2520422001,일반상가,매매,1/1,,15억,62,62,남향,20250417,"['25년이상', '테라스', '마당', '역세권']",37.584405,127.002697
