articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524339162,일반상가,월세,1/3,250,"5,000",99,99,남동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.600042,126.95738
2524339742,일반상가,월세,1/2,70,"2,000",29,29,북향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.600429,126.958725
2523369760,일반상가,월세,1/2,60,"1,000",16,16,남향,20250501,"['25년이상', '1층', '총2층', '남향']",37.599755,126.959084
2522475213,일반상가,월세,1/2,70,700,33,33,서향,20250428,"['25년이상', '융자금없는', '1층', '총2층']",37.600229,126.958452
2522512589,일반상가,월세,1/3,100,"2,000",49,35,동향,20250428,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.600161,126.956807
2521093691,일반상가,전세,B1/3,,1억,33,33,남동향,20250421,"['25년이상', '융자금적은', '테라스', '지하층']",37.600927,126.955753
2520647140,일반상가,월세,B1/3,20,"1억 5,000",77,77,남동향,20250417,"['25년이상', '융자금적은', '테라스', '지하층']",37.600927,126.955753
2519623523,일반상가,월세,3/3,120,"2,000",51,51,남서향,20250414,"['25년이상', '고층', '총3층', '남서향']",37.599976,126.958573
2519395159,일반상가,월세,1/3,200,"5,000",65,65,북향,20250411,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.599111,126.959556
2518903825,일반상가,월세,1/2,180,"2,000",82,82,남서향,20250410,"['25년이상', '1층', '총2층', '남서향']",37.599683,126.959442
2518907285,일반상가,월세,1/2,125,"1,000",42,42,동향,20250410,"['25년이내', '융자금없는', '1층', '총2층']",37.601371,126.95623
2519047538,일반상가,월세,B1/3,80,"2,000",44,29,남동향,20250410,"['25년이내', '융자금적은', '지하층', '주차가능']",37.601274,126.956707
2518906120,일반상가,월세,1/3,120,"2,000",40,40,남서향,20250410,"['25년이상', '1층', '주차가능', '총3층']",37.601103,126.956615
