articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524602876,단지내상가,월세,1/2,320,"5,000",75,35,남서향,20250509,"['10년이내', '1층', '천장에어컨', '총2층']",37.57084,126.963559
2524390068,단지내상가,월세,1/2,175,"3,000",91,41,남서향,20250508,"['10년이내', '1층', '주차가능', '총2층']",37.57084,126.963559
2524549746,단지내상가,월세,2/2,300,"5,000",151,67,북동향,20250508,"['10년이내', '고층', '주차가능', '엘리베이터']",37.57084,126.963559
2524130136,단지내상가,월세,1/2,250,"3,000",75,34,,20250507,"['10년이내', '1층', '주차가능', '총2층']",37.57084,126.963559
2523099859,단지내상가,월세,1/2,175,"3,000",82,41,남서향,20250430,"['10년이내', '융자금없는', '1층', '천장에어컨']",37.57084,126.963559
2523054411,단지내상가,매매,1/2,,"7억 9,000",70,31,남서향,20250430,"['10년이내', '1층', '주차가능', '총2층']",37.57084,126.963559
2523140496,단지내상가,월세,1/2,250,"5,000",53,31,남서향,20250430,"['10년이내', '1층', '주차가능', '천장에어컨']",37.57084,126.963559
2522568891,단지내상가,매매,1/2,,"6억 5,000",108,49,남서향,20250428,"['10년이내', '1층', '주차가능', '총2층']",37.57084,126.963559
2522250983,단지내상가,월세,1/2,320,"5,000",114,67,남서향,20250425,"['10년이내', '1층', '주차가능', '천장에어컨']",37.57084,126.963559
2520302538,단지내상가,매매,2/2,,11억,178,80,북동향,20250416,"['10년이내', '고층', '주차가능', '엘리베이터']",37.57084,126.963559
2520061770,단지내상가,매매,2/2,,1억,13,5,,20250415,"['10년이내', '고층', '관리비10만원이하', '주차가능']",37.57084,126.963559
2519270028,단지내상가,매매,1/2,,4억,37,16,남서향,20250411,"['10년이내', '1층', '주차가능', '천장에어컨']",37.57084,126.963559
