articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524479542,단지내상가,월세,1/14,168,"3,000",40,32,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.574224,127.001828
2524472716,일반상가,월세,1/2,300,"3,500",86,86,남동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.572125,127.003758
2524238409,일반상가,월세,1/14,168,"3,000",32,32,남서향,20250507,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.574224,127.001828
2524061735,일반상가,월세,4/5,120,"2,000",101,89,북동향,20250507,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.572683,127.00221
2523408470,일반상가,월세,B1/4,220,"2,000",153,153,북서향,20250502,"['10년이내', '융자금없는', '역세권', '지하층']",37.574704,127.002736
2523369615,일반상가,월세,1/5,300,"4,000",110,99,동향,20250502,"['25년이상', '역세권', '1층', '총5층']",37.571673,127.001728
2522566246,일반상가,월세,1/2,220,"2,000",75,70,남동향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.571522,127.0018
2522217264,일반상가,월세,1/9,500,"6,000",80,80,서향,20250425,"['10년이내', '융자금적은', '역세권', '1층']",37.571765,127.004081
2521971276,단지내상가,월세,1/14,168,"3,000",33,33,남향,20250424,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.574224,127.001828
2521874568,일반상가,월세,1/6,250,"3,000",109,109,동향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.571679,127.006021
2521798386,일반상가,월세,B1/4,220,"2,000",153,143,서향,20250423,"['15년이내', '역세권', '지하층', '총4층']",37.574704,127.002736
2521586812,일반상가,월세,1/2,160,"2,000",19,19,남동향,20250422,"['25년이상', '역세권', '1층', '총2층']",37.571522,127.0018
2521282785,일반상가,월세,1/3,170,"3,000",82,82,북향,20250421,"['25년이상', '역세권', '1층', '총3층']",37.571724,127.001666
2520817524,일반상가,월세,8/10,290,"5,000",177,138,동향,20250418,"['25년이내', '역세권', '고층', '주차가능']",37.572484,127.001746
2520677294,일반상가,월세,1/3,170,"3,000",49,49,북향,20250418,"['25년이상', '역세권', '1층', '총3층']",37.571724,127.001666
2520315585,복합상가,월세,2/9,150,"3,000",48,48,서향,20250416,"['10년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.571765,127.004081
2520326830,일반상가,월세,1/3,170,"3,000",45,45,북향,20250416,"['25년이상', '융자금없는', '역세권', '1층']",37.571724,127.001666
