articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524640701,일반상가,월세,3/13,"6,846","6억 8,460",1033,876,남동향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.562421,126.981177
2524500958,일반상가,월세,19/19,"6,313","6억 3,131",1094,758,동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.56511,126.982841
2524452864,일반상가,월세,B1/19,"1억 3,710","13억 7,100",1182,1182,서향,20250508,"['4년이내', '역세권', '지하층', '주차가능']",37.564662,126.982703
2524238049,일반상가,월세,19/19,"7,427","7억 4,272",759,759,서향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.56511,126.982841
2522602091,복합상가,월세,12/19,"3,297","3억 2,976",726,456,서향,20250428,"['25년이상', '역세권', '중층', '주차가능']",37.56511,126.982841
2522600298,복합상가,월세,13/19,"3,485","3억 4,858",768,486,서향,20250428,"['25년이상', '역세권', '고층', '주차가능']",37.56511,126.982841
2522528948,복합상가,월세,5/13,"6,863","6억 8,634",880,880,남서향,20250428,"['25년이상', '역세권', '중층', '남서향']",37.562421,126.981177
2522500772,일반상가,월세,18/19,"7,427","7억 4,272",1227,759,서향,20250428,"['25년이상', '융자금없는', '역세권', '고층']",37.56511,126.982841
2522342481,일반상가,월세,17/19,"3,950","3억 5,950",768,486,서향,20250426,"['25년이상', '융자금없는', '역세권', '고층']",37.56511,126.982841
2522225479,일반상가,월세,15/19,"3,297","3억 2,976",653,455,남향,20250425,"['25년이상', '역세권', '고층', '주차가능']",37.56511,126.982841
2521547483,일반상가,월세,6/13,"6,575","6억 5,757",843,843,남향,20250422,"['25년이상', '역세권', '중층', '남향']",37.562421,126.981177
2521115090,일반상가,월세,5/13,"6,863","6억 8,634",1334,880,남동향,20250421,"['25년이상', '역세권', '중층', '주차가능']",37.562421,126.981177
2521134972,일반상가,월세,B1/19,"1억 4,430","14억 4,307",1182,1182,서향,20250421,"['4년이내', '융자금없는', '역세권', '지하층']",37.564908,126.982781
2520201480,일반상가,월세,15/19,"3,297","3억 2,976",726,456,서향,20250416,"['25년이상', '융자금없는', '역세권', '고층']",37.56511,126.982841
2520338545,복합상가,월세,6/13,"6,575","6억 5,757",880,880,남서향,20250416,"['25년이상', '역세권', '중층', '남서향']",37.562421,126.981177
2519847476,일반상가,월세,1/19,"2,256","3억 3,846",186,186,서향,20250414,"['25년이상', '역세권', '1층', '주차가능']",37.564271,126.982562
2518683336,일반상가,월세,18/19,"3,260","3억 2,602",456,456,남서향,20250409,"['25년이상', '역세권', '고층', '주차가능']",37.56511,126.982841
