articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524527846,일반상가,월세,B1/3,400,"5,000",179,165,북서향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.558499,126.985704
2523070403,일반상가,월세,1/2,400,"7,000",64,64,남동향,20250430,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.557209,126.985831
2522951082,일반상가,월세,1/5,450,"4,500",221,198,남동향,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.558759,126.985516
2522634136,일반상가,월세,B1/2,160,"2,000",66,66,남동향,20250428,"['25년이상', '역세권', '지하층', '총2층']",37.558461,126.987158
2522694537,일반상가,월세,2/5,500,"6,000",160,141,동향,20250428,"['25년이상', '역세권', '중층', '주차가능']",37.558333,126.985259
2522694590,일반상가,월세,5/5,800,1억,321,282,동향,20250428,"['25년이상', '역세권', '고층', '주차가능']",37.558333,126.985259
2522666347,일반상가,월세,B1/2,200,"2,000",75,75,북향,20250428,"['25년이상', '역세권', '지하층', '총2층']",37.558286,126.984836
2521339878,일반상가,월세,5/5,800,1억,271,271,동향,20250421,"['25년이상', '역세권', '고층', '주차가능']",37.558333,126.985259
2519856087,일반상가,월세,1/3,400,"4,000",79,72,서향,20250414,"['25년이상', '역세권', '1층', '총3층']",37.558233,126.984563
2519422470,일반상가,월세,B1/3,100,"1,000",76,76,서향,20250412,"['25년이상', '역세권', '지하층', '총3층']",37.558233,126.984563
2519095641,일반상가,월세,4/5,462,"2,706",218,132,남향,20250410,"['25년이상', '역세권', '고층', '총5층']",37.558583,126.98708
2519095791,일반상가,월세,4/5,336,"1,968",158,99,남향,20250410,"['25년이상', '역세권', '고층', '총5층']",37.558583,126.98708
