articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524229116,일반상가,월세,B1/22,"5,000",5억,1857,1213,서향,20250507,"['25년이상', '역세권', '지하층', '주차가능']",37.559432,126.976231
2523851583,일반상가,월세,3/8,"1,500","1억 5,000",404,404,북서향,20250507,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.560319,126.978443
2523442786,복합상가,월세,1/4,50,500,5,4,남서향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.559048,126.97814
2522955277,일반상가,월세,2/9,"2,000",2억,283,234,동향,20250429,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.559457,126.97839
2522146676,일반상가,월세,1/2,750,1억,36,36,남동향,20250425,"['25년이상', '융자금없는', '역세권', '1층']",37.559545,126.976624
2521209589,일반상가,월세,2/2,150,"2,000",47,42,북향,20250421,"['25년이상', '역세권', '고층', '총2층']",37.558109,126.977086
2521320414,단지내상가,월세,6/8,200,"1,500",66,66,서향,20250421,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.558775,126.977033
2521320212,단지내상가,월세,5/8,200,"1,500",66,66,서향,20250421,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558775,126.977033
2521319375,일반상가,월세,1/2,850,"1억 2,000",111,82,남향,20250421,"['25년이상', '역세권', '1층', '총2층']",37.558484,126.976996
2520607286,일반상가,월세,1/16,900,2억,163,138,북향,20250417,"['25년이상', '역세권', '1층', '북향']",37.55731,126.977046
2520447447,일반상가,월세,1/1,65,500,6,6,남동향,20250417,"['25년이상', '역세권', '1층', '남동향']",37.559643,126.977127
2519893270,일반상가,매매,2/10,,"1억 2,000",10,10,북서향,20250414,"['25년이상', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.560179,126.978977
2519551971,일반상가,월세,1/16,"1,000",3억,165,165,남향,20250412,"['25년이상', '융자금없는', '역세권', '1층']",37.557463,126.976942
2519320243,일반상가,매매,B2/22,,"1억 2,000",23,8,남동향,20250411,"['25년이상', '역세권', '지하층', '남동향']",37.559432,126.976231
