articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632371,일반상가,월세,1/2,420,"9,000",52,49,북동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.567676,126.980612
2524353947,일반상가,월세,전체층/23,430,"5,500",83,33,남향,20250508,"['15년이내', '역세권', '주차가능', '엘리베이터']",37.567144,126.980343
2524279937,일반상가,월세,2/23,265,"5,000",50,50,남향,20250507,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567144,126.980343
2523569131,일반상가,월세,B1/15,60,"1,000",39,19,동향,20250502,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.567772,126.982314
2523563146,단지내상가,월세,1/2,300,"2,500",66,66,동향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.567479,126.98056
2523121813,일반상가,월세,전체층/4,180,"2,000",59,59,남동향,20250430,"['25년이상', '역세권', '총4층', '남동향']",37.566804,126.981888
2523033961,일반상가,월세,1/17,415,"6,000",325,60,남동향,20250430,"['25년이상', '역세권', '1층', '주차가능']",37.568383,126.982326
2522504144,일반상가,월세,1/12,589,"5,898",156,68,남동향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.567089,126.981143
2522498303,일반상가,월세,2/12,"2,509","2억 5,096",897,379,남향,20250428,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.567089,126.981143
2522510897,일반상가,월세,9/9,700,"5,000",194,194,남향,20250428,"['25년이상', '테라스', '역세권', '고층']",37.566888,126.981764
2522500321,일반상가,월세,1/12,"1,967","1억 9,673",520,227,남향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.567089,126.981143
2522480702,복합상가,매매,2/23,,"19억 5,000",220,102,남향,20250428,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567144,126.980343
2522219473,복합상가,매매,2/23,,19억,253,118,남향,20250425,"['15년이내', '역세권', '급매', '지상층(1층제외)']",37.567144,126.980343
2522283724,일반상가,월세,1/4,"1,270",1억,401,297,북향,20250425,"['25년이상', '역세권', '1층', '총4층']",37.567788,126.980171
2522186060,복합상가,월세,1/15,170,"3,000",21,13,서향,20250425,"['25년이상', '역세권', '1층', '주차가능']",37.568221,126.981625
2521945451,일반상가,월세,2/23,270,"3,500",128,59,남동향,20250424,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567144,126.980343
2521773211,단지내상가,월세,1/15,170,"3,000",21,7,서향,20250423,"['25년이상', '역세권', '1층', '주차가능']",37.568221,126.981625
2521689824,단지내상가,월세,B1/23,"2,200","2억 2,000",1203,559,남향,20250423,"['15년이내', '역세권', '지하층', '주차가능']",37.567144,126.980343
2521553900,일반상가,월세,2/23,500,"8,000",224,119,남동향,20250422,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567144,126.980343
2521255809,일반상가,월세,1/4,"1,270",1억,401,264,북향,20250421,"['25년이상', '역세권', '1층', '총4층']",37.567788,126.980171
2521120096,복합상가,월세,B6/23,"1,000",1억,255,104,남향,20250421,"['15년이내', '역세권', '지하층', '주차가능']",37.567144,126.980343
2521349576,일반상가,월세,B1/15,200,"2,000",114,59,서향,20250421,"['25년이상', '역세권', '지하층', '주차가능']",37.567772,126.982314
2521234085,일반상가,월세,2/12,"1,431","1억 4,316",542,214,남향,20250421,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.567089,126.981143
2521268330,일반상가,월세,1/4,"1,170",1억,401,401,북향,20250421,"['25년이상', '역세권', '1층', '총4층']",37.567788,126.980171
2520677596,복합상가,월세,2/23,500,"8,000",52,52,북향,20250418,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567144,126.980343
2520490183,일반상가,매매,2/23,,"8억 5,000",113,52,남향,20250417,"['15년이내', '역세권', '급매', '지상층(1층제외)']",37.567144,126.980343
2520595967,단지내상가,월세,B1/15,200,"2,000",114,60,동향,20250417,"['25년이상', '역세권', '지하층', '주차가능']",37.567772,126.982314
2520033200,일반상가,월세,1/2,420,"9,000",52,52,북향,20250415,"['25년이상', '역세권', '1층', '총2층']",37.567676,126.980612
2519999932,복합상가,월세,2/12,"1,077",1억 778,162,162,북향,20250415,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.567089,126.981143
2519858607,일반상가,월세,전체층/4,320,"4,000",60,60,남동향,20250414,"['25년이상', '역세권', '관리비10만원이하', '총4층']",37.566804,126.981888
2519810453,일반상가,월세,1/17,415,"6,000",56,56,북향,20250414,"['25년이상', '역세권', '1층', '주차가능']",37.568383,126.982326
2519838032,일반상가,월세,1/4,"1,270",1억,264,264,북향,20250414,"['25년이상', '역세권', '1층', '총4층']",37.567788,126.980171
2519838117,일반상가,월세,1/1,"1,200","1억 5,000",132,132,동향,20250414,"['25년이상', '역세권', '1층', '동향']",37.567389,126.981343
2519899468,일반상가,월세,B1/4,600,"1억 1,000",351,351,북향,20250414,"['25년이상', '융자금없는', '역세권', '지하층']",37.567788,126.980171
2519400882,일반상가,월세,1/2,600,"9,000",105,105,북향,20250411,"['25년이상', '역세권', '1층', '총2층']",37.567676,126.980612
2519360146,일반상가,월세,1/17,427,"6,000",53,53,남서향,20250411,"['25년이상', '역세권', '1층', '주차가능']",37.568383,126.982326
2518937622,복합상가,매매,1/23,,35억,166,67,남향,20250410,"['15년이내', '역세권', '1층', '주차가능']",37.567144,126.980343
