articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524524832,일반상가,월세,1/7,160,"3,000",62,27,남향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.554582,126.966364
2524457037,일반상가,월세,2/4,"1,000",1억,563,289,남향,20250508,"['10년이내', '중층', '주차가능', '총4층']",37.554223,126.963414
2522888224,단지내상가,월세,1/4,300,"3,000",66,66,남동향,20250429,"['10년이내', '1층', '주차가능', '천장에어컨']",37.554223,126.963414
2522527783,단지내상가,월세,2/4,"1,000",1억,289,289,남향,20250428,"['10년이내', '중층', '주차가능', '총4층']",37.554223,126.963414
2522136857,단지내상가,월세,2/4,"1,000",1억,189,117,남동향,20250425,"['10년이내', '중층', '주차가능', '엘리베이터']",37.554223,126.963414
2520592545,단지내상가,매매,B1/14,,6억,50,50,남동향,20250417,"['10년이내', '지하층', '관리비10만원이하', '주차가능']",37.55512,126.9658
2520321479,단지내상가,월세,2/2,"1,200",1억,294,229,남향,20250416,"['10년이내', '고층', '주차가능', '총2층']",37.554223,126.963414
2520157525,단지내상가,월세,2/2,"1,200",1억,229,229,동향,20250415,"['10년이내', '고층', '주차가능', '총2층']",37.554223,126.963414
2519775329,일반상가,월세,2/4,"1,000",1억,264,264,남동향,20250414,"['10년이내', '융자금없는', '중층', '총4층']",37.554223,126.963414
2518702086,단지내상가,월세,1/4,100,"3,000",46,25,남동향,20250409,"['10년이내', '융자금없는', '1층', '엘리베이터']",37.554223,126.963414
2518702698,단지내상가,월세,1/4,170,"3,000",62,33,남동향,20250409,"['10년이내', '융자금없는', '1층', '엘리베이터']",37.554223,126.963414
