articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524641069,일반상가,월세,2/9,430,"8,000",191,128,북향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.563732,126.985782
2524613470,일반상가,월세,1/6,"4,500",5억,553,553,서향,20250509,"['2년이내', '역세권', '1층', '서향']",37.562438,126.984477
2524549056,일반상가,월세,6/13,"1,102","1억 6,170",485,340,북향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.563469,126.983765
2524332381,일반상가,월세,4/7,"1,200",3억,313,313,서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.563049,126.984894
2524398132,일반상가,월세,2/6,450,"5,000",108,82,서향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '서향']",37.56303,126.982203
2524439402,일반상가,월세,4/7,635,"7,000",128,128,북서향,20250508,"['25년이상', '역세권', '중층', '북서향']",37.563154,126.982312
2524048657,일반상가,월세,4/7,"1,200",3억,303,303,서향,20250507,"['25년이상', '역세권', '중층', '서향']",37.563049,126.984894
2524048700,일반상가,월세,1/7,"6,000","7억 2,000",434,434,서향,20250507,"['25년이상', '역세권', '1층', '서향']",37.562107,126.984107
2524258906,일반상가,월세,3/4,600,"7,000",120,112,동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.563476,126.98534
2524048718,일반상가,월세,2/2,700,1억,85,85,서향,20250507,"['25년이상', '역세권', '고층', '총2층']",37.562624,126.981989
2524062436,일반상가,월세,3/4,250,"2,000",80,77,북향,20250507,"['25년이상', '역세권', '고층', '총4층']",37.563196,126.983964
2524171592,일반상가,월세,1/13,"1억 8,000",20억,574,571,북향,20250507,"['25년이상', '역세권', '1층', '북향']",37.563688,126.985015
2524064679,일반상가,월세,3/6,400,"5,000",108,108,남서향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.56303,126.982203
2524057636,일반상가,월세,6/13,"1,323","1억 8,900",624,437,북향,20250507,"['25년이상', '역세권', '중층', '북향']",37.563469,126.983765
2524061839,일반상가,월세,1/4,"3,500",6억,151,133,남서향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.563368,126.985377
2523918964,일반상가,월세,2/6,400,"5,000",104,73,북향,20250505,"['25년이상', '융자금적은', '역세권', '지상층(1층제외)']",37.56303,126.982203
2523696380,일반상가,월세,2/8,890,"8,900",54,54,,20250503,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.563425,126.982899
