articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632843,일반상가,월세,10/13,390,"5,000",132,115,남향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2524074235,일반상가,월세,9/13,390,"5,000",115,115,남동향,20250507,"['25년이상', '역세권', '고층', '남동향']",37.567161,126.979029
2523738098,일반상가,월세,B2/30,"1,854","4억 4,496",370,370,동향,20250503,"['25년이내', '역세권', '지하층', '주차가능']",37.568417,126.978557
2523336635,일반상가,월세,12/13,390,"5,000",137,115,남향,20250502,"['25년이상', '역세권', '고층', '남향']",37.567161,126.979029
2523300457,일반상가,월세,9/13,390,"5,000",133,115,남향,20250501,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2523208351,일반상가,월세,1/7,"1,800",2억,281,281,동향,20250430,"['25년이상', '역세권', '1층', '천장에어컨']",37.56742,126.979053
2522857307,일반상가,월세,10/13,390,"5,000",133,115,동향,20250429,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2522678136,일반상가,월세,B2/30,"1,100","2억 6,400",253,253,동향,20250428,"['25년이내', '역세권', '지하층', '주차가능']",37.568417,126.978557
2522498386,일반상가,월세,B1/30,463,"1억 1,113",67,67,북향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.568417,126.978557
2522245126,일반상가,월세,12/13,390,"5,000",133,115,동향,20250425,"['25년이상', '역세권', '고층', '엘리베이터']",37.567161,126.979029
2522213757,일반상가,월세,10/13,780,1억,266,231,동향,20250425,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2522247602,일반상가,월세,11/13,390,"5,000",133,115,동향,20250425,"['25년이상', '역세권', '고층', '엘리베이터']",37.567161,126.979029
2522289188,일반상가,월세,1/7,500,"1억 5,000",66,66,남향,20250425,"['25년이상', '역세권', '1층', '남향']",37.567167,126.978765
2522067001,일반상가,월세,1/7,500,"1억 5,000",70,70,북향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.567167,126.978765
2521974549,일반상가,월세,B2/30,"1,854","4억 4,496",824,370,서향,20250424,"['25년이내', '역세권', '지하층', '주차가능']",37.568417,126.978557
2522006519,일반상가,월세,11/13,390,"5,000",139,115,남동향,20250424,"['25년이상', '역세권', '고층', '천장에어컨']",37.567161,126.979029
2521348586,일반상가,월세,1/7,500,"1억 5,000",477,66,남향,20250421,"['25년이상', '역세권', '1층', '남향']",37.567167,126.978765
2521112365,일반상가,월세,9/13,780,1억,299,230,남향,20250421,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2521007459,일반상가,월세,10/13,390,"5,000",137,115,남향,20250419,"['25년이상', '역세권', '고층', '남향']",37.567161,126.979029
2520859974,일반상가,월세,10/13,390,"5,000",115,115,남향,20250418,"['25년이상', '역세권', '고층', '남향']",37.567161,126.979029
2520477424,일반상가,월세,8/13,390,"5,000",133,115,남향,20250417,"['25년이상', '역세권', '중층', '엘리베이터']",37.567161,126.979029
2520583007,일반상가,월세,B1/30,"1,000","2억 4,000",127,127,동향,20250417,"['25년이내', '역세권', '지하층', '주차가능']",37.568417,126.978557
2520201994,일반상가,월세,10/13,390,"5,000",149,115,남향,20250416,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2520330374,복합상가,월세,B1/30,"1,854","4억 4,496",370,370,북향,20250416,"['25년이상', '역세권', '지하층', '주차가능']",37.568417,126.978557
2519954504,일반상가,월세,B1/30,"1,000","2억 4,000",283,127,북향,20250415,"['25년이상', '융자금없는', '역세권', '지하층']",37.568417,126.978557
2520093326,일반상가,월세,6/15,312,"3,120",171,103,서향,20250415,"['25년이상', '역세권', '중층', '주차가능']",37.568741,126.979582
2520093011,일반상가,월세,B2/15,400,"5,000",341,204,서향,20250415,"['25년이상', '역세권', '지하층', '주차가능']",37.568741,126.979582
2519797963,단지내상가,월세,B1/30,463,"1억 1,113",66,66,남향,20250414,"['25년이내', '역세권', '지하층', '남향']",37.568417,126.978557
2518886156,일반상가,월세,9/13,390,"5,000",149,115,남향,20250410,"['25년이상', '융자금없는', '역세권', '고층']",37.567161,126.979029
2518988518,일반상가,월세,10/13,390,"5,000",133,133,동향,20250410,"['25년이상', '역세권', '고층', '엘리베이터']",37.567161,126.979029
2518976507,일반상가,월세,1/7,"1,800",2억,281,217,동향,20250410,"['25년이상', '역세권', '1층', '천장에어컨']",37.56742,126.979053
2518882013,일반상가,월세,B2/15,400,"5,000",341,208,서향,20250410,"['25년이상', '역세권', '지하층', '서향']",37.568741,126.979582
