articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524573609,일반상가,월세,2/14,75,"1,000",40,20,북향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.562274,126.999595
2524621907,일반상가,매매,2/14,,"2억 6,000",40,20,남향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.562215,126.999531
2524311423,일반상가,월세,4/5,200,"2,000",116,97,남동향,20250508,"['25년이상', '융자금적은', '역세권', '고층']",37.561204,127.001734
2524314693,일반상가,월세,1/5,360,"3,000",83,76,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.561204,127.001734
2523927660,단지내상가,월세,1/9,280,"3,000",59,30,동향,20250507,"['2년이내', '융자금적은', '역세권', '1층']",37.561569,126.999348
2524191937,일반상가,월세,1/3,250,"3,000",66,61,서향,20250507,"['25년이상', '1층', '총3층', '서향']",37.561587,126.999997
2524170190,일반상가,월세,1/9,450,"5,000",207,185,북향,20250507,"['25년이상', '역세권', '1층', '북향']",37.562483,127.000491
2524265275,일반상가,월세,1/4,160,"2,000",70,49,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.561197,127.000116
2524189716,일반상가,월세,1/3,350,"5,000",90,72,북서향,20250507,"['25년이상', '1층', '총3층', '북서향']",37.561587,126.999997
2524287263,복합상가,월세,2/5,330,"3,000",253,195,북동향,20250507,"['25년이내', '융자금없는', '중층', '주차가능']",37.561494,127.00124
2524195755,일반상가,월세,1/3,450,"5,000",186,163,동향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.561587,126.999997
2522817945,일반상가,월세,2/6,180,"1,800",103,103,북향,20250429,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.56243,127.000377
2522617978,단지내상가,월세,1/2,350,"4,000",73,73,동향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.56231,127.00099
2522610839,일반상가,월세,2/3,220,"2,000",105,82,북향,20250428,"['25년이상', '융자금적은', '역세권', '중층']",37.562561,127.000892
2522661478,단지내상가,월세,2/2,80,"1,000",37,29,동향,20250428,"['25년이상', '융자금적은', '역세권', '고층']",37.56231,127.00099
2522150225,일반상가,매매,3/3,,53억,275,275,북향,20250425,"['25년이상', '역세권', '고층', '총3층']",37.562561,127.000892
2522283761,복합상가,월세,B1/14,100,"1,500",20,19,북향,20250425,"['10년이내', '역세권', '지하층', '주차가능']",37.562274,126.999595
2522017668,일반상가,월세,2/3,250,"4,000",76,76,북향,20250424,"['25년이상', '역세권', '중층', '총3층']",37.560756,126.999553
2522000822,단지내상가,월세,1/5,250,"5,000",67,34,남향,20250424,"['2년이내', '역세권', '1층', '주차가능']",37.561569,126.999348
2521671912,단지내상가,매매,B1/14,,"3억 9,000",42,20,북향,20250423,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.562274,126.999595
2521249886,단지내상가,월세,3/14,80,"2,000",46,24,북향,20250421,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.562274,126.999595
2521145935,일반상가,월세,1/5,300,"3,000",178,178,남향,20250421,"['25년이내', '1층', '주차가능', '총5층']",37.561672,127.000655
2520443743,일반상가,월세,1/2,230,"3,000",52,52,남향,20250417,"['25년이상', '융자금없는', '1층', '총2층']",37.56177,127.000098
2519847735,단지내상가,월세,2/14,75,"1,000",20,20,북향,20250414,"['10년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.562274,126.999595
2519659820,단지내상가,월세,1/7,150,"1,500",56,36,동향,20250414,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.561316,126.998719
