articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524577992,일반상가,월세,1/3,700,1억,150,150,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.56128,126.977691
2524344230,일반상가,월세,2/3,300,"5,000",92,92,남향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.562205,126.977723
2524473811,일반상가,월세,1/2,199,"3,250",49,33,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.563172,126.977567
2524256108,일반상가,월세,3/7,220,"3,000",76,69,북동향,20250507,"['25년이상', '역세권', '중층', '엘리베이터']",37.563695,126.977786
2524255576,일반상가,월세,2/7,230,"3,000",76,69,북동향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '엘리베이터']",37.563695,126.977786
2523307707,단지내상가,월세,1/15,480,"7,000",77,48,북향,20250502,"['2년이내', '역세권', '1층', '주차가능']",37.561757,126.977941
2523345597,일반상가,월세,1/2,199,"3,250",16,14,남서향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.563172,126.977567
2523241361,일반상가,월세,4/4,150,"1,500",82,59,남향,20250502,"['25년이상', '역세권', '고층', '총4층']",37.562376,126.977708
2523192987,단지내상가,월세,1/4,250,"3,500",51,51,동향,20250430,"['25년이상', '역세권', '1층', '총4층']",37.561964,126.978207
2523119254,일반상가,월세,1/2,199,"3,250",33,33,서향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.563172,126.977567
2523134414,일반상가,월세,1/2,800,"1억 2,000",60,60,남향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.561937,126.97788
2522679952,일반상가,월세,1/9,120,500,66,56,남향,20250428,"['25년이상', '역세권', '1층', '남향']",37.562928,126.977922
2522326731,복합상가,월세,2/10,"1,188","1억 3,200",257,175,북향,20250426,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.563204,126.977924
2522132393,일반상가,월세,3/7,220,"3,000",71,67,서향,20250425,"['25년이상', '역세권', '중층', '엘리베이터']",37.563695,126.977786
2522175379,일반상가,월세,1/4,250,"3,500",49,49,동향,20250425,"['25년이상', '융자금없는', '역세권', '1층']",37.561964,126.978207
2521998146,일반상가,월세,2/7,220,"2,500",71,71,서향,20250424,"['25년이상', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.563695,126.977786
2521811833,일반상가,월세,1/4,"1,200","1억 2,000",117,117,북서향,20250423,"['25년이상', '역세권', '1층', '엘리베이터']",37.562793,126.977483
2521223043,일반상가,월세,1/9,140,"1,700",109,79,남향,20250421,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.562928,126.977922
2521019802,일반상가,월세,B1/11,300,"3,000",257,180,남향,20250419,"['25년이상', '역세권', '지하층', '주차가능']",37.563524,126.978012
2520532097,일반상가,월세,B1/11,300,"3,000",264,185,북향,20250417,"['25년이상', '역세권', '지하층', '주차가능']",37.563524,126.978012
2520164179,일반상가,월세,2/10,"1,188","1억 3,200",258,175,북향,20250415,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.563204,126.977924
2519632742,일반상가,월세,B1/9,120,"2,000",115,82,북향,20250414,"['25년이상', '융자금없는', '역세권', '지하층']",37.562378,126.977613
2519346539,일반상가,월세,전체층/4,"2,400","2억 4,000",279,279,북서향,20250411,"['25년이상', '역세권', '총4층', '북서향']",37.562793,126.977483
2518800916,일반상가,월세,2/3,450,"6,000",153,132,서향,20250409,"['25년이상', '역세권', '중층', '총3층']",37.56128,126.977691
2518740434,일반상가,월세,3/3,350,"5,000",152,152,서향,20250409,"['25년이상', '역세권', '고층', '총3층']",37.56128,126.977691
2518801803,일반상가,월세,3/3,350,"5,000",152,132,서향,20250409,"['25년이상', '역세권', '고층', '총3층']",37.56128,126.977691
2518738590,일반상가,월세,2/3,450,"6,000",153,153,서향,20250409,"['25년이상', '역세권', '중층', '총3층']",37.56128,126.977691
