articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524224562,일반상가,월세,1/2,400,"4,000",92,92,남향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.567236,126.997547
2524191250,일반상가,월세,5/5,100,"2,000",103,100,남향,20250507,"['25년이상', '역세권', '고층', '천장에어컨']",37.56708,126.99618
2524102157,복합상가,월세,1/12,100,"1,000",12,12,동향,20250507,"['25년이상', '역세권', '1층', '동향']",37.567531,126.995422
2522722004,복합상가,매매,1/8,,"3억 3,000",12,12,,20250428,"['25년이상', '역세권', '1층']",37.568055,126.995367
2522356203,일반상가,월세,8/8,70,"1,000",39,33,동향,20250426,"['25년이상', '융자금없는', '역세권', '세대분리']",37.568055,126.995367
2522357196,일반상가,월세,6/8,40,500,23,23,동향,20250426,"['25년이상', '융자금없는', '역세권', '고층']",37.568055,126.995367
2521641517,일반상가,월세,3/12,160,"2,000",30,30,남향,20250423,"['25년이상', '역세권', '지상층(1층제외)', '남향']",37.567531,126.995422
2521359934,복합상가,월세,3/12,150,"1,000",50,35,서향,20250421,"['25년이상', '역세권', '지상층(1층제외)', '서향']",37.567094,126.99547
2519771378,일반상가,월세,3/12,150,"2,000",34,34,북동향,20250414,"['25년이상', '역세권', '지상층(1층제외)', '북동향']",37.567531,126.995422
2519926199,복합상가,매매,2/8,,1억,5,5,동향,20250414,"['25년이상', '역세권', '지상층(1층제외)', '동향']",37.568055,126.995367
