articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524336835,일반상가,매매,B1/17,,17억,40,40,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.562673,126.974061
2524474209,일반상가,월세,5/5,283,"5,000",113,113,북서향,20250508,"['25년이상', '역세권', '고층', '총5층']",37.563618,126.975883
2524274906,일반상가,월세,1/2,"1,000",3억,394,148,동향,20250507,"['10년이내', '역세권', '1층', '총2층']",37.562061,126.974312
2523543374,일반상가,월세,1/10,"1,000",2억,214,214,남동향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.562943,126.972155
2523545021,복합상가,월세,B1/9,400,1억,98,66,남향,20250502,"['2년이내', '역세권', '지하층', '엘리베이터']",37.563826,126.975385
2523297178,일반상가,월세,1/8,250,"5,500",16,16,남동향,20250501,"['25년이상', '융자금없는', '역세권', '1층']",37.563123,126.973522
2523172665,일반상가,월세,B1/10,270,"5,000",231,109,북동향,20250430,"['25년이상', '역세권', '지하층', '주차가능']",37.563487,126.973533
2523040581,일반상가,월세,B1/20,350,"3,525",168,72,북서향,20250430,"['10년이내', '융자금없는', '역세권', '지하층']",37.563095,126.97521
2523181254,일반상가,월세,2/3,310,"3,000",84,66,남향,20250430,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.56302,126.973123
2522823307,일반상가,월세,1/1,479,"6,500",72,72,북향,20250429,"['25년이상', '역세권', '1층', '북향']",37.562396,126.97449
2522753839,일반상가,월세,5/14,270,"5,000",79,79,남향,20250428,"['2년이내', '역세권', '중층', '남향']",37.563892,126.975552
2522709753,일반상가,월세,1/2,"1,000",3억,473,148,동향,20250428,"['25년이내', '역세권', '1층', '천장에어컨']",37.562061,126.974312
2522761414,일반상가,월세,8/14,270,"5,000",79,79,남향,20250428,"['2년이내', '역세권', '중층', '남향']",37.563892,126.975552
2522606181,일반상가,월세,3/3,300,"3,500",69,66,북동향,20250428,"['25년이상', '역세권', '고층', '총3층']",37.561939,126.973409
2522675717,일반상가,월세,5/5,283,"5,000",89,89,북향,20250428,"['25년이상', '역세권', '고층', '총5층']",37.563618,126.975883
2522761166,일반상가,월세,4/14,270,"5,000",79,79,남동향,20250428,"['2년이내', '역세권', '지상층(1층제외)', '남동향']",37.563892,126.975552
2522728096,복합상가,월세,1/10,652,"6,522",109,109,남향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.562863,126.971729
2522246578,일반상가,월세,B1/10,270,"5,000",231,110,북향,20250425,"['25년이상', '역세권', '지하층', '주차가능']",37.563487,126.973533
2522153125,일반상가,월세,1/2,290,"3,000",52,26,서향,20250425,"['25년이상', '역세권', '1층', '총2층']",37.562486,126.973484
2521974159,일반상가,월세,1/10,"1,000",2억,329,214,남향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.562943,126.972155
2521804685,일반상가,월세,5/5,283,"5,000",113,85,서향,20250423,"['25년이상', '역세권', '고층', '엘리베이터']",37.563618,126.975883
