articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524351939,단지내상가,매매,1/2,,"15억 3,000",92,92,남서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2524539246,단지내상가,매매,1/2,,"15억 3,000",184,92,서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2524121363,단지내상가,매매,1/27,,"7억 7,000",22,22,동향,20250507,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.560182,126.972058
2523919705,일반상가,월세,2/27,500,1억,122,122,남동향,20250506,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.560182,126.972058
2523385384,단지내상가,월세,1/2,350,"5,000",236,118,동향,20250502,"['10년이내', '융자금없는', '역세권', '1층']",37.563584,126.970348
2523165195,단지내상가,월세,1/22,160,"2,000",115,69,남동향,20250430,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2523127314,복합상가,월세,2/27,400,"8,000",76,76,남향,20250430,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.560182,126.972058
2522882012,복합상가,월세,B1/27,130,"1,000",50,50,남향,20250429,"['25년이내', '역세권', '지하층', '남향']",37.560182,126.972058
2522660781,단지내상가,월세,1/12,500,1억,394,163,북향,20250428,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2522272816,단지내상가,매매,1/2,,"7억 5,000",148,70,북향,20250425,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2522236114,복합상가,매매,1/2,,"4억 9,000",72,72,북향,20250425,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2522234792,복합상가,월세,1/1,180,"1,000",109,54,서향,20250425,"['10년이내', '융자금없는', '역세권', '1층']",37.563584,126.970348
2522235376,복합상가,월세,1/2,180,"1,000",109,54,동향,20250425,"['10년이내', '융자금없는', '역세권', '1층']",37.563584,126.970348
2522006355,단지내상가,매매,1/2,,"4억 6,000",59,30,서향,20250424,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.563584,126.970348
2522012163,복합상가,매매,1/2,,"4억 6,000",29,29,서향,20250424,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2522012552,복합상가,매매,2/2,,5억,40,40,동향,20250424,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2521967421,복합상가,매매,1/1,,5억,72,72,북향,20250424,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2521876864,단지내상가,월세,B1/22,180,"1,000",108,54,남서향,20250424,"['10년이내', '역세권', '지하층', '주차가능']",37.563584,126.970348
2522036998,단지내상가,매매,1/2,,"4억 9,000",152,72,북향,20250424,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2521792595,단지내상가,매매,1/2,,"4억 5,000",106,53,남서향,20250423,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2521630235,단지내상가,매매,2/2,,5억,82,40,동향,20250423,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2521260517,단지내상가,매매,2/2,,"8억 5,000",174,87,동향,20250421,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2520799054,복합상가,매매,1/22,,"2억 9,000",40,13,서향,20250418,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2520799177,복합상가,매매,1/2,,"4억 5,000",53,53,북향,20250418,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2520068623,복합상가,월세,1/2,260,"3,000",59,59,동향,20250415,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2520063267,복합상가,매매,2/2,,5억,61,61,남향,20250415,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2519919886,단지내상가,월세,1/22,260,"3,000",119,59,남향,20250414,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2519670954,단지내상가,매매,1/2,,9억,169,84,남동향,20250414,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2519442879,단지내상가,매매,2/2,,"11억 5,000",236,118,남향,20250412,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2519442888,단지내상가,매매,1/2,,"4억 5,000",96,48,동향,20250412,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2519319390,복합상가,매매,2/2,,"11억 5,000",118,118,남서향,20250411,"['10년이내', '역세권', '고층', '주차가능']",37.563584,126.970348
2519320538,복합상가,매매,1/2,,"3억 8,000",50,50,북향,20250411,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2519319762,복합상가,월세,1/1,160,"2,000",70,70,북향,20250411,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
2518728818,단지내상가,월세,1/2,260,"3,000",119,59,동향,20250409,"['10년이내', '융자금없는', '역세권', '1층']",37.563584,126.970348
2518725689,단지내상가,매매,2/2,,"2억 9,000",27,13,서향,20250409,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.563584,126.970348
2518727270,단지내상가,매매,1/2,,6억,149,70,북향,20250409,"['10년이내', '역세권', '1층', '주차가능']",37.563584,126.970348
