articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524631079,일반상가,월세,1/5,260,"3,000",76,68,동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.56277,127.018849
2524621339,일반상가,월세,1/3,300,"5,000",75,66,동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.56464,127.016674
2524621224,일반상가,월세,1/4,258,"3,000",74,55,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.563134,127.016352
2524633326,일반상가,월세,1/5,140,"2,000",36,31,,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.56277,127.018849
2524630919,일반상가,월세,1/4,200,"2,000",49,46,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.565061,127.017798
2524663780,일반상가,월세,1/2,130,"2,000",29,29,남향,20250509,"['10년이내', '역세권', '1층', '총2층']",37.56525,127.020389
2524627950,일반상가,월세,1/2,65,600,23,23,북동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.564588,127.019508
2524629437,단지내상가,매매,1/11,,"11억 5,000",56,34,북서향,20250509,"['10년이내', '역세권', '1층', '급매']",37.553189,127.010689
2524532444,일반상가,월세,1/2,120,600,20,20,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.564139,127.010365
2524560930,단지내상가,월세,1/5,165,"2,000",43,29,북동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.549017,127.009272
2524559098,일반상가,월세,1/4,180,"2,000",65,52,남서향,20250508,"['25년이내', '1층', '관리비10만원이하', '총4층']",37.560483,127.019198
2524308933,일반상가,월세,1/4,60,"1,200",26,26,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.565256,127.018635
2524449594,일반상가,월세,2/4,330,"2,000",119,119,동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.559914,127.013344
2524557890,일반상가,월세,1/1,80,"1,000",17,17,서향,20250508,"['25년이상', '역세권', '1층', '서향']",37.564758,127.018003
2524334835,일반상가,월세,1/4,550,1억,80,80,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.565453,127.018622
2524621614,복합상가,매매,4/15,,"1,000",5,5,서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.567213,127.012781
2524551540,일반상가,월세,1/4,220,"1,000",60,60,남서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.560919,127.018722
2524563374,일반상가,월세,1/4,150,"2,000",49,46,북향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.561537,127.017867
2524513895,일반상가,월세,5/8,600,1억,221,191,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.554946,127.011785
2524422220,일반상가,월세,1/3,280,"5,000",88,88,남서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.565021,127.017445
2524510775,일반상가,월세,B1/3,250,"3,000",73,73,서향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.557579,127.009136
2524600318,복합상가,매매,1/8,,12억,29,29,남서향,20250508,"['25년이상', '역세권', '1층', '남서향']",37.569365,127.013771
2524424247,복합상가,매매,6/9,,"1억 3,000",10,3,북향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.567872,127.014299
2524514131,일반상가,월세,6/8,400,"7,000",155,115,남서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.554946,127.011785
2524378491,일반상가,월세,1/5,410,1억,156,100,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.563663,127.01672
2524555172,일반상가,월세,1/5,400,"6,000",69,49,남동향,20250508,"['25년이상', '역세권', '1층', '엘리베이터']",37.554389,127.011524
2524348170,일반상가,월세,2/6,300,"4,000",149,149,서향,20250508,"['25년이상', '융자금적은', '역세권', '지상층(1층제외)']",37.563316,127.020953
2524453559,단지내상가,월세,4/5,70,"1,000",84,40,북향,20250508,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.549017,127.009272
2524422756,복합상가,매매,4/9,,"3억 2,500",18,6,북향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.567872,127.014299
