articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524501187,일반상가,월세,2/21,"2,670","2억 6,708",1005,357,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.566472,126.981047
2523487310,일반상가,월세,B1/21,"1,050","1억 3,200",434,228,남향,20250502,"['25년이상', '융자금없는', '역세권', '지하층']",37.566472,126.981047
2522650209,일반상가,월세,2/21,"2,671","2억 6,709",679,357,남향,20250428,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.566472,126.981047
2522596141,복합상가,월세,B1/21,"1,300","1억 6,300",283,283,남향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.566472,126.981047
2522709941,복합상가,월세,2/21,"2,670","2억 6,708",679,347,남향,20250428,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.566472,126.981047
2522540290,복합상가,월세,B1/21,"1,150","1억 4,300",247,247,남향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.566472,126.981047
2522499927,일반상가,월세,B1/22,"2,450",3억 600,1008,531,남향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.566472,126.981047
2522498458,일반상가,월세,B1/22,"1,150","1억 4,300",470,247,남향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.566472,126.981047
2522008824,일반상가,월세,B1/21,"1,300","1억 6,300",537,283,남향,20250424,"['25년이상', '융자금없는', '역세권', '지하층']",37.566472,126.981047
2521243088,일반상가,월세,B1/21,"1,197","1억 4,972",260,260,남향,20250421,"['25년이상', '융자금없는', '역세권', '지하층']",37.566472,126.981047
2520849468,일반상가,월세,전체층/4,"1,500",2억,290,166,북서향,20250418,"['4년이내', '역세권', '총4층', '북서향']",37.566454,126.979883
2520012912,복합상가,월세,B1/21,"1억 1,500","1억 4,300",313,313,남향,20250415,"['25년이상', '역세권', '지하층', '주차가능']",37.566472,126.981047
2519150308,일반상가,월세,B1/21,"2,450",3억 600,1008,531,남향,20250411,"['25년이상', '융자금없는', '역세권', '지하층']",37.566472,126.981047
2519150145,일반상가,월세,B1/21,"1,200","1억 5,000",494,260,남향,20250411,"['25년이상', '융자금없는', '역세권', '지하층']",37.566472,126.981047
