articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524631672,일반상가,월세,4/5,110,"1,200",60,60,서향,20250509,"['25년이내', '역세권', '고층', '관리비10만원이하']",37.563541,126.994841
2524466514,일반상가,월세,4/4,450,"4,500",139,122,,20250508,"['10년이내', '융자금없는', '역세권', '고층']",37.564524,126.995109
2523399449,일반상가,월세,2/2,120,"1,500",72,70,서향,20250502,"['25년이상', '역세권', '고층', '총2층']",37.56415,126.99476
2523400786,일반상가,월세,1/2,200,"2,000",66,65,서향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.564846,126.994981
2523401685,일반상가,월세,3/4,900,1억,261,230,남향,20250502,"['10년이내', '융자금없는', '역세권', '고층']",37.564524,126.995109
2522778689,일반상가,월세,1/2,140,"2,000",26,26,북향,20250429,"['25년이상', '융자금적은', '역세권', '1층']",37.56408,126.996132
2522779288,일반상가,월세,1/2,130,"1,500",59,59,북향,20250429,"['25년이상', '융자금적은', '역세권', '1층']",37.563925,126.994898
2522724746,일반상가,매매,2/27,,26억 800,254,188,북향,20250428,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.564431,126.99699
2521903350,일반상가,월세,1/4,"1,500","1억 5,000",261,261,남향,20250424,"['10년이내', '역세권', '1층', '총4층']",37.564524,126.995109
2521279829,일반상가,월세,3/4,900,1억,275,275,남향,20250421,"['10년이내', '역세권', '고층', '총4층']",37.564524,126.995109
2520457131,복합상가,월세,1/12,350,"3,000",700,450,남동향,20250417,"['25년이내', '역세권', '1층', '주차가능']",37.564823,126.99571
2520320440,일반상가,월세,3/5,50,500,30,30,서향,20250416,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.563623,126.994784
2519954514,일반상가,월세,1/4,150,"1,700",55,55,서향,20250415,"['4년이내', '역세권', '1층', '총4층']",37.564,126.996918
2519470045,일반상가,월세,2/2,140,"2,200",73,73,,20250412,"['25년이상', '역세권', '고층', '총2층']",37.56375,126.995176
2518875678,일반상가,월세,3/4,900,1억,272,257,,20250410,"['10년이내', '융자금없는', '역세권', '고층']",37.564524,126.995109
2518977707,일반상가,월세,1/4,250,"3,000",69,69,남동향,20250410,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.563767,126.997182
2518936075,일반상가,월세,2/4,190,"2,500",57,57,,20250410,"['4년이내', '융자금없는', '역세권', '중층']",37.564,126.996918
