articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524431299,일반상가,월세,B1/6,517,1억,188,161,동향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.560061,127.004871
2524622360,일반상가,월세,1/2,200,"3,000",39,39,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.562713,127.001507
2524595314,일반상가,월세,1/5,270,"3,500",86,52,동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.561263,127.002448
2524045865,일반상가,월세,B1/4,250,"5,500",29,29,동향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.55893,127.002656
2523920283,일반상가,월세,1/3,200,"3,000",42,42,북서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.562713,127.001507
2522936644,일반상가,월세,B1/6,517,1억,218,164,북동향,20250429,"['2년이내', '역세권', '지하층', '주차가능']",37.560061,127.004871
2522732056,일반상가,월세,1/5,270,"3,500",52,52,동향,20250428,"['25년이내', '융자금적은', '테라스', '역세권']",37.561263,127.002448
2522573216,일반상가,월세,B1/6,517,1억,155,132,남향,20250428,"['2년이내', '역세권', '지하층', '주차가능']",37.560061,127.004871
2521628576,일반상가,월세,2/6,594,1억,178,178,,20250423,"['2년이내', '융자금없는', '마당', '역세권']",37.560061,127.004871
2521766010,일반상가,월세,1/3,200,"3,000",82,82,,20250423,"['25년이상', '융자금적은', '역세권', '1층']",37.562713,127.001507
2519649826,일반상가,월세,1/5,425,"4,000",92,92,북향,20250414,"['25년이상', '융자금없는', '테라스', '역세권']",37.560466,127.005251
2519431842,일반상가,월세,1/5,270,"3,500",86,15,동향,20250412,"['25년이내', '역세권', '1층', '총5층']",37.561263,127.002448
2518647386,일반상가,월세,2/5,270,"3,500",52,52,동향,20250409,"['25년이내', '역세권', '중층', '주차가능']",37.561263,127.002448
