articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524590471,일반상가,월세,2/4,180,"2,000",59,49,서향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.563898,126.990329
2524515528,일반상가,월세,4/5,250,"3,000",79,79,남향,20250508,"['25년이상', '역세권', '고층', '총5층']",37.563278,126.99056
2524529202,일반상가,월세,2/2,200,"2,000",95,85,남동향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.565258,126.990062
2524409012,단지내상가,월세,1/14,330,"4,000",59,28,동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.565165,126.990564
2524581622,일반상가,월세,1/4,470,"5,000",69,69,남향,20250508,"['2년이내', '역세권', '1층', '총4층']",37.56534,126.99009
2524413162,단지내상가,매매,1/14,,9억,105,49,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.565165,126.990564
2524195885,일반상가,월세,1/3,600,"8,000",160,133,북향,20250507,"['25년이내', '역세권', '1층', '총3층']",37.565402,126.990476
2524113544,일반상가,월세,1/2,260,"3,500",25,25,남서향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.564962,126.99017
2524160007,일반상가,월세,1/2,330,"3,000",59,59,남향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.564978,126.989689
2524052584,일반상가,월세,1/2,330,"3,000",61,61,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.564978,126.989689
2524161607,일반상가,월세,1/12,450,"5,000",168,168,동향,20250507,"['15년이내', '역세권', '1층', '동향']",37.563214,126.990088
2524262519,일반상가,월세,4/5,250,"3,000",80,80,남향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.563278,126.99056
2523525004,일반상가,월세,2/5,150,"1,500",73,73,북향,20250502,"['25년이상', '역세권', '중층', '총5층']",37.56353,126.991025
2523336168,일반상가,월세,2/3,210,"2,100",56,56,남서향,20250502,"['25년이상', '역세권', '중층', '총3층']",37.564983,126.989793
2523394142,일반상가,월세,1/12,450,"5,000",198,168,동향,20250502,"['15년이내', '역세권', '1층', '주차가능']",37.563214,126.990088
2523134612,일반상가,매매,1/2,,20억,52,52,남서향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.565046,126.990087
2523055949,일반상가,월세,B2/10,170,"4,000",161,161,북향,20250430,"['25년이상', '역세권', '지하층', '주차가능']",37.564721,126.989732
2523056155,일반상가,월세,1/26,620,1억,79,79,동향,20250430,"['10년이내', '역세권', '1층', '주차가능']",37.565585,126.989426
2522928896,일반상가,월세,B1/3,264,"5,000",80,80,남동향,20250429,"['25년이상', '역세권', '지하층', '총3층']",37.564983,126.989793
2522935882,일반상가,월세,1/2,400,"5,000",82,82,북향,20250429,"['25년이상', '역세권', '1층', '총2층']",37.564524,126.988736
2522619199,일반상가,월세,1/2,260,"3,500",27,27,남서향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.564962,126.99017
