articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524373564,일반상가,월세,2/18,700,1억,350,247,남동향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.568173,126.970004
2524271744,일반상가,월세,1/3,452,"5,000",66,66,남향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.56786,126.969911
2523317144,일반상가,월세,1/6,432,"5,000",82,66,남향,20250502,"['25년이상', '역세권', '1층', '남향']",37.56786,126.969911
2522977833,일반상가,월세,B1/3,300,"3,500",84,84,동향,20250429,"['25년이내', '역세권', '지하층', '주차가능']",37.566039,126.972575
2522919591,일반상가,월세,1/9,630,1억,63,63,북향,20250429,"['10년이내', '역세권', '1층', '주차가능']",37.563215,126.971874
2522724880,복합상가,매매,1/9,,12억,39,39,북향,20250428,"['10년이내', '역세권', '1층', '주차가능']",37.563215,126.971874
2522725923,복합상가,매매,1/1,,"6억 9,000",37,37,북향,20250428,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.563215,126.971874
2522726373,복합상가,매매,1/9,,"7억 9,000",81,81,남향,20250428,"['10년이내', '역세권', '1층', '급매']",37.563215,126.971874
2522510300,일반상가,월세,1/3,452,"5,000",79,66,남서향,20250428,"['25년이상', '역세권', '1층', '천장에어컨']",37.56786,126.969911
2522725478,단지내상가,월세,1/9,210,"4,000",37,37,북향,20250428,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.563215,126.971874
2522723788,단지내상가,매매,B1/9,,11억,65,35,남향,20250428,"['10년이내', '역세권', '지하층', '주차가능']",37.563215,126.971874
2522299894,일반상가,월세,1/18,126,"1,500",19,13,북서향,20250425,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.568173,126.970004
2522101928,일반상가,월세,1/1,385,"3,850",56,56,북향,20250425,"['25년이상', '역세권', '1층', '북향']",37.569306,126.975659
2521727928,일반상가,월세,1/18,126,"1,500",19,13,남서향,20250423,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.568093,126.969721
2521583214,일반상가,월세,1/10,400,"4,000",82,82,남향,20250422,"['25년이내', '역세권', '1층', '주차가능']",37.563701,126.972278
2520796748,일반상가,월세,2/18,700,1억,231,231,남서향,20250418,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.568093,126.969721
2520592709,일반상가,월세,2/3,370,"3,700",181,181,,20250417,"['25년이상', '역세권', '중층', '총3층']",37.568956,126.975508
2520095440,복합상가,월세,1/9,230,"3,000",36,36,남향,20250415,"['10년이내', '역세권', '1층', '주차가능']",37.563215,126.971874
2519853007,일반상가,월세,16/18,247,"5,000",125,79,서향,20250414,"['25년이상', '역세권', '고층', '주차가능']",37.568173,126.970004
2519323855,복합상가,매매,1/1,,12억,77,40,북향,20250411,"['10년이내', '역세권', '1층', '주차가능']",37.563215,126.971874
