articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524597440,단지내상가,월세,1/39,210,"3,150",128,51,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.560648,126.968344
2524519821,일반상가,월세,B1/6,"1,500","1억 5,000",1196,991,서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.55774,126.968595
2523686186,일반상가,월세,2/3,220,"3,000",59,59,남향,20250503,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.558968,126.963345
2523751309,일반상가,월세,3/3,150,"2,000",77,77,남향,20250503,"['25년이상', '역세권', '고층', '총3층']",37.558959,126.962685
2523560165,일반상가,월세,1/3,160,"2,000",28,28,북서향,20250502,"['25년이상', '융자금없는', '역세권', '1층']",37.558985,126.962592
2523372631,복합상가,매매,2/39,,"13억 5,000",304,125,남서향,20250502,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.560648,126.968344
2522998809,단지내상가,매매,3/5,,6억,41,41,북향,20250429,"['25년이상', '역세권', '중층', '총5층']",37.559596,126.96726
2522274963,일반상가,월세,2/2,300,"5,000",112,112,남서향,20250425,"['2년이내', '역세권', '고층', '천장에어컨']",37.560241,126.966658
2522075952,일반상가,월세,1/3,230,"4,000",70,70,북향,20250425,"['25년이상', '역세권', '1층', '총3층']",37.558985,126.963592
2522253527,복합상가,월세,B1/17,"3,900","3억 9,000",2197,1068,북향,20250425,"['15년이내', '역세권', '지하층', '주차가능']",37.560914,126.967023
2521865675,일반상가,월세,1/2,80,800,14,9,동향,20250424,"['15년이내', '역세권', '1층', '총2층']",37.559649,126.968105
2521815284,단지내상가,월세,1/5,180,"5,000",41,41,북향,20250423,"['25년이상', '역세권', '1층', '총5층']",37.559596,126.96726
2521438929,단지내상가,월세,3/6,180,"5,000",41,41,북향,20250422,"['25년이상', '융자금없는', '역세권', '중층']",37.559596,126.96726
2520900919,단지내상가,월세,1/39,250,"5,000",131,52,남서향,20250421,"['25년이내', '융자금없는', '역세권', '1층']",37.560648,126.968344
2521368934,단지내상가,월세,B1/7,276,"3,000",75,62,남향,20250421,"['15년이내', '역세권', '지하층', '주차가능']",37.558982,126.966059
2521320228,일반상가,월세,B1/16,"3,500",5억,2266,1035,북서향,20250421,"['25년이내', '역세권', '지하층', '주차가능']",37.560439,126.966267
2521346212,일반상가,월세,1/1,90,"1,000",28,28,동향,20250421,"['25년이상', '역세권', '1층', '동향']",37.557161,126.967791
2520492857,단지내상가,매매,2/25,,6억,50,50,남동향,20250417,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.560648,126.968344
2520128640,일반상가,월세,1/3,140,"5,700",39,39,북향,20250415,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.558952,126.963938
2520087880,일반상가,월세,2/3,180,"5,000",49,49,북동향,20250415,"['25년이상', '역세권', '중층', '총3층']",37.557523,126.967812
2519764623,일반상가,월세,1/39,260,"3,000",52,52,서향,20250414,"['25년이내', '역세권', '1층', '주차가능']",37.560648,126.968344
2519702681,일반상가,월세,B1/17,"3,900","3억 9,000",2066,1066,남향,20250414,"['15년이내', '역세권', '지하층', '주차가능']",37.560914,126.967023
2519913714,일반상가,월세,1/22,295,"5,000",94,54,,20250414,"['2년이내', '역세권', '1층', '관리비30만원이하']",37.560028,126.968596
2519660759,일반상가,월세,1/2,350,"5,000",87,80,북동향,20250414,"['25년이상', '역세권', '1층', '총2층']",37.559709,126.96802
2519520841,일반상가,월세,B1/17,"3,900","3억 9,000",1068,1068,북동향,20250412,"['15년이내', '역세권', '지하층', '주차가능']",37.560914,126.967023
2518953092,단지내상가,월세,1/15,70,"1,000",60,32,북서향,20250410,"['25년이내', '역세권', '1층', '주차가능']",37.560439,126.966267
