articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524631614,일반상가,월세,5/5,200,"3,500",67,67,동향,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.564168,126.992373
2524336841,일반상가,월세,3/7,200,"3,000",117,99,서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.564117,126.992577
2524622301,일반상가,월세,1/5,550,"5,000",113,113,남서향,20250508,"['25년이상', '역세권', '1층', '풀옵']",37.563527,126.991736
2524564320,일반상가,월세,B1/16,"5,531","5억 5,317",2387,979,남향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.564974,126.99126
2524110564,일반상가,월세,3/5,308,"3,000",259,231,북향,20250507,"['25년이상', '역세권', '중층', '총5층']",37.56357,126.991396
2524175701,일반상가,월세,2/16,"9,671","9억 6,718",2049,984,남향,20250507,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.564974,126.99126
2524158602,일반상가,월세,1/3,300,"3,000",79,79,남향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.564535,126.992338
2523399187,일반상가,월세,5/5,200,"3,500",67,60,남동향,20250502,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.564168,126.992373
2523378547,단지내상가,월세,1/4,480,"8,000",79,79,북서향,20250502,"['25년이상', '역세권', '1층', '총4층']",37.565044,126.992262
2522692018,일반상가,월세,4/5,240,"3,000",92,92,동향,20250428,"['25년이상', '역세권', '고층', '총5층']",37.564168,126.992373
2522577096,일반상가,월세,B1/16,"3,237","3억 2,374",925,578,남향,20250428,"['2년이내', '역세권', '지하층', '주차가능']",37.564974,126.99126
2522626773,일반상가,월세,B1/4,150,"2,000",102,102,북서향,20250428,"['25년이상', '역세권', '지하층', '총4층']",37.564944,126.990849
2522044835,일반상가,월세,1/3,300,"4,000",72,72,남동향,20250424,"['25년이상', '역세권', '1층', '총3층']",37.564599,126.992483
2521977283,일반상가,월세,1/3,400,"4,000",81,81,동향,20250424,"['25년이상', '역세권', '1층', '총3층']",37.565007,126.992072
2521976888,일반상가,월세,1/4,400,"5,000",44,44,서향,20250424,"['25년이상', '역세권', '1층', '총4층']",37.565044,126.992262
2522066235,일반상가,월세,1/4,300,"5,000",36,36,북동향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.564242,126.992448
2521627267,일반상가,월세,3/5,160,"2,000",100,66,남동향,20250423,"['25년이상', '융자금없는', '역세권', '중층']",37.564168,126.992373
2521827562,복합상가,월세,1/3,300,"3,000",100,100,남향,20250423,"['25년이상', '융자금없는', '역세권', '1층']",37.564599,126.992483
2521793984,단지내상가,월세,2/5,200,"2,000",95,95,북서향,20250423,"['25년이상', '역세권', '중층', '총5층']",37.563243,126.991715
2521763535,일반상가,월세,3/3,90,"2,000",81,71,서향,20250423,"['25년이상', '역세권', '고층', '총3층']",37.565209,126.991046
2521605662,일반상가,월세,1/3,300,"3,000",79,79,남향,20250422,"['25년이상', '역세권', '1층', '총3층']",37.564599,126.992483
2521108993,일반상가,월세,1/5,410,"6,000",76,76,동향,20250421,"['25년이상', '역세권', '1층', '총5층']",37.563354,126.991496
2521351394,일반상가,월세,1/16,"2,160","2억 1,604",457,335,남향,20250421,"['2년이내', '역세권', '1층', '주차가능']",37.565152,126.99138
2521351309,일반상가,월세,B1/16,"1,869","1억 8,695",515,330,남향,20250421,"['2년이내', '역세권', '지하층', '주차가능']",37.565152,126.99138
2521351349,일반상가,월세,1/16,704,"7,040",200,95,남향,20250421,"['2년이내', '역세권', '1층', '주차가능']",37.565152,126.99138
2521228520,일반상가,월세,B1/4,135,"2,000",114,114,서향,20250421,"['25년이상', '융자금적은', '역세권', '지하층']",37.564944,126.990849
2521035695,일반상가,월세,1/4,580,"8,000",91,91,서향,20250419,"['25년이상', '역세권', '1층', '총4층']",37.564696,126.992619
2520915556,일반상가,월세,1/3,400,"4,000",81,66,동향,20250419,"['25년이상', '역세권', '1층', '총3층']",37.565007,126.992072
2520722603,일반상가,월세,1/16,"1,705","1억 7,057",324,237,남향,20250418,"['2년이내', '융자금없는', '역세권', '1층']",37.565152,126.99138
2520839610,일반상가,월세,1/4,460,"8,000",66,66,북서향,20250418,"['25년이상', '역세권', '1층', '총4층']",37.565044,126.992262
2520414879,일반상가,월세,1/16,"1,869","1억 8,694",787,331,남향,20250417,"['2년이내', '융자금없는', '역세권', '1층']",37.565152,126.99138
2520197996,일반상가,월세,3/3,90,"2,000",81,81,서향,20250416,"['25년이상', '역세권', '고층', '총3층']",37.565209,126.991046
2520219739,일반상가,월세,1/3,400,"4,000",66,66,동향,20250416,"['25년이상', '역세권', '1층', '총3층']",37.565007,126.992072
2519998340,일반상가,월세,B1/7,200,"3,000",93,93,동향,20250415,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.564117,126.992577
2520007689,일반상가,월세,3/7,200,"3,000",117,90,서향,20250415,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.564117,126.992577
2519713734,일반상가,월세,1/16,704,"7,040",133,97,남향,20250414,"['2년이내', '융자금없는', '역세권', '1층']",37.565152,126.99138
2519400706,일반상가,월세,4/5,240,"3,000",92,82,남동향,20250411,"['25년이내', '역세권', '고층', '엘리베이터']",37.564168,126.992373
2519161581,일반상가,월세,1/4,470,"8,000",81,81,북서향,20250411,"['25년이상', '융자금없는', '역세권', '1층']",37.565044,126.992262
2519144915,일반상가,월세,2/4,220,"2,000",86,77,남향,20250410,"['25년이상', '융자금적은', '역세권', '중층']",37.563755,126.991425
2519028299,일반상가,월세,1/5,484,"6,000",132,132,남동향,20250410,"['25년이상', '역세권', '1층', '총5층']",37.563354,126.991496
2519021263,일반상가,월세,1/4,300,"3,000",72,72,남동향,20250410,"['25년이상', '역세권', '1층', '주차가능']",37.564535,126.992338
2518785111,일반상가,월세,1/5,600,1억,135,135,북동향,20250409,"['25년이상', '융자금없는', '역세권', '1층']",37.563552,126.991649
