articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524639575,일반상가,월세,4/22,702,"7,020",298,231,남동향,20250509,"['25년이상', '융자금적은', '역세권', '지상층(1층제외)']",37.560947,126.982535
2524639996,일반상가,월세,2/4,500,"5,000",103,100,동향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.561903,126.983897
2524397077,일반상가,월세,1/6,"1억 7,000",30억,964,916,동향,20250508,"['25년이상', '역세권', '1층', '동향']",37.561792,126.984772
2524510419,일반상가,월세,4/6,800,1억,120,120,남향,20250508,"['15년이내', '역세권', '중층', '남향']",37.561573,126.98428
2524399476,일반상가,월세,1/5,"2,500",5억,308,264,동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.561023,126.983118
2524332522,일반상가,월세,1/22,"2,040","5억 1,000",561,393,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.560947,126.982535
2524541697,일반상가,월세,1/4,"2,500",4억,159,159,북서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.561075,126.982389
2524520756,일반상가,월세,1/8,550,"5,000",14,14,북서향,20250508,"['25년이상', '역세권', '1층', '북서향']",37.561741,126.984299
2524400812,일반상가,월세,4/4,100,"1,000",26,23,동향,20250508,"['25년이상', '역세권', '고층', '총4층']",37.561903,126.983897
2524510851,일반상가,월세,5/5,150,"1,000",23,23,동향,20250508,"['25년이상', '역세권', '고층', '총5층']",37.561733,126.983943
2524349264,일반상가,월세,4/5,350,"4,000",160,160,동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.561733,126.983943
2524168734,일반상가,월세,3/22,"1,037",1억 374,439,307,남향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.560947,126.982535
2524103748,일반상가,월세,6/7,60,"1,000",27,27,동향,20250507,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.561072,126.98201
2524063845,일반상가,월세,6/7,60,"1,000",40,40,남서향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.561072,126.98201
2524064227,일반상가,월세,1/6,"1억 7,000",30억,964,964,동향,20250507,"['25년이상', '역세권', '1층', '동향']",37.561792,126.984772
2524062949,일반상가,월세,3/7,300,"3,000",44,44,남서향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.561072,126.98201
2523679445,일반상가,월세,1/22,"2,040","5억 1,000",562,395,남향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.560947,126.982535
2523592228,일반상가,월세,3/3,"1,200",2억,1183,1183,북향,20250502,"['25년이상', '역세권', '고층', '총3층']",37.561195,126.983767
2523442768,일반상가,월세,3/5,250,"3,000",66,56,남향,20250502,"['25년이상', '역세권', '중층', '총5층']",37.56141,126.983216
2522662589,일반상가,월세,5/5,150,"1,000",30,21,북향,20250428,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.561733,126.983943
2521348248,일반상가,월세,1/7,"1억 8,000",20억,712,712,북향,20250421,"['25년이내', '역세권', '1층', '북향']",37.56131,126.984431
2521346145,일반상가,월세,3/4,250,"3,000",58,58,남향,20250421,"['25년이상', '역세권', '고층', '총4층']",37.561418,126.983283
2520626878,일반상가,월세,3/22,"1,037",1억 374,439,309,남향,20250417,"['25년이상', '역세권', '지상층(1층제외)', '남향']",37.560947,126.982535
2520034571,일반상가,월세,1/8,700,1억,68,60,남서향,20250415,"['25년이상', '역세권', '1층', '남서향']",37.56115,126.983367
2519621546,일반상가,월세,3/4,250,"3,000",66,58,남서향,20250414,"['25년이상', '융자금적은', '역세권', '고층']",37.561418,126.983283
2519691187,일반상가,월세,B1/4,200,"3,000",88,88,동향,20250414,"['25년이상', '역세권', '지하층', '총4층']",37.561903,126.983897
2519475203,일반상가,월세,1/5,"2,500",3억,308,308,동향,20250412,"['25년이상', '역세권', '1층', '총5층']",37.561023,126.983118
2518889848,일반상가,월세,1/22,"2,040","5억 1,000",562,430,남동향,20250410,"['25년이상', '역세권', '1층', '남동향']",37.560947,126.982535
