articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524569148,일반상가,월세,1/2,450,"5,000",42,42,북서향,20250508,"['2년이내', '역세권', '1층', '총2층']",37.567695,126.968937
2524511230,일반상가,월세,1/3,450,"4,500",62,46,남향,20250508,"['2년이내', '역세권', '1층', '총3층']",37.567695,126.968937
2524003750,일반상가,월세,1/10,450,"5,000",112,112,북서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2524151549,일반상가,월세,1/10,450,"5,000",215,112,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2523504770,일반상가,월세,1/10,450,"5,000",215,115,북서향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2523175209,일반상가,월세,1/2,450,"5,000",62,62,서향,20250430,"['2년이내', '역세권', '1층', '총2층']",37.567695,126.968937
2522626571,일반상가,월세,1/10,450,"5,000",115,115,북서향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2522590884,일반상가,월세,2/3,250,"2,500",62,46,남향,20250428,"['2년이내', '역세권', '중층', '총3층']",37.567695,126.968937
2522708867,일반상가,월세,2/2,250,"2,500",44,44,북서향,20250428,"['2년이내', '역세권', '고층', '총2층']",37.567695,126.968937
2521997030,일반상가,월세,1/2,450,"5,000",62,62,북서향,20250424,"['25년이상', '역세권', '1층', '총2층']",37.567747,126.968901
2521839651,일반상가,월세,1/10,450,"5,000",158,110,북서향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2521078608,일반상가,월세,1/10,450,"5,000",158,115,북서향,20250421,"['25년이상', '역세권', '1층', '주차가능']",37.567489,126.968818
2520062406,일반상가,월세,1/2,450,"4,500",66,46,북서향,20250415,"['2년이내', '역세권', '1층', '총2층']",37.567695,126.968937
2520064220,일반상가,월세,2/2,250,"2,500",66,46,북서향,20250415,"['2년이내', '역세권', '고층', '총2층']",37.567695,126.968937
