articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636644,일반상가,월세,1/12,170,"1,625",59,59,북동향,20250509,"['25년이상', '역세권', '1층', '북동향']",37.563668,126.976304
2524488190,일반상가,월세,1/2,350,"5,000",59,59,북향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.563747,126.977556
2524412197,일반상가,월세,3/12,515,"4,550",231,155,북동향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '천장에어컨']",37.563668,126.976304
2524406400,일반상가,월세,1/6,"1,200","1억 5,000",166,166,서향,20250508,"['2년이내', '역세권', '1층', '서향']",37.56326,126.97704
2524059927,일반상가,월세,1/6,840,1억,82,82,남동향,20250507,"['25년이상', '역세권', '1층', '남동향']",37.56308,126.977197
2523961873,일반상가,월세,4/13,85,850,52,52,서향,20250507,"['25년이상', '역세권', '지상층(1층제외)', '서향']",37.562819,126.976991
2523689961,일반상가,월세,1/6,"1,200","1억 5,000",165,165,북서향,20250503,"['2년이내', '역세권', '1층', '북서향']",37.56326,126.97704
2523475089,일반상가,월세,1/2,350,"5,000",50,50,북향,20250502,"['25년이상', '역세권', '1층', '총2층']",37.563747,126.977556
2523307975,일반상가,월세,1/4,400,1억,152,152,동향,20250502,"['25년이상', '역세권', '1층', '총4층']",37.562344,126.976812
2523188562,일반상가,월세,1/2,220,"2,500",29,19,북향,20250430,"['25년이상', '역세권', '1층', '총2층']",37.563762,126.977591
2522867321,일반상가,월세,1/6,840,1억,90,80,남동향,20250429,"['25년이상', '역세권', '1층', '주차가능']",37.56308,126.977197
2522627004,일반상가,월세,1/2,200,"2,500",16,16,북향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.563762,126.977591
2522663078,일반상가,월세,1/3,483,"3,000",26,26,북서향,20250428,"['25년이상', '역세권', '1층', '총3층']",37.563776,126.977289
2522070731,일반상가,월세,1/2,350,"5,000",66,66,북향,20250425,"['25년이내', '역세권', '1층', '총2층']",37.563747,126.977556
2522127855,일반상가,월세,1/2,350,"5,000",66,66,북향,20250425,"['25년이상', '역세권', '1층', '급매']",37.563762,126.977591
2521890321,일반상가,월세,5/8,360,"5,000",161,109,서향,20250424,"['25년이상', '역세권', '중층', '엘리베이터']",37.562512,126.976807
2521888868,일반상가,월세,5/8,600,"7,000",257,175,서향,20250424,"['25년이상', '역세권', '중층', '엘리베이터']",37.562512,126.976807
2521911244,일반상가,월세,B1/17,109,"2,500",142,142,서향,20250424,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.562699,126.976843
2521889784,일반상가,월세,5/8,210,"3,000",95,66,서향,20250424,"['25년이상', '역세권', '중층', '엘리베이터']",37.562512,126.976807
2521629448,일반상가,월세,전체층/2,350,"5,000",97,66,북향,20250423,"['25년이상', '융자금적은', '역세권', '총2층']",37.563747,126.977556
2521474290,일반상가,월세,1/2,350,"5,000",56,56,남향,20250422,"['25년이상', '역세권', '1층', '총2층']",37.563747,126.977556
2521584130,일반상가,월세,1/6,"1,200","1억 5,000",152,152,서향,20250422,"['2년이내', '역세권', '1층', '서향']",37.56326,126.97704
2521325990,일반상가,월세,1/4,400,1억,152,148,동향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.562344,126.976812
2521344221,일반상가,월세,3/4,200,"2,500",42,42,동향,20250421,"['25년이상', '융자금없는', '역세권', '고층']",37.563699,126.976498
2520413532,일반상가,월세,1/6,"1,200","1억 5,000",177,148,서향,20250417,"['2년이내', '역세권', '1층', '서향']",37.56326,126.97704
2520577788,일반상가,월세,1/3,400,1억,152,152,동향,20250417,"['25년이상', '역세권', '1층', '총3층']",37.562344,126.976812
2520039545,일반상가,월세,1/6,"1,200","1억 5,000",177,177,서향,20250415,"['2년이내', '역세권', '1층', '서향']",37.56326,126.97704
2519818966,일반상가,월세,B1/3,500,1억,250,198,서향,20250414,"['25년이상', '융자금없는', '역세권', '지하층']",37.563273,126.976023
2518795886,일반상가,월세,1/5,840,1억,90,80,동향,20250409,"['25년이상', '역세권', '1층', '총5층']",37.56308,126.977197
2518723942,일반상가,월세,1/6,840,1억,82,70,남동향,20250409,"['25년이상', '역세권', '1층', '남동향']",37.56308,126.977197
