articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524483961,일반상가,월세,2/6,440,"5,000",109,99,동향,20250508,"['25년이상', '융자금적은', '역세권', '지상층(1층제외)']",37.560783,126.993132
2524486388,일반상가,월세,1/5,600,"5,000",184,180,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.560222,126.992445
2524484149,단지내상가,월세,B1/20,100,"1,000",37,22,남동향,20250508,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.561465,126.992844
2524484537,일반상가,월세,6/6,160,"2,000",118,108,동향,20250508,"['25년이상', '역세권', '고층', '천장에어컨']",37.560783,126.993132
2524259215,일반상가,월세,1/4,210,"3,000",99,76,서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.561275,126.992305
2524165828,일반상가,월세,1/4,210,"3,000",110,110,서향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.561275,126.992305
2523505855,일반상가,월세,1/4,160,"2,000",13,13,남향,20250502,"['25년이상', '역세권', '1층', '총4층']",37.56122,126.991738
2523210064,일반상가,월세,1/4,210,"3,000",115,115,북동향,20250430,"['25년이상', '역세권', '1층', '총4층']",37.561275,126.992305
2522618178,복합상가,매매,2/25,,"4억 3,000",47,29,북향,20250428,"['4년이내', '지상층(1층제외)', '북향']",37.561465,126.992844
2522648594,일반상가,월세,1/2,130,"1,100",30,30,남향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.560823,126.992548
2522639637,일반상가,월세,1/1,320,"3,200",63,63,남동향,20250428,"['2년이내', '역세권', '1층', '남동향']",37.560387,126.992475
2522727476,일반상가,월세,1/2,270,"3,000",89,82,북향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.560663,126.992184
2522726930,일반상가,월세,2/6,440,"5,000",105,99,동향,20250428,"['25년이상', '역세권', '지상층(1층제외)', '동향']",37.560783,126.993132
2522429418,복합상가,월세,1/13,650,"5,000",91,68,북동향,20250426,"['2년이내', '융자금없는', '역세권', '1층']",37.561919,126.991917
2522136127,일반상가,월세,2/6,440,"5,000",99,99,북향,20250425,"['25년이상', '역세권', '지상층(1층제외)', '북향']",37.560783,126.993132
2521761864,단지내상가,월세,1/13,800,1억,68,59,남향,20250423,"['2년이내', '역세권', '1층', '주차가능']",37.561919,126.991917
2520866679,복합상가,매매,2/20,,"4억 3,000",47,28,,20250418,"['4년이내', '지상층(1층제외)', '주차가능']",37.561465,126.992844
2520729114,일반상가,월세,1/9,210,"3,000",109,109,서향,20250418,"['25년이상', '역세권', '1층', '서향']",37.561386,126.992484
2520262760,일반상가,월세,1/4,150,"1,900",49,49,동향,20250416,"['25년이상', '역세권', '1층', '총4층']",37.561815,126.993536
2520291754,일반상가,월세,1/3,150,"1,900",53,53,동향,20250416,"['25년이상', '역세권', '1층', '총3층']",37.561815,126.993536
2519797859,일반상가,월세,3/6,350,"3,000",125,108,동향,20250414,"['25년이상', '역세권', '중층', '천장에어컨']",37.560783,126.993132
2519362897,단지내상가,월세,1/13,700,1억,92,68,남서향,20250411,"['2년이내', '융자금적은', '역세권', '1층']",37.56196,126.991785
2519386320,일반상가,월세,1/4,210,"3,000",99,99,서향,20250411,"['25년이상', '역세권', '1층', '총4층']",37.561275,126.992305
2519019896,단지내상가,월세,1/13,210,"2,000",30,22,서향,20250410,"['2년이내', '역세권', '1층', '주차가능']",37.561919,126.991917
2518979523,일반상가,월세,3/6,450,"3,000",152,152,동향,20250410,"['25년이상', '융자금적은', '역세권', '중층']",37.560783,126.993132
