articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524629463,일반상가,월세,1/1,320,"3,000",60,60,북향,20250509,"['25년이상', '역세권', '1층', '북향']",37.566039,127.018273
2524598603,단지내상가,월세,1/2,320,"3,000",63,49,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.568672,127.020357
2524366744,단지내상가,월세,2/20,180,"2,000",146,58,북향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.566187,127.021915
2524333006,일반상가,월세,B1/3,40,"1,000",49,49,북향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.567984,127.020072
2524388112,일반상가,월세,1/2,370,"5,000",76,76,,20250508,"['25년이상', '역세권', '1층', '총2층']",37.566118,127.020985
2524317080,일반상가,월세,B1/4,200,"2,000",139,139,남향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.565729,127.02316
2524389491,일반상가,월세,1/3,80,"1,000",10,10,북향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.565874,127.021111
2524105352,단지내상가,월세,1/3,600,1억,190,190,남동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.567865,127.022957
2524216379,일반상가,매매,2/15,,8억,117,117,남향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.56564,127.022641
2524153150,일반상가,월세,1/2,120,"2,000",49,49,남동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.567884,127.020292
2524234334,일반상가,월세,B1/11,250,"5,000",140,106,동향,20250507,"['4년이내', '융자금적은', '역세권', '지하층']",37.567467,127.02262
2523880692,일반상가,월세,1/2,200,"2,400",49,49,북향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.565668,127.02236
2523880353,일반상가,월세,1/2,185,"3,000",46,46,,20250507,"['10년이내', '역세권', '1층', '총2층']",37.566288,127.019446
2524124463,일반상가,월세,1/3,150,"2,000",33,33,,20250507,"['25년이상', '역세권', '1층', '총3층']",37.566295,127.020798
2523920279,일반상가,월세,B1/4,200,"2,000",139,132,북향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.565729,127.02316
2523895675,일반상가,월세,1/5,220,"3,000",58,58,동향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.566943,127.020954
2524044195,단지내상가,월세,2/4,90,"1,000",49,32,북향,20250507,"['25년이내', '역세권', '중층', '주차가능']",37.570534,127.018688
