articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524561694,일반상가,월세,3/3,800,"1억 4,000",231,198,북향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.558847,126.978997
2524380666,단지내상가,매매,1/32,,"12억 8,000",102,48,북동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.558263,126.981919
2523178882,일반상가,월세,3/3,800,"1억 4,000",248,231,북향,20250430,"['25년이상', '역세권', '고층', '총3층']",37.558847,126.978997
2522848962,단지내상가,월세,1/32,200,"3,000",87,87,남향,20250429,"['15년이내', '역세권', '1층', '주차가능']",37.558263,126.981919
2522740091,일반상가,월세,1/4,350,"5,000",82,82,동향,20250428,"['25년이상', '역세권', '1층', '총4층']",37.557784,126.979542
2522589019,일반상가,월세,B1/5,90,"1,800",44,42,북향,20250428,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.559214,126.979867
2522676851,일반상가,매매,1/32,,"10억 7,000",73,34,남향,20250428,"['15년이내', '역세권', '1층', '남향']",37.558263,126.981919
2522277637,단지내상가,월세,1/32,200,"3,000",187,87,동향,20250425,"['15년이내', '융자금없는', '역세권', '1층']",37.558263,126.981919
2522046196,일반상가,매매,1/30,,22억,148,64,북서향,20250424,"['25년이내', '역세권', '1층', '주차가능']",37.559134,126.980632
2521856345,단지내상가,매매,2/32,,15억,181,120,남서향,20250424,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.558263,126.981919
2519643528,복합상가,매매,1/30,,4억,36,27,동향,20250414,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.559134,126.980632
2519579716,단지내상가,매매,1/30,,8억,81,35,북향,20250412,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.559134,126.980632
2519339789,복합상가,월세,B1/30,105,"1,575",53,26,남향,20250411,"['25년이내', '역세권', '지하층', '주차가능']",37.559134,126.980632
2519113679,일반상가,월세,1/8,500,"5,000",129,82,서향,20250410,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.559054,126.979448
