articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524638873,단지내상가,월세,1/2,220,"2,500",150,68,남향,20250509,"['15년이내', '융자금적은', '역세권', '1층']",37.566868,127.01713
2524516875,일반상가,월세,1/4,230,"3,000",26,26,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.566638,127.015939
2524402575,일반상가,월세,1/1,350,"3,500",46,46,동향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.56592,127.017823
2524381856,일반상가,월세,1/4,200,"3,000",49,49,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.56585,127.015925
2524345064,단지내상가,매매,1/2,,5억,79,36,남향,20250508,"['15년이내', '역세권', '1층', '천장에어컨']",37.566868,127.01713
2524345338,단지내상가,월세,1/2,215,"2,000",44,44,북향,20250508,"['15년이내', '융자금적은', '역세권', '1층']",37.566868,127.01713
2523829814,일반상가,월세,B1/9,200,"3,000",82,82,서향,20250507,"['25년이내', '역세권', '지하층', '서향']",37.566685,127.015891
2523926694,단지내상가,매매,1/2,,"5억 1,000",79,35,남향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.566868,127.01713
2523774549,단지내상가,월세,1/37,250,"3,000",78,35,,20250503,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.566868,127.01713
2523249754,일반상가,월세,1/1,240,"3,000",82,82,서향,20250502,"['25년이상', '역세권', '1층', '서향']",37.566293,127.01591
2523586748,단지내상가,매매,B1/15,,"17억 5,000",349,349,남향,20250502,"['15년이내', '역세권', '급매', '지하층']",37.565819,127.017008
2523125520,일반상가,월세,1/1,451,"3,000",117,117,북향,20250430,"['25년이상', '역세권', '1층', '북향']",37.566409,127.017691
2523057425,일반상가,월세,2/3,200,"3,500",99,99,남향,20250430,"['25년이상', '역세권', '중층', '천장에어컨']",37.567304,127.017065
2523057868,일반상가,월세,1/3,300,"4,000",42,42,남향,20250430,"['25년이상', '역세권', '1층', '천장에어컨']",37.567304,127.017065
2523064481,일반상가,월세,1/1,190,"2,500",30,30,북동향,20250430,"['25년이상', '역세권', '1층', '북동향']",37.566406,127.017185
2522882386,일반상가,월세,1/15,700,1억,105,105,남향,20250429,"['15년이내', '역세권', '1층', '주차가능']",37.565819,127.017008
2522936228,일반상가,월세,1/1,350,"4,000",60,50,동향,20250429,"['25년이상', '융자금없는', '역세권', '1층']",37.565747,127.017992
2522471003,일반상가,월세,1/3,300,"4,000",93,93,남서향,20250428,"['25년이상', '역세권', '1층', '총3층']",37.567377,127.017054
2522544483,일반상가,월세,1/4,200,"3,000",33,33,동향,20250428,"['25년이상', '융자금없는', '역세권', '1층']",37.566638,127.015939
2522384494,일반상가,월세,1/15,700,1억,182,105,남향,20250426,"['15년이내', '역세권', '1층', '주차가능']",37.565819,127.017008
2522423111,일반상가,월세,2/2,120,"3,000",19,19,북서향,20250426,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.565748,127.017687
2522405448,일반상가,월세,1/2,200,"3,000",19,19,북서향,20250426,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.565748,127.017687
2522146800,단지내상가,월세,1/2,250,"5,000",98,44,남향,20250425,"['15년이내', '역세권', '1층', '주차가능']",37.566868,127.01713
2522290600,일반상가,월세,1/5,340,"2,500",179,179,,20250425,"['25년이상', '융자금없는', '역세권', '1층']",37.565646,127.01728
2522074901,일반상가,월세,전체층/4,340,"2,500",214,214,동향,20250425,"['25년이상', '역세권', '주차가능', '총4층']",37.565953,127.017218
2521918675,일반상가,월세,1/3,300,"2,000",79,79,남향,20250424,"['25년이내', '역세권', '1층', '총3층']",37.566176,127.017658
2521763938,일반상가,월세,1/1,80,"1,000",60,60,북향,20250423,"['25년이상', '역세권', '1층', '북향']",37.566303,127.017686
2521748741,단지내상가,매매,1/15,,"5억 5,000",55,32,서향,20250423,"['15년이내', '역세권', '1층', '주차가능']",37.565856,127.01548
2521552998,단지내상가,매매,2/2,,"3억 2,000",63,28,남향,20250422,"['15년이내', '역세권', '고층', '주차가능']",37.566868,127.01713
2521552649,단지내상가,매매,2/2,,"3억 2,000",66,30,남향,20250422,"['15년이내', '역세권', '고층', '주차가능']",37.566868,127.01713
2521162345,일반상가,월세,1/3,200,"3,000",26,26,북동향,20250421,"['25년이상', '융자금적은', '역세권', '1층']",37.565748,127.017687
2521094640,일반상가,월세,1/1,350,"3,500",85,66,동향,20250421,"['25년이상', '역세권', '1층', '동향']",37.56592,127.017823
2521126337,단지내상가,매매,1/2,,"5억 5,000",97,44,남향,20250421,"['15년이내', '역세권', '1층', '주차가능']",37.566868,127.01713
2521086552,일반상가,월세,1/4,340,"2,500",219,217,북동향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.565953,127.017218
2520691919,단지내상가,월세,1/2,150,"2,000",55,25,서향,20250418,"['15년이내', '융자금적은', '역세권', '1층']",37.566868,127.01713
2520875153,일반상가,월세,2/3,200,"3,000",85,85,남향,20250418,"['25년이상', '역세권', '중층', '총3층']",37.567304,127.017065
2520445491,일반상가,월세,1/1,400,"5,000",66,56,남동향,20250417,"['25년이상', '역세권', '1층', '남동향']",37.56592,127.017823
2520161367,일반상가,월세,1/4,180,"2,000",76,76,남서향,20250416,"['25년이상', '역세권', '1층', '총4층']",37.566176,127.017658
2519464102,일반상가,월세,2/22,20,300,9,9,동향,20250412,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.567433,127.016544
2519358532,일반상가,월세,1/1,410,"3,000",116,116,북향,20250411,"['25년이상', '역세권', '1층', '북향']",37.566409,127.017691
