articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524608362,일반상가,월세,2/5,250,"3,000",142,142,남동향,20250509,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.598214,127.096741
2524442144,일반상가,월세,1/3,150,"2,000",49,49,남향,20250508,"['25년이상', '1층', '총3층', '남향']",37.594854,127.09551
2524595937,일반상가,월세,1/3,270,"4,000",107,76,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.598052,127.095705
2524493971,일반상가,월세,1/3,300,"6,000",108,108,남동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.591249,127.097571
2524392169,일반상가,월세,1/4,60,"1,000",33,20,북향,20250508,"['25년이상', '융자금없는', '1층', '총4층']",37.591758,127.097767
2524558775,단지내상가,매매,B1/2,,"4억 3,000",93,31,남향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.61077,127.102156
2524558461,단지내상가,월세,1/2,100,"1,500",103,34,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2524401538,일반상가,월세,B1/2,80,"2,000",142,142,서향,20250508,"['25년이상', '지하층', '주차가능', '총2층']",37.602438,127.102365
2524423964,일반상가,월세,2/6,250,"5,000",228,228,남향,20250508,"['15년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.600829,127.104618
2524422772,일반상가,월세,1/16,350,"7,000",76,76,북서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.598717,127.096634
2524350803,일반상가,월세,1/4,160,"5,000",52,52,북향,20250508,"['25년이상', '1층', '총4층', '북향']",37.594455,127.100941
2524435206,일반상가,월세,1/4,34,200,16,16,남동향,20250508,"['25년이상', '1층', '총4층', '남동향']",37.591074,127.096195
2524393734,일반상가,월세,1/4,200,"3,000",76,76,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.600802,127.101022
2524548338,일반상가,월세,3/5,95,"2,000",80,80,북향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.599222,127.098804
2524481017,복합상가,월세,1/25,70,"1,000",52,27,남동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.61077,127.102156
2524439073,일반상가,월세,1/19,320,"5,000",47,47,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.597125,127.094369
2524438108,일반상가,월세,1/24,200,"3,000",44,44,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.59767,127.094418
2524475324,일반상가,월세,1/1,150,"2,000",39,39,북동향,20250508,"['25년이내', '1층', '북동향']",37.601934,127.10832
2524349387,일반상가,월세,1/3,400,"4,000",49,49,북향,20250508,"['25년이상', '1층', '총3층', '북향']",37.595356,127.09973
2524321332,일반상가,월세,1/4,250,"4,000",109,109,동향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.607288,127.107165
2524551427,일반상가,월세,1/3,170,"2,000",61,61,북동향,20250508,"['25년이상', '1층', '총3층', '북동향']",37.594563,127.100848
2524580839,일반상가,월세,전체층/2,130,"2,000",112,112,남동향,20250508,"['25년이상', '역세권', '총2층', '남동향']",37.599305,127.096189
2524580138,일반상가,월세,1/5,160,"2,000",52,52,북향,20250508,"['25년이상', '융자금없는', '1층', '총5층']",37.598593,127.098156
2524551777,일반상가,월세,2/4,300,"5,000",315,315,북동향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.595061,127.099416
2524581909,일반상가,월세,1/4,50,500,23,23,서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.598735,127.104198
2524584008,일반상가,월세,1/3,210,"2,000",83,83,남동향,20250508,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.595738,127.099398
2524546785,일반상가,월세,2/3,200,"3,000",146,146,남향,20250508,"['25년이상', '중층', '총3층', '남향']",37.600751,127.104011
2524352338,일반상가,월세,B1/3,40,500,112,100,남향,20250508,"['25년이상', '지하층', '총3층', '남향']",37.59361,127.101594
2524439692,일반상가,월세,1/2,210,"3,000",64,64,북향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.598376,127.094574
2524550310,일반상가,월세,1/3,260,"4,000",107,107,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.598052,127.095705
2524549829,일반상가,월세,1/2,120,"2,000",39,39,서향,20250508,"['25년이상', '1층', '총2층', '서향']",37.601828,127.102268
2524582453,일반상가,월세,1/3,100,"2,000",39,29,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.594414,127.093407
2524524847,단지내상가,월세,1/2,80,"1,000",25,25,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.596462,127.100015
2524529816,일반상가,월세,1/5,50,"1,000",21,21,서향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.598414,127.101415
2523851343,일반상가,월세,1/2,170,"2,000",40,40,북향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.598307,127.094275
2524295204,단지내상가,월세,1/2,180,"2,000",49,49,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2524041049,일반상가,월세,1/3,80,"1,000",119,33,남동향,20250507,"['25년이상', '1층', '총3층', '남동향']",37.597528,127.100067
2524047056,복합상가,월세,1/3,70,"1,000",66,35,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2524249748,일반상가,월세,1/3,75,"1,000",20,20,서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.60238,127.108323
2523845907,일반상가,월세,1/6,120,"2,000",46,39,서향,20250507,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.591915,127.098461
2524227004,복합상가,월세,4/19,45,"1,000",18,18,북향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.597125,127.094369
2524207974,일반상가,월세,1/4,250,"4,000",99,99,동향,20250507,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.607288,127.107165
2524291887,일반상가,월세,3/4,90,"1,500",79,79,북서향,20250507,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.591004,127.097933
2524153706,단지내상가,월세,2/27,90,"2,000",67,37,남향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.597337,127.09349
2524083385,일반상가,월세,2/4,210,"3,000",158,158,남향,20250507,"['25년이상', '융자금없는', '중층', '주차가능']",37.600854,127.104356
2524007645,일반상가,월세,B1/4,85,"2,000",133,133,북향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.592609,127.093769
2523860899,일반상가,월세,1/5,130,"1,500",60,60,북향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.600395,127.106131
2524283578,단지내상가,월세,1/2,170,"3,000",83,83,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2523894476,복합상가,월세,1/2,130,"2,000",166,16,서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2524298133,단지내상가,월세,1/2,80,"2,000",28,28,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2523899746,복합상가,월세,2/2,90,"1,000",45,45,남서향,20250507,"['2년이내', '역세권', '고층', '주차가능']",37.61077,127.102156
2524295898,단지내상가,월세,2/3,120,"2,000",41,41,서향,20250507,"['2년이내', '역세권', '중층', '주차가능']",37.61077,127.102156
2524294707,단지내상가,월세,1/2,250,"3,000",60,60,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2523806825,일반상가,월세,1/4,250,"4,000",110,110,남동향,20250507,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.607288,127.107165
2524121177,단지내상가,매매,2/2,,"3억 1,009",88,88,서향,20250507,"['2년이내', '역세권', '고층', '주차가능']",37.61077,127.102156
2524248983,일반상가,월세,1/3,330,"5,000",196,196,동향,20250507,"['25년이내', '1층', '주차가능', '총3층']",37.597689,127.100086
2524262759,일반상가,월세,3/4,90,"2,000",65,65,남향,20250507,"['25년이상', '고층', '총4층', '남향']",37.598589,127.096948
2524264021,일반상가,월세,2/4,100,"2,000",66,66,남향,20250507,"['25년이상', '중층', '총4층', '남향']",37.598563,127.096987
2524082434,복합상가,월세,2/6,250,"4,000",208,166,남향,20250507,"['25년이내', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.597581,127.100541
2523915798,단지내상가,월세,2/3,90,"1,000",60,45,남동향,20250505,"['2년이내', '테라스', '역세권', '중층']",37.61077,127.102156
2523916883,단지내상가,월세,1/3,200,"3,000",56,36,남서향,20250505,"['2년이내', '역세권', '1층', '주차가능']",37.61077,127.102156
2523779489,일반상가,월세,3/5,160,"2,000",180,180,서향,20250503,"['25년이상', '중층', '주차가능', '총5층']",37.602682,127.108074
2523724722,일반상가,월세,2/3,70,"1,000",71,71,동향,20250503,"['25년이상', '중층', '총3층', '동향']",37.59165,127.097709
