articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524626252,일반상가,월세,4/7,400,1억,139,138,남향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.596295,127.084202
2524632856,일반상가,매매,1/10,,17억,108,80,남향,20250509,"['4년이내', '역세권', '1층', '주차가능']",37.595124,127.088541
2524626953,일반상가,월세,3/3,80,"2,000",86,86,서향,20250509,"['25년이상', '역세권', '고층', '인터폰']",37.594198,127.086314
2524626284,일반상가,매매,1/12,,4억,93,26,서향,20250509,"['15년이내', '역세권', '1층', '급매']",37.598111,127.090525
2524580561,단지내상가,월세,6/15,600,1억,233,233,북서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.596827,127.088953
2524468993,일반상가,월세,2/20,"1,427","2억 8,540",1199,362,북서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.595062,127.082214
2524593214,일반상가,매매,1/8,,6억,49,35,북향,20250508,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.592514,127.075075
2524589565,일반상가,월세,2/8,424,1억,190,155,남향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.596856,127.086177
2524444054,일반상가,월세,1/4,90,"2,000",26,26,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.593423,127.080934
2524418238,복합상가,월세,3/12,330,"5,000",221,166,동향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.593824,127.085973
2524589793,일반상가,월세,1/8,680,1억,152,92,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.596856,127.086177
2524511755,복합상가,월세,10/12,810,"1억 2,000",353,353,북향,20250508,"['15년이내', '역세권', '고층', '주차가능']",37.598111,127.090525
2524445520,일반상가,월세,5/6,200,"5,000",92,92,남서향,20250508,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.597065,127.089274
2524445869,복합상가,월세,2/14,200,"5,000",78,64,남동향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.595883,127.087965
2524442783,일반상가,월세,1/6,330,"8,000",115,115,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.593291,127.074905
2524441523,일반상가,월세,3/6,170,"3,000",66,66,북서향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.593291,127.074905
2524444899,일반상가,월세,6/6,250,"5,000",99,99,북서향,20250508,"['25년이내', '역세권', '고층', '관리비20만원이하']",37.597065,127.089274
2524510673,복합상가,월세,10/12,"1,080","1억 5,000",510,510,북향,20250508,"['15년이내', '역세권', '고층', '주차가능']",37.598111,127.090525
2524588983,복합상가,월세,3/20,300,"6,000",130,130,북동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.596041,127.08888
2524537946,일반상가,매매,B1/11,,"3억 5,000",251,116,동향,20250508,"['10년이내', '역세권', '급매', '지하층']",37.596135,127.086693
2524437240,일반상가,월세,1/2,100,"1,000",39,29,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.596299,127.083905
2524396109,일반상가,월세,1/5,90,"1,000",33,33,남동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.592419,127.076059
2524390385,일반상가,월세,2/16,500,"5,000",189,188,남동향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '남동향']",37.595942,127.089571
2524443299,일반상가,월세,2/3,400,1억,118,118,남향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.596287,127.086136
2524397947,일반상가,월세,2/7,400,1억,130,130,남향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.596295,127.084202
2524404633,일반상가,월세,1/3,250,"5,000",60,60,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.59388,127.076793
2524422338,단지내상가,월세,2/10,200,"3,000",76,66,북서향,20250508,"['4년이내', '테라스', '역세권', '지상층(1층제외)']",37.593826,127.087135
2524397055,일반상가,월세,1/3,80,"1,000",29,29,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.592747,127.085759
2524601272,복합상가,월세,2/8,425,1억,190,190,남향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.596856,127.086177
2524447224,단지내상가,월세,2/14,300,"5,000",88,88,남동향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.595883,127.087965
2524477429,일반상가,월세,2/10,200,"3,000",66,66,남향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.593826,127.087135
2524584258,일반상가,월세,1/4,60,"1,000",49,39,북서향,20250508,"['25년이상', '융자금없는', '테라스', '마당']",37.594653,127.090486
2524563940,일반상가,월세,1/9,65,"1,000",60,27,동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.594048,127.089401
2524467143,일반상가,월세,3/20,"1,292","2억 5,944",1181,357,북서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.595062,127.082214
2524511341,복합상가,월세,10/12,270,"3,000",157,157,서향,20250508,"['15년이내', '역세권', '고층', '주차가능']",37.598111,127.090525
2524515829,일반상가,월세,1/4,200,"3,000",75,75,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.594304,127.083357
2524599044,단지내상가,월세,1/4,90,"2,000",16,16,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.601204,127.092943
2524579899,일반상가,월세,2/3,155,"2,000",153,139,남향,20250508,"['25년이상', '역세권', '중층', '천장에어컨']",37.593027,127.087118
2524413746,일반상가,월세,3/3,600,1억,248,248,남향,20250508,"['25년이상', '테라스', '역세권', '고층']",37.598642,127.09365
2524582776,일반상가,월세,1/2,285,"3,000",66,66,남동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.596445,127.088809
