articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524663408,일반상가,월세,1/18,145,"2,000",34,34,남향,20250509,"['25년이상', '1층', '주차가능', '남향']",37.608055,127.097292
2524415233,일반상가,월세,4/5,100,"1,000",128,128,동향,20250508,"['25년이상', '고층', '주차가능', '총5층']",37.601258,127.100222
2523931138,단지내상가,월세,1/2,50,"1,000",36,26,북향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.609269,127.094611
2524481297,일반상가,월세,2/4,130,"3,000",95,95,서향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.607809,127.098156
2524483246,복합상가,매매,2/18,,"3억 3,000",105,78,동향,20250508,"['25년이상', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.608055,127.097292
2524387039,복합상가,매매,2/5,,3억,102,51,서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.615494,127.094455
2524454810,일반상가,매매,4/5,,"4억 4,000",181,91,남동향,20250508,"['10년이내', '고층', '주차가능', '엘리베이터']",37.619558,127.106667
2524402799,일반상가,월세,1/3,165,"2,000",72,72,남동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.603756,127.097191
2524533455,단지내상가,월세,1/2,60,"1,000",32,19,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.6035,127.098097
2524424678,일반상가,월세,1/4,260,"4,000",205,205,북동향,20250508,"['25년이내', '1층', '주차가능', '총4층']",37.605425,127.096312
2524448139,일반상가,월세,1/5,340,"3,000",217,150,동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.607033,127.098881
2524336230,일반상가,월세,7/8,50,"2,000",42,42,남향,20250508,"['25년이상', '융자금없는', '고층', '주차가능']",37.607799,127.096827
2524436312,일반상가,월세,2/5,170,"3,000",95,95,남향,20250508,"['25년이내', '중층', '주차가능', '총5층']",37.605722,127.095915
2524425419,일반상가,월세,4/6,450,1억,434,330,남향,20250508,"['25년이내', '중층', '주차가능', '남향']",37.60767,127.09658
2524552297,단지내상가,월세,1/18,160,"3,000",32,32,남향,20250508,"['25년이상', '1층', '주차가능', '남향']",37.606059,127.097151
2524588272,일반상가,월세,4/6,400,1억,568,398,남동향,20250508,"['25년이내', '중층', '주차가능', '남동향']",37.60767,127.09658
2524474635,일반상가,매매,4/5,,"2억 5,000",186,93,서향,20250508,"['10년이내', '고층', '주차가능', '엘리베이터']",37.619807,127.106547
2524337879,단지내상가,매매,2/3,,"8,000",29,18,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.602952,127.098961
2524228085,일반상가,월세,1/3,440,"7,000",157,135,동향,20250507,"['25년이내', '융자금적은', '1층', '주차가능']",37.605983,127.097896
2523993063,일반상가,월세,6/6,150,"3,000",106,106,서향,20250507,"['15년이내', '융자금없는', '고층', '주차가능']",37.606266,127.09553
2523963859,일반상가,월세,1/7,300,"8,000",66,37,서향,20250507,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.606654,127.095577
2523964660,일반상가,월세,1/7,320,"7,000",54,30,서향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.606654,127.095577
2524030314,일반상가,월세,3/5,130,"3,000",125,125,남향,20250507,"['25년이내', '중층', '주차가능', '엘리베이터']",37.603726,127.095975
2524099891,일반상가,월세,1/4,"2,300",7억,1547,1216,동향,20250507,"['25년이내', '1층', '주차가능', '엘리베이터']",37.606533,127.10049
2523963609,일반상가,월세,1/1,100,"2,500",33,29,서향,20250507,"['25년이상', '1층', '서향']",37.605173,127.095601
2523949642,단지내상가,매매,B1/3,,3억,137,71,북향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.609942,127.097711
2523857342,단지내상가,매매,2/2,,1억,19,15,북향,20250507,"['25년이상', '고층', '주차가능', '총2층']",37.61199,127.094732
2523948613,일반상가,월세,B1/20,"1,548",3억,287,287,서향,20250507,"['4년이내', '지하층', '서향']",37.607744,127.101458
2523889411,일반상가,월세,1/1,180,"3,500",73,73,남서향,20250507,"['25년이상', '1층', '주차가능', '남서향']",37.605187,127.101469
2523831731,일반상가,월세,1/6,230,"5,000",98,60,동향,20250507,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.603371,127.095384
2523889551,일반상가,월세,3/3,120,"1,500",112,112,서향,20250507,"['10년이내', '고층', '관리비10만원이하', '주차가능']",37.606721,127.101167
2524236061,일반상가,월세,1/1,300,"4,000",130,130,남향,20250507,"['25년이상', '1층', '주차가능', '남향']",37.600296,127.098239
2524293038,단지내상가,월세,1/1,170,"3,500",108,80,서향,20250507,"['25년이상', '1층', '관리비20만원이하', '서향']",37.605187,127.101469
2523993360,일반상가,월세,B1/6,70,"1,000",75,75,서향,20250507,"['15년이내', '융자금없는', '지하층', '서향']",37.606266,127.09553
2523837661,일반상가,매매,B1/5,,"4억 7,000",494,201,북동향,20250505,"['25년이내', '역세권', '지하층', '주차가능']",37.615494,127.094455
2523697735,단지내상가,월세,5/5,120,"1,500",181,91,북향,20250503,"['10년이내', '고층', '주차가능', '총5층']",37.619558,127.106667
2523634837,일반상가,월세,1/1,90,"1,000",28,28,서향,20250503,"['25년이내', '1층', '서향']",37.604748,127.096596
2523720831,단지내상가,월세,1/2,108,"2,000",61,38,동향,20250503,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.603152,127.100041
2523733527,복합상가,월세,1/5,240,"5,000",60,35,북동향,20250503,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.616328,127.092693
2523809653,일반상가,월세,1/5,250,"3,000",94,64,북향,20250503,"['25년이내', '융자금없는', '1층', '관리비20만원이하']",37.607286,127.099863
2523697277,단지내상가,매매,5/5,,11억,635,321,북향,20250503,"['10년이내', '고층', '주차가능', '총5층']",37.619558,127.106667
2523794630,복합상가,매매,1/8,,11억,87,72,북동향,20250503,"['2년이내', '1층', '주차가능', '엘리베이터']",37.608302,127.098666
2523697980,단지내상가,월세,1/5,120,"3,000",110,55,북향,20250503,"['10년이내', '1층', '주차가능', '천장에어컨']",37.619807,127.106547
2523353217,단지내상가,월세,2/2,45,"1,000",40,28,서향,20250502,"['25년이상', '융자금없는', '고층', '관리비10만원이하']",37.61199,127.094732
2523612153,일반상가,월세,2/2,500,"5,000",223,223,남동향,20250502,"['15년이내', '테라스', '고층', '주차가능']",37.619901,127.104869
2523513080,복합상가,월세,1/18,350,"6,000",70,70,남향,20250502,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.606059,127.097151
2523547126,일반상가,월세,1/5,99,"3,000",55,55,북동향,20250502,"['10년이내', '융자금적은', '1층', '주차가능']",37.619807,127.106547
2523506256,일반상가,매매,5/5,,11억,647,323,남향,20250502,"['10년이내', '고층', '주차가능', '엘리베이터']",37.619558,127.106667
2523359496,단지내상가,월세,1/2,40,500,28,19,동향,20250502,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.603152,127.100041
2523561801,일반상가,월세,1/3,60,"1,000",72,36,서향,20250502,"['15년이내', '역세권', '1층', '총3층']",37.614824,127.10105
2523253557,일반상가,월세,3/3,240,"3,000",198,198,동향,20250501,"['25년이내', '고층', '관리비10만원이하', '주차가능']",37.603974,127.101382
2523125328,일반상가,월세,1/4,"2,300",7억,1547,1216,동향,20250430,"['25년이내', '1층', '주차가능', '총4층']",37.607001,127.100421
2523150140,단지내상가,월세,1/12,400,1억,236,123,남동향,20250430,"['4년이내', '융자금없는', '마당', '1층']",37.613148,127.112435
2522989665,일반상가,월세,1/9,250,"5,000",53,53,북동향,20250429,"['25년이내', '융자금없는', '1층', '관리비20만원이하']",37.603272,127.095602
2522839844,일반상가,월세,1/5,360,1억,75,75,남서향,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.616328,127.092693
2522988503,일반상가,월세,1/6,80,"1,000",31,31,북동향,20250429,"['25년이상', '1층', '주차가능', '엘리베이터']",37.607818,127.098913
2522937504,일반상가,월세,5/6,400,1억,434,434,남향,20250429,"['25년이내', '고층', '주차가능', '남향']",37.60767,127.09658
2522886751,일반상가,월세,1/3,150,"2,000",81,81,남향,20250429,"['10년이내', '역세권', '1층', '주차가능']",37.614759,127.10072
2522937316,단지내상가,월세,1/18,145,"2,000",46,34,남향,20250429,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.608055,127.097292
2522937021,일반상가,월세,1/4,150,"3,000",81,81,남향,20250429,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.607345,127.098784
2522491271,일반상가,월세,B1/5,95,"1,000",148,148,남향,20250428,"['25년이내', '지하층', '주차가능', '총5층']",37.603726,127.095975
2522491290,복합상가,월세,3/12,30,500,19,19,북향,20250428,"['25년이내', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.606422,127.094746
2522686885,단지내상가,월세,1/1,170,"3,000",75,37,남동향,20250428,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.617195,127.106467
2522599797,단지내상가,월세,1/3,60,"1,000",23,13,동향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.608527,127.096259
2522733558,일반상가,월세,1/4,100,"2,000",46,46,북향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.602405,127.09507
2522593898,복합상가,월세,1/5,300,"5,000",70,70,남서향,20250428,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.61696,127.091301
2522666440,단지내상가,월세,1/12,450,1억,43,43,북향,20250428,"['25년이상', '1층', '주차가능', '북향']",37.606422,127.094746
2522473889,일반상가,월세,1/2,500,2억,300,221,남향,20250428,"['15년이내', '융자금없는', '1층', '세대당 1.5대이상']",37.619901,127.104869
2522491317,단지내상가,월세,1/1,350,"6,000",70,70,남향,20250428,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.606059,127.097151
2522653964,단지내상가,월세,1/2,60,"1,000",22,18,북향,20250428,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.6035,127.098097
2522686267,일반상가,월세,3/3,240,"3,000",192,180,동향,20250428,"['25년이내', '고층', '주차가능', '총3층']",37.603974,127.101382
2522491403,복합상가,매매,2/18,,"3억 2,000",98,78,남향,20250428,"['25년이상', '지상층(1층제외)', '관리비20만원이하', '주차가능']",37.608055,127.097292
2522584384,일반상가,월세,2/2,110,"2,000",46,46,서향,20250428,"['25년이내', '고층', '총2층', '서향']",37.604178,127.095712
2522638775,일반상가,매매,5/5,,11억,634,317,남향,20250428,"['10년이내', '고층', '주차가능', '엘리베이터']",37.619558,127.106667
2522562100,일반상가,월세,1/4,140,"1,500",52,52,남향,20250428,"['25년이상', '역세권', '1층', '총4층']",37.599816,127.096571
2522527094,단지내상가,월세,2/2,70,"1,000",46,33,북향,20250428,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.613638,127.095138
2522627187,단지내상가,월세,2/4,130,"2,000",102,102,남향,20250428,"['25년이내', '중층', '총4층', '남향']",37.604371,127.095731
2522301193,일반상가,월세,2/4,720,1억,429,129,동향,20250425,"['25년이상', '중층', '주차가능', '총4층']",37.605601,127.09513
2522215078,일반상가,월세,1/4,70,"2,000",66,66,북향,20250425,"['25년이상', '1층', '총4층', '북향']",37.604851,127.098567
2522243402,일반상가,월세,1/2,200,"9,000",191,38,남동향,20250425,"['10년이내', '1층', '주차가능', '총2층']",37.604755,127.102211
2522299839,일반상가,월세,1/1,300,"4,000",176,176,남향,20250425,"['25년이상', '1층', '남향']",37.600296,127.098239
2522160982,단지내상가,월세,1/18,350,"6,000",109,80,남향,20250425,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.606059,127.097151
2522173144,일반상가,월세,1/4,260,"4,000",205,183,북동향,20250425,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.605425,127.096312
2522301938,일반상가,월세,2/5,170,"3,500",41,41,서향,20250425,"['15년이내', '역세권', '중층', '관리비10만원이하']",37.612798,127.100116
2522157786,일반상가,월세,1/2,380,"6,000",144,144,남동향,20250425,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.619647,127.104369
2522074015,단지내상가,월세,1/12,100,"1,500",85,44,남동향,20250425,"['4년이내', '1층', '주차가능', '엘리베이터']",37.613148,127.112435
2522214574,일반상가,월세,2/4,65,"1,000",33,33,동향,20250425,"['25년이내', '중층', '주차가능', '총4층']",37.60509,127.100586
2522004407,일반상가,매매,B1/5,,"4억 3,000",201,201,남동향,20250424,"['25년이내', '역세권', '지하층', '주차가능']",37.615494,127.094455
2522028377,일반상가,월세,1/3,180,"3,000",138,71,남동향,20250424,"['15년이내', '1층', '주차가능', '엘리베이터']",37.619487,127.103761
2522017941,일반상가,월세,1/5,100,"2,000",90,45,북동향,20250424,"['10년이내', '1층', '주차가능', '엘리베이터']",37.619807,127.106547
2521960181,일반상가,월세,1/6,550,1억,250,200,서향,20250424,"['25년이내', '1층', '주차가능', '서향']",37.606381,127.101178
2522015691,일반상가,매매,5/5,,11억,249,126,남향,20250424,"['10년이내', '고층', '주차가능', '엘리베이터']",37.619558,127.106667
2522048807,일반상가,월세,2/4,390,"5,000",197,197,서향,20250424,"['25년이내', '중층', '주차가능', '엘리베이터']",37.606583,127.10117
2521881032,일반상가,월세,1/5,190,"4,000",66,40,북동향,20250424,"['25년이내', '역세권', '1층', '주차가능']",37.61696,127.091301
2522034905,일반상가,월세,4/6,300,"5,000",256,247,남동향,20250424,"['25년이상', '중층', '주차가능', '엘리베이터']",37.607849,127.099692
2522023600,단지내상가,월세,1/1,90,"2,000",47,47,서향,20250424,"['25년이상', '1층', '주차가능', '서향']",37.605187,127.101469
2522059929,일반상가,월세,3/4,130,"2,000",125,125,동향,20250424,"['15년이내', '역세권', '고층', '관리비10만원이하']",37.614595,127.101318
2522020924,일반상가,매매,9/12,,"5억 2,000",389,199,남동향,20250424,"['25년이상', '고층', '주차가능', '남동향']",37.606422,127.094746
2521863879,일반상가,월세,1/4,320,"6,000",153,153,북향,20250424,"['25년이상', '1층', '주차가능', '총4층']",37.605619,127.096784
2521966729,단지내상가,매매,B1/12,,"5억 5,000",94,49,남향,20250424,"['4년이내', '테라스', '지하층', '관리비20만원이하']",37.613148,127.112435
2521984261,복합상가,월세,1/5,360,1억,79,72,남서향,20250424,"['25년이내', '역세권', '1층', '주차가능']",37.616328,127.092693
2521729814,일반상가,월세,5/6,160,"3,000",113,92,북향,20250423,"['10년이내', '융자금없는', '고층', '관리비10만원이하']",37.602354,127.09547
2521812179,복합상가,매매,B1/5,,"4억 3,000",317,201,북향,20250423,"['25년이내', '역세권', '지하층', '주차가능']",37.615494,127.094455
