articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524605902,일반상가,월세,B1/7,200,"4,000",230,165,동향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.599383,127.07954
2524605032,일반상가,월세,6/7,270,"4,000",135,115,북향,20250509,"['10년이내', '역세권', '고층', '주차가능']",37.599383,127.07954
2524625846,일반상가,월세,B1/7,200,"4,000",161,161,동향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.599383,127.07954
2524623513,일반상가,월세,1/3,320,"8,000",204,65,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.603009,127.079537
2524626133,일반상가,월세,1/6,250,"3,000",70,66,동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.60383,127.078717
2524669654,일반상가,월세,2/5,600,"5,000",264,264,서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.5989,127.080324
2524438974,일반상가,월세,1/4,370,"8,000",105,101,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.60344,127.077206
2524422082,일반상가,월세,B1/4,50,"1,000",113,113,서향,20250508,"['25년이상', '융자금없는', '지하층', '주차가능']",37.596234,127.07106
2524507422,일반상가,월세,3/5,95,"1,000",79,79,동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.600853,127.077646
2524325920,일반상가,월세,2/3,180,"2,800",82,82,동향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.599265,127.079635
2524319268,일반상가,매매,1/14,,"5억 8,000",52,39,동향,20250508,"['10년이내', '역세권', '1층', '급매']",37.594409,127.075267
2524318256,일반상가,월세,1/1,30,700,25,25,동향,20250508,"['25년이상', '역세권', '1층', '동향']",37.600784,127.083727
2524475689,일반상가,월세,1/3,50,"1,000",28,26,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.600011,127.082146
2524597319,일반상가,월세,1/4,350,"7,000",99,99,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.601807,127.081324
2524495000,일반상가,월세,1/4,60,"1,000",26,26,동향,20250508,"['2년이내', '융자금없는', '역세권', '1층']",37.599793,127.082679
2524366150,일반상가,월세,1/6,650,1억,208,208,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.599825,127.079351
2524357221,일반상가,월세,2/6,150,"2,000",102,86,남향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.599825,127.079351
2524488469,일반상가,월세,2/5,130,"2,000",65,65,남향,20250508,"['2년이내', '역세권', '중층', '총5층']",37.601771,127.080528
2524511361,일반상가,월세,1/3,80,"1,000",29,29,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.597321,127.076463
2524532753,일반상가,월세,1/2,100,"1,500",51,51,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.596101,127.074092
2524578785,일반상가,월세,1/2,150,"2,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.603345,127.078867
2524440390,일반상가,월세,3/4,220,"5,000",119,101,남동향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.60344,127.077206
2524400076,일반상가,월세,1/3,50,"1,000",23,23,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.599947,127.082004
2524409676,일반상가,월세,1/5,70,"2,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.593577,127.072407
2524579721,일반상가,월세,1/5,100,"1,000",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.602084,127.083718
2524598640,일반상가,월세,2/4,100,"1,000",70,66,서향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.603701,127.077562
2524548715,일반상가,월세,2/3,130,"2,000",110,110,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.604084,127.078702
2524435664,일반상가,월세,1/4,290,"5,000",128,128,서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.603955,127.079362
2524549295,일반상가,월세,1/5,200,"3,000",117,117,북동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.604127,127.079546
2524503540,일반상가,월세,1/6,65,"1,000",37,27,남서향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.599812,127.073649
2524231332,일반상가,월세,3/4,80,"2,500",125,112,서향,20250507,"['25년이상', '역세권', '고층', '주차가능']",37.599271,127.08033
2524167097,일반상가,월세,B1/5,95,"1,000",144,134,북향,20250507,"['25년이상', '역세권', '지하층', '총5층']",37.594491,127.076762
2523862318,일반상가,월세,1/3,470,"5,000",153,143,서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.602844,127.079569
2523966283,일반상가,월세,3/5,120,"1,500",103,103,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.60143,127.078477
2524159544,일반상가,월세,3/5,250,"5,000",249,249,북향,20250507,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.601982,127.084631
2524225355,일반상가,월세,1/6,400,"5,000",79,70,동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.599825,127.079351
2524172911,일반상가,월세,1/4,70,"2,000",33,33,동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.593577,127.072407
2524250246,일반상가,월세,1/3,250,"2,000",65,65,북향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.603295,127.077888
2523970519,일반상가,월세,1/3,45,"1,000",42,22,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.599947,127.082004
2524038919,일반상가,월세,6/8,160,"3,000",49,49,동향,20250507,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.601774,127.078783
2524049093,일반상가,월세,2/2,250,"3,500",85,85,동향,20250507,"['25년이상', '역세권', '고층', '총2층']",37.602155,127.078982
2524294437,일반상가,월세,5/7,270,"4,000",135,115,북향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.599383,127.07954
2524277153,일반상가,월세,1/4,500,1억,99,99,서향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.603009,127.079537
2524227118,일반상가,월세,1/4,290,"5,000",130,130,서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.603955,127.079362
2523942075,일반상가,월세,1/3,110,"2,000",33,30,북향,20250507,"['25년이상', '역세권', '1층', '인터폰']",37.603009,127.079537
2523860277,일반상가,월세,1/5,140,"2,000",50,50,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.595559,127.07606
2523860418,일반상가,월세,1/1,520,"8,000",150,150,남향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.594268,127.076219
2523992732,일반상가,월세,2/4,80,"1,500",89,89,서향,20250507,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.597224,127.072134
2524029087,일반상가,월세,1/3,70,"1,500",26,26,북동향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.599585,127.077246
2524049113,일반상가,월세,1/5,90,"2,000",23,23,동향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.595897,127.075956
2524168540,일반상가,월세,1/2,90,"1,500",67,53,남서향,20250507,"['25년이상', '1층', '총2층', '남서향']",37.598787,127.076157
2524038049,일반상가,월세,1/4,140,"2,000",33,33,동향,20250507,"['25년이상', '역세권', '1층', '총4층']",37.595559,127.07606
2523848542,일반상가,월세,2/4,80,"1,500",30,27,서향,20250507,"['15년이내', '중층', '관리비10만원이하', '주차가능']",37.597224,127.072134
2524220160,일반상가,월세,B1/4,60,"1,000",68,68,북동향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.606323,127.081493
2524242845,일반상가,월세,1/5,250,"3,000",42,42,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.601771,127.080528
