상가업소번호,TRDAR_CD,도로명주소,est_총_유동인구_수,est_시간대_00_06_유동인구_수,est_시간대_06_11_유동인구_수,est_시간대_11_14_유동인구_수,est_시간대_14_17_유동인구_수,est_시간대_17_21_유동인구_수,est_시간대_21_24_유동인구_수,상권_코드,매출_최대_시간대,기준_년분기_코드,피크_유동인구_수_상권별,피크_유동인구_수_11_14
MA010120220800672495,3130284,서울특별시 관악구 신원로 23,70102.0,17245.0,13100.0,7883.0,8551.0,13485.0,9836.0,,nan,,,
MA0101202406A0465702,3120233,서울특별시 송파구 위례성대로2길 11,,,,,,,,3120233,11_14,20244,,
MA0106202410A0428092,3111080,서울특별시 강동구 상암로51길 31,29934.0,7362.952380952381,6052.238095238095,3523.0,3503.2380952380954,5520.666666666667,3971.904761904762,3111080,06_11,20244,6052.238095238095,
MA010120220803375113,3130174,서울특별시 서대문구 연희맛로 23,,,,,,,,,nan,,,
MA010120220813491137,3130302,서울특별시 강남구 압구정로2길 46,50805.0,7467.0,8862.0,8687.0,8987.0,11223.0,5577.0,,nan,,,
MA0101202310A0083403,3110450,서울특별시 은평구 갈현로11길 12,,,,,,,,3110450,11_14,20244,,
MA010120220814115583,3110842,서울특별시 동작구 서달로14길 40,20719.5,3588.375,4122.375,2942.625,3258.0,4451.875,2356.25,3110842,17_21,20244,4451.875,
MA010120220807123745,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA010120220813241715,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA0101202303A0114093,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA010120220803699812,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA0101202307A0001081,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA0101202305A0155336,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
