articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2521867899,일반상가,월세,1/5,"1,100",1억,344,211,남서향,20250424,"['25년이상', '융자금적은', '1층', '주차가능']",37.476576,127.047254
2521971611,일반상가,월세,2/5,360,"4,400",106,91,남향,20250424,"['2년이내', '중층', '주차가능', '총5층']",37.482769,127.061649
2521839238,일반상가,월세,1/6,160,"3,000",48,46,북향,20250424,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.478753,127.048563
2521829861,단지내상가,매매,2/2,,"5억 5,000",11,8,서향,20250424,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.488175,127.062392
2521948736,일반상가,월세,1/5,200,"2,000",25,25,북향,20250424,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.488617,127.06778
2521978710,일반상가,월세,1/6,210,"2,000",42,42,북향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.489118,127.067521
2522000918,일반상가,월세,1/4,700,"7,000",124,124,남향,20250424,"['25년이상', '1층', '주차가능', '총4층']",37.482874,127.06238
2521986356,일반상가,월세,1/6,340,"8,000",296,82,남향,20250424,"['25년이내', '1층', '주차가능', '천장에어컨']",37.478652,127.04558
2521971721,일반상가,월세,3/5,355,"4,300",106,91,남향,20250424,"['2년이내', '중층', '주차가능', '총5층']",37.482769,127.061649
2521972025,일반상가,월세,5/5,350,"4,400",90,78,남향,20250424,"['2년이내', '고층', '주차가능', '총5층']",37.482769,127.061649
2522002238,일반상가,월세,1/5,280,"3,500",74,41,북동향,20250424,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.482769,127.061649
2521982486,일반상가,월세,3/6,90,"1,500",66,46,남서향,20250424,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.476182,127.047573
2522008267,단지내상가,월세,1/3,150,"3,000",20,20,남동향,20250424,"['25년이상', '1층', '주차가능', '총3층']",37.482674,127.05443
2521985553,일반상가,월세,B1/7,150,"2,000",158,155,남향,20250424,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.478048,127.050261
2521864369,일반상가,월세,1/6,160,"3,000",36,36,북향,20250424,"['25년이내', '융자금적은', '1층', '주차가능']",37.478753,127.048563
2521909453,일반상가,월세,1/3,238,"3,000",122,82,,20250424,"['25년이상', '1층', '주차가능', '총3층']",37.474009,127.053435
2521828149,일반상가,월세,2/4,359,"4,400",106,91,남동향,20250424,"['2년이내', '중층', '주차가능', '엘리베이터']",37.482769,127.061649
2521987671,일반상가,월세,1/5,200,"2,000",39,25,북향,20250424,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.488617,127.06778
2522014143,단지내상가,월세,3/3,"1,000",1억,285,224,남향,20250424,"['25년이상', '고층', '주차가능', '총3층']",37.482674,127.05443
2521844713,단지내상가,월세,1/10,180,"3,000",30,18,남향,20250424,"['4년이내', '융자금없는', '1층', '관리비20만원이하']",37.478506,127.055447
2521889461,일반상가,월세,B1/3,150,"2,000",98,98,북서향,20250424,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.482856,127.06155
2521982023,복합상가,매매,1/10,,"4억 3,000",29,11,남동향,20250424,"['4년이내', '1층', '주차가능', '천장에어컨']",37.478506,127.055447
2521711772,일반상가,월세,4/4,200,"3,000",116,116,북서향,20250423,"['25년이상', '고층', '관리비20만원이하', '총4층']",37.482663,127.061838
2521731307,일반상가,매매,2/9,,18억,256,121,남향,20250423,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.492685,127.075625
2521735602,일반상가,월세,4/5,350,"4,300",106,91,남동향,20250423,"['2년이내', '고층', '주차가능', '엘리베이터']",37.482769,127.061649
2521651605,일반상가,월세,1/3,238,"3,000",113,113,남동향,20250423,"['25년이상', '융자금없는', '1층', '주차가능']",37.474009,127.053435
2521792794,일반상가,월세,1/5,130,"2,000",40,40,북향,20250423,"['25년이상', '1층', '주차가능', '천장에어컨']",37.475347,127.053254
2521703711,단지내상가,월세,1/5,280,"3,500",74,42,남동향,20250423,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.482769,127.061649
2521630356,단지내상가,매매,1/5,,15억,86,48,,20250423,"['25년이내', '1층', '주차가능', '총5층']",37.480956,127.05297
2521732394,단지내상가,월세,1/3,150,"3,000",59,52,남향,20250423,"['25년이상', '1층', '주차가능', '천장에어컨']",37.482674,127.05443
2521625494,일반상가,월세,1/1,600,"5,000",108,108,북향,20250422,"['25년이상', '융자금없는', '1층', '주차가능']",37.47253,127.051942
2521488225,일반상가,월세,1/1,600,"5,000",115,108,북향,20250422,"['25년이상', '융자금없는', '1층', '주차가능']",37.47253,127.051942
2521596769,일반상가,월세,1/3,65,"1,000",26,22,북향,20250422,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.474003,127.0517
2521516088,일반상가,월세,1/4,320,"5,000",66,59,남향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.488861,127.067653
2521359574,일반상가,월세,1/6,250,"3,000",103,81,남동향,20250422,"['25년이내', '1층', '주차가능', '남동향']",37.482909,127.061297
2521469788,일반상가,월세,2/5,715,"8,700",212,182,남향,20250422,"['2년이내', '융자금없는', '중층', '주차가능']",37.482769,127.061649
2521626150,일반상가,월세,2/5,200,"2,000",122,122,남향,20250422,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.47925,127.047731
2521469254,일반상가,월세,5/5,350,"4,400",99,99,남향,20250422,"['2년이내', '융자금없는', '고층', '주차가능']",37.482769,127.061649
2521533115,일반상가,월세,1/3,55,"1,000",40,26,북서향,20250422,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.474003,127.0517
2521560392,단지내상가,매매,1/1,,12억,50,28,북서향,20250422,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.47864,127.053887
2521560208,단지내상가,매매,1/1,,25억,94,61,북서향,20250422,"['10년이내', '1층', '주차가능', '북서향']",37.47864,127.053887
2521357639,일반상가,월세,B1/3,150,"2,000",99,98,북서향,20250422,"['25년이상', '지하층', '주차가능', '총3층']",37.482856,127.06155
2521498637,단지내상가,매매,B1/B1,,"1억 8,000",10,10,남서향,20250422,"['25년이상', '역세권', '지하층', '주차가능']",37.484829,127.057257
2521282946,일반상가,월세,2/4,100,"2,000",114,100,남서향,20250421,"['25년이상', '중층', '주차가능', '총4층']",37.483198,127.060848
2521137812,일반상가,월세,2/4,100,"2,000",114,114,남동향,20250421,"['25년이상', '중층', '주차가능', '총4층']",37.483198,127.060848
2521155290,일반상가,월세,2/17,600,"8,000",162,95,남향,20250421,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.489041,127.067178
2521345403,일반상가,월세,1/4,210,"2,000",96,96,남동향,20250421,"['25년이상', '1층', '주차가능', '총4층']",37.483239,127.062304
2521138631,일반상가,월세,2/4,250,"3,000",98,98,남동향,20250421,"['25년이상', '중층', '주차가능', '총4층']",37.482887,127.06093
2521350349,일반상가,월세,B1/6,80,"1,000",125,106,북서향,20250421,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.489118,127.067521
2521385808,일반상가,월세,1/4,210,"2,000",72,72,남동향,20250421,"['25년이상', '1층', '주차가능', '총4층']",37.483239,127.062304
2521288977,일반상가,월세,2/5,150,"3,000",113,56,,20250421,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.483323,127.062205
2521105236,일반상가,월세,1/8,750,1억,133,133,남동향,20250421,"['25년이내', '1층', '주차가능', '남동향']",37.482248,127.061494
2521323612,일반상가,월세,1/7,220,"3,000",103,83,북향,20250421,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.478048,127.050261
