articleNo,articleName,tradeTypeName,TRDAR_CD
2524638284,단지내상가,매매,
2524618474,일반상가,월세,3110994
2524647813,일반상가,월세,3130310
2524618524,일반상가,월세,3110994
2524668187,일반상가,월세,3110984
2524607582,일반상가,월세,3110984
2524626729,일반상가,월세,3110994
2524627140,일반상가,월세,3110984
2524428998,일반상가,월세,
2524455815,단지내상가,월세,
2524512295,일반상가,월세,3110984
2524551179,일반상가,월세,3120184
2524522175,일반상가,월세,3110994
2524357376,일반상가,월세,3120184
2524310847,일반상가,월세,3120184
2524366014,일반상가,월세,3120184
2524447665,단지내상가,월세,
2524426823,단지내상가,월세,
2524427927,일반상가,월세,3110993
2524558166,복합상가,월세,3110984
2524582883,일반상가,월세,3110994
2524512540,일반상가,월세,3110984
2524402902,일반상가,월세,
2524319262,일반상가,월세,3120184
2524298193,일반상가,월세,3110994
2523696624,단지내상가,월세,
2524044219,일반상가,월세,3110994
2524095902,일반상가,월세,3110984
2524291069,단지내상가,월세,
2524273074,일반상가,월세,3120184
2524044557,일반상가,월세,3110994
2524039069,일반상가,월세,3130310
2524049466,단지내상가,월세,
2524231966,일반상가,월세,3110981
2524100869,일반상가,월세,3110984
2524281894,복합상가,월세,3110980
2524289230,단지내상가,월세,
2524271539,일반상가,월세,3110984
2524043984,일반상가,월세,3110994
2523891494,일반상가,월세,3110994
2524283857,단지내상가,월세,
2524138319,단지내상가,매매,
2523924972,복합상가,매매,
2524309904,일반상가,월세,3110994
2524282375,일반상가,월세,3110994
2524173147,일반상가,월세,3110994
2524310141,일반상가,월세,3110994
2524077285,일반상가,매매,
2524117810,일반상가,월세,3130310
2524070940,단지내상가,월세,
2524309732,일반상가,월세,3110994
2524055119,단지내상가,매매,
2524049448,단지내상가,월세,
2524146997,일반상가,월세,3110984
2524149819,일반상가,월세,3110984
2524039285,단지내상가,월세,
2524141288,단지내상가,매매,
2524001528,일반상가,월세,3120184
2523654242,일반상가,월세,3120184
2523701157,단지내상가,월세,
2523723695,일반상가,매매,
2523698594,단지내상가,매매,
2523699109,단지내상가,매매,
2523665874,복합상가,매매,3130310
2523654149,일반상가,월세,3110981
2523700545,단지내상가,매매,
2523715775,단지내상가,월세,
2523699537,단지내상가,매매,
2523700106,단지내상가,매매,
2523665600,일반상가,매매,
2523699872,단지내상가,매매,
2523697298,단지내상가,매매,
2523697662,단지내상가,매매,
2523716820,단지내상가,월세,
2523485071,일반상가,월세,3130310
2523536501,일반상가,월세,3130310
2523411542,일반상가,월세,3110981
2523555123,단지내상가,매매,
2523453629,단지내상가,월세,
2523411918,일반상가,월세,3110994
2523534811,단지내상가,월세,
2523316464,복합상가,매매,
2523233416,단지내상가,월세,
2523555570,일반상가,월세,3120184
2523571611,단지내상가,매매,
2523509449,일반상가,월세,3110994
2523327440,일반상가,월세,3130310
2523614165,복합상가,월세,3110980
2523510424,일반상가,월세,3110994
2523568327,일반상가,월세,3110994
2523288721,일반상가,월세,3130310
2523505707,복합상가,월세,
2523459377,복합상가,월세,3120184
2523564829,일반상가,월세,3120184
2523441619,복합상가,월세,3130310
2523290302,단지내상가,월세,
2523477466,일반상가,월세,3110994
2523408164,일반상가,월세,3110994
2523612476,일반상가,월세,3110984
2523509125,일반상가,월세,3110994
2523343794,일반상가,월세,3120184
2523308671,일반상가,월세,3110977
2523290564,일반상가,월세,3120184
2523048862,단지내상가,월세,
2523130735,일반상가,월세,3110994
2523099506,일반상가,월세,3110994
2523022367,단지내상가,매매,3130310
2523130564,일반상가,월세,3130310
2523170524,일반상가,월세,3120184
2523024673,일반상가,월세,3110994
2523099039,일반상가,매매,3130310
2523028661,일반상가,월세,3110980
2523136117,일반상가,월세,3110994
2523128749,일반상가,월세,3110994
2523010988,일반상가,월세,3130310
2523215535,일반상가,월세,3110984
2523123091,일반상가,월세,3110994
2523157211,일반상가,월세,3110984
2523057555,일반상가,월세,3110994
2522139216,단지내상가,월세,
2522825780,단지내상가,매매,
2522800955,일반상가,월세,3110994
2522863154,일반상가,월세,3120184
2522880985,일반상가,월세,3120184
2522793253,일반상가,월세,3110994
2522826412,단지내상가,매매,
2522801080,단지내상가,월세,
2522923892,단지내상가,매매,
2523005819,일반상가,월세,3110994
2522779613,일반상가,월세,3110994
2522825409,단지내상가,매매,
2522801564,일반상가,월세,3130310
2522824266,단지내상가,매매,
2522800834,일반상가,월세,3110994
2523008848,일반상가,월세,3110984
2522826130,단지내상가,매매,
2522823819,단지내상가,매매,
2522844137,일반상가,월세,3110983
2522673389,일반상가,월세,3110984
2522681856,단지내상가,월세,
2522569834,일반상가,월세,3110984
2522719791,일반상가,월세,3110983
2522721592,복합상가,월세,3110994
2522698432,일반상가,월세,3120184
2522568070,일반상가,매매,
2522755502,일반상가,월세,3110994
2522488953,단지내상가,매매,
2522484685,단지내상가,매매,
2522596563,일반상가,월세,3110983
2522769735,일반상가,월세,3110994
2522734230,일반상가,월세,3110980
2522766510,일반상가,월세,3110984
2522436228,일반상가,월세,3110994
2522456279,복합상가,월세,3110994
2522458100,복합상가,월세,3130310
2522429981,단지내상가,매매,
2522314229,일반상가,월세,3110983
2522307852,단지내상가,월세,
2522170993,일반상가,월세,3110994
2522240130,일반상가,월세,3110981
2522179124,일반상가,월세,3110981
2522250294,일반상가,월세,3110994
2522142896,일반상가,월세,3120184
2522301245,복합상가,월세,3110984
2522250464,일반상가,월세,3110983
2521909453,일반상가,월세,3110984
2521971903,일반상가,월세,3110994
2521864369,일반상가,월세,3120184
2521829861,단지내상가,매매,
2521844713,단지내상가,월세,
2522066807,단지내상가,매매,
2521982486,일반상가,월세,3110981
2522028460,일반상가,월세,3120184
2522008267,단지내상가,월세,
2522038908,일반상가,월세,3130310
2522055025,일반상가,월세,3130310
2521985553,일반상가,월세,3110983
2522025011,일반상가,월세,3130310
2522026187,일반상가,월세,3130310
2521986356,일반상가,월세,3120184
2522017473,일반상가,월세,3110984
2522046273,단지내상가,월세,
2521978710,일반상가,월세,3130310
2522026523,일반상가,매매,3130310
2521651605,일반상가,월세,3110984
2521359574,일반상가,월세,3110994
2521560392,단지내상가,매매,
2521625494,일반상가,월세,3110984
2521498637,단지내상가,매매,
2521560208,단지내상가,매매,
2521533115,일반상가,월세,3110984
2521488225,일반상가,월세,3110984
2521469788,일반상가,월세,3110994
2521105236,일반상가,월세,3110994
2521385808,일반상가,월세,3110994
2521261839,일반상가,월세,3130310
2521323612,일반상가,월세,3110983
