articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude,구,동
2524638284,단지내상가,매매,B1/1,,"9억 7,000",23,23,동향,20250509,"['10년이내', '지하층', '주차가능', '천장에어컨']",37.484072,127.067571,강남구,개포동
2524618474,일반상가,월세,1/7,890,1억,89,89,남동향,20250509,"['15년이내', '융자금적은', '테라스', '1층']",37.483023,127.062593,강남구,개포동
2524647813,일반상가,월세,4/6,170,"2,000",103,71,북향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.48919,127.06796,강남구,개포동
2524618524,일반상가,월세,B1/7,650,"5,000",165,106,남동향,20250509,"['15년이내', '지하층', '주차가능', '남동향']",37.483023,127.062593,강남구,개포동
2524668187,일반상가,월세,B1/5,100,"2,000",124,110,동향,20250509,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.473345,127.050142,강남구,개포동
2524607582,일반상가,월세,1/5,130,"2,000",40,40,북향,20250509,"['25년이상', '1층', '주차가능', '천장에어컨']",37.475347,127.053254,강남구,개포동
2524626729,일반상가,월세,B1/4,230,"3,000",135,135,북서향,20250509,"['25년이상', '지하층', '총4층', '북서향']",37.482762,127.061977,강남구,개포동
2524627140,일반상가,월세,1/5,350,"5,000",142,142,북서향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.474892,127.050823,강남구,개포동
2524428998,일반상가,월세,3/6,450,"5,000",259,144,남서향,20250508,"['25년이내', '중층', '주차가능', '남서향']",37.480956,127.05297,강남구,개포동
2524455815,단지내상가,월세,1/2,130,"1,000",42,24,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.488852,127.071667,강남구,개포동
2524512295,일반상가,월세,1/6,400,1억,123,105,서향,20250508,"['25년이내', '1층', '주차가능', '서향']",37.473244,127.049638,강남구,개포동
2524551179,일반상가,월세,B1/5,135,"3,000",178,178,남향,20250508,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.478321,127.047988,강남구,개포동
2524522175,일반상가,월세,1/5,300,"3,000",63,63,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.483645,127.060304,강남구,개포동
2524357376,일반상가,월세,1/6,500,"5,000",154,113,남향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.479214,127.049492,강남구,개포동
2524310847,일반상가,월세,4/6,"1,000",1억,446,330,남동향,20250508,"['25년이내', '융자금없는', '중층', '주차가능']",37.478676,127.04477,강남구,개포동
2524366014,일반상가,월세,1/6,140,"1,500",50,50,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.479195,127.049314,강남구,개포동
2524447665,단지내상가,월세,3/308,50,"1,000",35,23,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.494177,127.075209,강남구,개포동
2524426823,단지내상가,월세,1/1,670,1억,106,60,북서향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.47864,127.053887,강남구,개포동
2524427927,일반상가,월세,1/5,200,"3,000",47,47,북향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.477392,127.058126,강남구,개포동
2524558166,복합상가,월세,2/4,180,"3,500",95,95,남향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.474722,127.053013,강남구,개포동
2524582883,일반상가,월세,2/5,350,"4,000",106,91,남향,20250508,"['2년이내', '융자금없는', '중층', '주차가능']",37.482769,127.061649,강남구,개포동
2524512540,일반상가,월세,B1/6,350,"5,000",236,198,서향,20250508,"['25년이내', '지하층', '주차가능', '서향']",37.473244,127.049638,강남구,개포동
2524402902,일반상가,월세,B1/26,165,"3,000",61,26,동향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.494349,127.079639,강남구,개포동
2524319262,일반상가,월세,1/6,160,"3,000",48,46,북향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.478753,127.048563,강남구,개포동
2524298193,일반상가,월세,1/5,160,"2,000",39,39,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.483297,127.060919,강남구,개포동
2523696624,단지내상가,월세,1/2,"1,700",3억,171,148,남향,20250507,"['25년이상', '1층', '주차가능', '총2층']",37.482674,127.05443,강남구,개포동
2524044219,일반상가,월세,2/5,350,"4,300",106,106,남동향,20250507,"['2년이내', '중층', '주차가능', '총5층']",37.482769,127.061649,강남구,개포동
2524095902,일반상가,월세,1/4,120,"1,500",39,37,북동향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.47386,127.052489,강남구,개포동
