상가업소번호,상호명,지점명,상권_코드,상권_코드_명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,도로명주소,신우편번호,층정보,호정보,경도,위도,가장가까운_지하철역,지하철역_거리(m),가장가까운_버스정류장,버스정류장_거리(m),반경500m내_카페수,밀집등급,est_총_유동인구_수,피크_유동인구_수_상권별,피크_유동인구_수_11_14,매출_최대_시간대,est_시간대_00_06_유동인구_수,est_시간대_06_11_유동인구_수,est_시간대_11_14_유동인구_수,est_시간대_14_17_유동인구_수,est_시간대_17_21_유동인구_수,est_시간대_21_24_유동인구_수,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율,총점,성공_여부,접한길이_m,도로2m이내접촉길이_m,교차로_존재_여부,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
MA010120220800672495,가비수구.거니는집,,3130284,관악종합시장(신원시장),11620,관악구,11620655,신원동,1162010200,신림동,1162010200116020001,1602.0,1.0,서울특별시 관악구 신림동 1602-1,116203120007,서울특별시 관악구 신원로,23.0,,서울특별시 관악구 신원로 23,8774,,,126.928058757351,37.4815694015989,2호선 신림,327,서원동승리교앞,155,78,2,,,,,,,,,,,9545.8,11187.0,1.1719290159022815,,,65.26184012043039,157.6686661055776,True,4.0,,,,,1.0,,,,,,,,,,,1.0
MA0101202406A0465702,카페인중독잠실,방이점,3120233,몽촌토성역,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100100480002,48.0,2.0,서울특별시 송파구 방이동 48-2,117104169456,서울특별시 송파구 위례성대로2길,11.0,,서울특별시 송파구 위례성대로2길 11,5545,1,,127.113453056366,37.5159822871706,8호선 몽촌토성(평화의문),185,몽촌토성역.한성백제역,98,53,1,,,,11_14,,,,,,,128280.6,123353.5,0.9615912304744444,,,0.0,30.46007282382481,False,34.0,,2.0,,,2.0,,1.0,,,,,,,,,2.0
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,굽은다리역 3번,11740,강동구,11740530,명일1동,1174010100,명일동,1174010100103380017,338.0,17.0,서울특별시 강동구 명일동 338-17,117404172138,서울특별시 강동구 상암로51길,31.0,,서울특별시 강동구 상암로51길 31,5294,1,,127.146069550707,37.5479770216037,5호선 굽은다리(강동구민회관앞),397,굽은다리사거리,235,60,2,29934.0,6052.238095238095,,06_11,7362.952380952381,6052.238095238095,3523.0,3503.2380952380954,5520.666666666667,3971.904761904762,85390.4,100831.0,1.180823605463846,3.843,0.0,0.0,30.417114042105663,False,14.0,1.0,,,1.0,1.0,,,,,,,,,,,
MA010120220803375113,커피가게동경연희점,,3130174,연희사러가,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700101310001,131.0,1.0,서울특별시 서대문구 연희동 131-1,114103112009,서울특별시 서대문구 연희맛로,23.0,,서울특별시 서대문구 연희맛로 23,3707,1,,126.929663080986,37.5671475587255,경의중앙선호선 홍대입구,1089,연희104고지앞.구성산회관(중),355,88,3,,,,,,,,,,,5242.2,5480.0,1.0453626340086224,,,96.21336587539068,115.44073268538042,False,2.0,,,,,1.0,,,,,,,,,,,
MA010120220813491137,컴포즈커피강남,시장점,3130302,강남시장(강남구 강남시장),11680,강남구,11680510,신사동,1168010700,신사동,1168010700105100011,510.0,11.0,서울특별시 강남구 신사동 510-11,116804166515,서울특별시 강남구 압구정로2길,46.0,,서울특별시 강남구 압구정로2길 46,6034,1,,127.020677958375,37.5187650050546,신분당선(연장2)호선 신사,274,신사역6번출구,187,139,4,,,,,,,,,,,7556.8,6510.0,0.861475756934152,,,65.92562954143463,157.4711732954195,False,,,,,,,,,,,,,,,,,
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,시립서북병원,11380,은평구,11380560,구산동,1138010500,구산동,1138010500101900008,190.0,8.0,서울특별시 은평구 구산동 190-8,113804133015,서울특별시 은평구 갈현로11길,12.0,,서울특별시 은평구 갈현로11길 12,3430,1,,126.909230864566,37.6054618442717,6호선 응암,945,시립서북병원세현교회앞,127,27,0,,,,11_14,,,,,,,257303.8,271328.5,1.054506385059218,3.0550000000000006,0.0,0.0,43.81570684635649,False,23.0,,,,,2.0,,,,,,,,,,,12.0
MA010120220814115583,더치앤빈흑리단길점,,3110842,흑리단길,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500100430005,43.0,5.0,서울특별시 동작구 흑석동 43-5,115904157413,서울특별시 동작구 서달로14길,40.0,,서울특별시 동작구 서달로14길 40,6979,1,,126.96498404004,37.5073098626657,9호선 흑석(중앙대입구),197,흑석역.명수대현대아파트,25,19,0,20719.5,4451.875,,17_21,3588.375,4122.375,2942.625,3258.0,4451.875,2356.25,23602.8,23870.5,1.011341874692833,4.101999999999999,1.0,16.257539236215294,29.39977937561448,False,14.0,,1.0,,,1.0,,,,,,,,,,,2.0
MA010120220807123745,세운나다방,,3130033,대림상가(청계상가),11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,서울특별시 중구 을지로 157,4545,4,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,2896.090909090909,597.1818181818182,597.1818181818182,11_14,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,10433.0,5774.0,0.5534362120195533,4.34,1.0,1138.1795841680696,492.6191026526898,True,,,,,,,,,,,,,,,,,
MA010120220813241715,브라운컬렉션,,3130033,대림상가(청계상가),11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,서울특별시 중구 을지로 157,4545,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,2896.090909090909,597.1818181818182,597.1818181818182,11_14,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,10433.0,5774.0,0.5534362120195533,4.074,1.0,1138.1795841680696,492.6191026526898,True,,,,,,,,,,,,,,,,,
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,대림상가(청계상가),11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,서울특별시 중구 을지로 157,4545,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,2896.090909090909,597.1818181818182,597.1818181818182,11_14,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,10433.0,5774.0,0.5534362120195533,4.095,1.0,1138.1795841680696,492.6191026526898,True,,,,,,,,,,,,,,,,,
