TRDAR_CD,TRDAR_CD_N,카페_점포_수
3001491,이태원 관광특구,91
3001492,명동 남대문 북창동 다동 무교동 관광특구,273
3001493,동대문패션타운 관광특구,84
3001494,종로?청계 관광특구,140
3001495,잠실 관광특구,104
3001496,강남 마이스 관광특구,35
3110001,이북5도청사,2
3110002,독립문역 1번,4
3110003,세검정초등학교,4
3110004,대신고등학교,1
3110005,세검정,2
3110006,부암동주민센터,2
3110007,사직공원(한국사회과학도서관),6
3110008,배화여자대학교(박노수미술관),28
3110009,자하문터널,9
3110010,평창동서측,8
3110012,성곡미술관,8
3110013,체부동홍종문가옥,2
3110014,경복고등학교,7
3110015,청와대사랑채,4
3110016,평창동동측,6
3110017,정독도서관,4
3110018,중앙고등학교,17
3110019,창덕궁,16
3110020,서울국제고등학교,10
3110021,성균관대학교,14
3110022,경신고등학교,8
3110023,서울대병원,6
3110024,혜회동주민센터,9
3110025,충신시장옆,2
3110026,종로5가역 4번,1
3110027,혜화역 1번,11
3110028,이화달팽이길,10
3110029,동대문역 1번,7
3110031,창신역 1번,3
3110033,창신역 4번,2
3110035,동묘앞역 2번,5
3110036,동묘앞역 3번,3
3110037,신설동역 12번,5
3110038,경향신문사,12
3110039,회현역 1번,2
3110040,중구회현체육센터(정화예술대남산캠퍼스),3
3110041,남산케이블카,11
3110042,남산골공원옆,5
3110043,충무초등학교,14
3110045,동대문역사문화공원역 5번,4
3110047,다산성곽길,4
3110048,장충동주민센터,5
3110049,장충단 고개,13
3110050,약수역 7번,1
3110051,한양공고앞 교차로,2
3110052,장충초등학교,1
3110053,청구역 1번,3
3110054,청구역 3번,6
3110055,황학동벼룩시장,2
3110056,신당역 3번,9
3110057,황학코아루아파트,4
3110058,성심여자고등학교,9
3110059,새남터성지,3
3110060,효창공원앞역 6번,8
3110061,효창동주민센터,7
3110062,한강로동땡땡거리(은행나무길),31
3110063,효창공원앞역 5번,8
3110064,효창공원앞역 2번,10
3110065,남정초등학교,1
3110066,서울역 15번,12
3110067,배문고등학교,8
3110068,남영역 1번,18
3110069,숙대입구,48
3110070,용산세무서,1
3110071,한강미주맨션아파트,1
3110072,열정도,7
3110073,삼각지역 3번,9
3110074,서울역 12번,16
3110075,숙대입구역 1번,14
3110076,삼각지역 14번,3
3110077,삼광초등학교,5
3110078,이촌동점보아파트,2
3110079,후암동주민센터,32
3110080,해방촌예술마을,14
3110081,해방촌 남동측,31
3110082,용산구청,21
3110083,서빙고역 1번,4
3110084,경리단길북측,18
3110085,경리단길남측,24
3110086,이태원역 북측,2
3110087,이태원엔틱가구거리,6
3110088,오산고등학교,4
3110089,서빙고동주민센터,4
3110090,한국폴리텍대학서울정수캠퍼스,3
3110091,리움미술관,6
3110092,NH농협은행 보광동지점,1
3110093,우사단길,19
3110094,오산중학교,1
3110095,한강진역 3번,21
3110096,한남힐사이드아파트,7
3110098,서울독일학교,5
3110099,유엔빌리지길,2
3110101,옥정중학교,3
3110102,옥수역 6번,11
3110103,옥수터널,1
3110104,신금호역 4번,2
3110105,금동어린이공원,6
3110106,금북초등학교,2
3110107,금호사거리,5
3110109,금호삼성래미안아파트,8
3110110,상왕십리역 6번,4
3110111,대현산장미원,1
3110112,행당역 2번,5
3110113,응봉산,1
3110114,왕십리파출소,2
3110115,상왕십리역 3번,12
3110116,청계천박물관,2
3110117,성동구보건소,1
3110118,왕십리역 9번,4
3110119,마장지하차도,1
3110120,서울숲카페거리,23
3110121,한양대역 4번,4
3110122,마장역 2번,5
3110123,마장역 3번,3
3110124,뚝섬역교차로,10
3110125,사근동살곶이상점가,11
3110126,서울숲역 1번,10
3110127,성수1가1동주민센터,7
3110128,성원중학교,16
3110129,성원어린이공원,18
3110130,답십리역 6번,1
3110131,성수동카페거리,28
3110132,성수2가3동주민센터,10
3110133,서울교통공사,2
3110134,성수119안전센터,16
3110135,성동세무서,7
3110136,경수초등학교,28
3110137,성수초등학교,33
3110138,송정체육공원,7
3110139,자양4동주민센터,19
3110140,건대입구역 6번,17
3110141,건대입구역 1번,9
3110142,화양사거리,18
3110143,뚝섬유원지역 1번,2
3110144,어린이대공원역 4번,9
3110145,장안초등학교,4
3110146,신자초등학교,9
3110147,능동우편취급국,7
3110148,어린이대공원역 3번,9
3110149,세종대학교,3
3110150,중곡1동 마을마당,10
3110151,자양한강도서관,10
3110152,중곡어린이공원,2
3110154,광진정말공원,9
3110155,광진구청,7
3110156,군자역 5번,8
3110157,자양동우체국,11
3110158,중곡3동주민센터,6
3110159,구의역 4번,14
3110160,광진경찰서,4
3110161,중곡역 3번,10
3110162,군자역 4번,5
3110163,성자초등학교,7
3110164,아차산역 5번,3
3110165,국립정신건강센터,6
3110166,구의1동주민센터,13
3110167,용마초등학교,10
3110168,대원고등학교,6
3110169,성동초등학교,4
3110170,동대부여고,7
3110172,광진초등학교,10
3110173,구남초등학교,6
3110174,아차산역 1번,9
3110175,푸른동산공원,9
3110176,해오름공원,12
3110177,동의초등학교,4
3110178,장로회신학대학교,7
3110179,광나루역 1번,6
3110180,광진정보도서관,11
3110181,신설동역 9번,4
3110182,용두희망어린이공원,1
3110183,한국의류시험연구원,5
3110184,용두사거리,2
3110185,용두초등학교,1
3110186,종암초등학교,3
3110187,제기동역 6번,11
3110188,용두동신동아아파트,6
3110189,제기동역 1번,4
3110190,고대앞사거리,9
3110191,고려대역 6번,13
3110192,동의보감타워,2
3110193,고려대역 4번,4
3110194,홍파초등학교,1
3110195,동대문구청,5
3110197,세종대왕기념관교차로,3
3110199,홍릉시장,2
3110200,동대문경찰서,1
3110201,전농119안전센터,2
3110203,떡전교사거리,2
3110204,간데메공원,11
3110205,경희대삼거리,19
3110206,텃골근린공원,11
3110207,시립대앞사거리,3
3110208,시조사삼거리,2
3110209,답십리 장령당공원,1
3110210,서울시립대,13
3110211,전곡마을마당공원,6
3110212,답십리초등학교,14
3110213,청량초등학교,4
3110214,경희대후문,16
3110215,회기역 1번,3
3110216,전농중학교,3
3110217,자동차부품상가,1
3110218,답십리사거리,4
3110219,삼육보건대학교,23
3110220,외대앞역 1번,19
3110221,의릉,4
3110223,군자초등학교,2
3110224,외대앞역 2번,2
3110225,촬영소사거리,3
3110226,장안1동주민센터,17
3110227,답십리공원,6
3110228,장안근린공원,6
3110229,장평중학교,10
3110230,장안현대홈타운1차아파트,4
3110231,장안교,2
3110232,동대부고,11
3110234,중랑역 4번,4
3110235,세화어린이공원,2
3110236,신묵초등학교,9
3110237,메가박스 상봉,8
3110238,배꽃어린이공원,1
3110239,중랑역 2번,2
3110240,태릉시장 특화거리,3
3110241,먹골역 5번,10
3110242,면목5동주민센터,5
3110243,중랑노인종합복지관,9
3110244,중화역 4번,8
3110245,KB국민은행 중화동지점,1
3110246,월드순복음교회,6
3110247,먹골역 1번,7
3110248,먹골파출소,2
3110249,중화역 1번,9
3110250,화랑대역 7번,3
3110251,장안중학교,3
3110252,장안제일시장,8
3110253,중곡초등학교,4
3110254,오거리공원,7
3110255,상봉역 4번,10
3110256,면목2동체육관,6
3110257,상봉역 7번,4
3110258,면동초등학교,6
3110259,사가정역 1번,7
3110260,면목역 3번,2
3110261,사가정역 4번,9
3110262,상봉역 3번,6
3110263,면목역 1번,2
3110264,면목역 2번,11
3110265,망우역 1번,6
3110266,면목동우체국,3
3110267,망우역 2번,9
3110268,망우3동주민센터,3
3110269,용마문화복지센터,2
3110270,혜원여고,3
3110271,신내역 1번,2
3110272,신내1동주민센터,23
3110273,장스여성병원,4
3110274,서일대학교,17
3110275,하나은행 망우동지점,5
3110276,신내IC북측,3
3110277,러스크서울병원,5
3110278,망우본동주민센터,13
3110279,신내역 2번,3
3110280,북정마을,4
3110281,길상사,1
3110282,국민대학교앞,3
3110283,성북초등학교앞,5
3110284,정릉북한산국립공원입구,3
3110285,홍대부중,6
3110286,한성대입구역 5번,17
3110287,정릉3동주민센터,3
3110288,동구여중,10
3110289,북한산보국문역 2번,7
3110290,북한산보국문역 1번,4
3110291,한성대입구역 3번,13
3110292,정릉역 2번,3
3110293,삼선중학교,13
3110294,서경대학교,12
3110295,정릉우체국,8
3110296,성신여대입구역 4번,7
3110297,경동고등학교,9
3110298,솔숲어린이공원,1
3110299,정릉역 1번,7
3110300,삼선동주민센터,22
3110301,성신여대입구역 7번,5
3110302,보문역 8번,7
3110303,성신여대입구역 1번,20
3110304,보문역 4번,9
3110305,보문역 5번,16
3110306,미아초등학교,4
3110307,길음역 7번,12
3110308,길음역 8번,12
3110309,대광초등학교,6
3110312,안암역 2번,20
3110313,안암역 3번,23
3110314,종암경찰서,9
3110315,종암아이파크2차,6
3110316,숭곡초등학교,15
3110317,종암중학교,5
3110318,KT월곡지사,2
3110319,종암동주민센터,6
3110320,KB국민은행 종암동지점,1
3110321,동덕여대,1
3110322,장위1동주민센터,2
3110323,상월곡역 1번,10
3110325,장곡초등학교,7
3110326,장위동성당,2
3110327,상월곡역 2번,7
3110328,상월곡역 3번,4
3110329,우리은행체육관,3
3110330,돌곶이역 1번,4
3110331,돌곶이역 8번,11
3110333,돌곶이역 5번,6
3110334,석관중앙교회,2
3110335,석계역 7번,11
3110336,석관고등학교,1
3110337,아카데미하우스,17
3110338,인수초등학교,1
3110339,국립4.19민주묘지,1
3110340,인수중학교,2
3110341,북한산우이역 2번,8
3110342,국립재활원,3
3110343,무너미어린이공원,5
3110344,화계중학교,3
3110345,솔밭공원역 2번,9
3110346,4.19민주묘지역 2번,8
3110347,구세군강북종합사회복지관,1
3110348,강북문화예술회관,7
3110349,화계역 2번,1
3110350,가오리역 2번,6
3110351,수유북부시장옆,4
3110352,수유1동주민센터,4
3110353,수유동우체국,1
3110354,삼각산119안전센터,2
3110355,삼양사거리역 2번,3
3110356,덕수교,3
3110357,가오리역 1번,2
3110358,인수동 우편취급국,9
3110359,수유시장옆,5
3110360,수유초등학교,6
3110361,삼양사거리역 1번,1
3110362,우이천 계성교,7
3110363,송천동주민센터,2
3110364,미아역 8번,3
3110365,미아역 5번,3
3110366,광산사거리,5
3110367,강북구청,7
3110369,성신여대운정그린캠퍼스,10
3110370,도봉세무서,7
3110371,삼양입구사거리,4
3110372,강북중학교,10
3110373,수유역 2번,6
3110374,송중초등학교,5
3110375,서울북부고용노동지청,3
3110376,수송초등학교,12
3110377,미아사거리역 3번,4
3110378,송중동주민센터,5
3110380,강북문화정보도서관,1
3110381,번동주공2단지,3
3110382,솔밭공원역 1번,2
3110383,덕성여대시반거리,14
3110384,문이교,1
3110385,효문고등학교,1
3110386,연산군묘,1
3110387,쌍문초등학교,4
3110388,도봉우체국,4
3110389,한일병원,4
3110390,방학초등학교,6
3110391,샘말어린이공원,3
3110392,발바닥공원,2
3110393,국민은행방학지점,3
3110394,방학중학교,6
3110395,신한은행 방학동지점,3
3110396,쌍문역1번(쌍리단길),8
3110397,도봉산입구,12
3110398,쌍문2동우체국,7
3110399,창2동주민센터,9
3110400,도봉구보건소,11
3110402,도봉구 정병원,12
3110403,방학1동주민센터,6
3110404,신창초등학교,16
3110405,방학역 1번,7
3110406,도봉산역 1번,11
3110407,도봉역 2번,11
3110408,가인초등학교,7
3110409,창동역 2번,14
3110410,방학역 2번,9
3110411,도봉역 3번,4
3110413,누원고등학교,6
3110415,수락산역 4번,16
3110416,노원초등학교,5
3110417,월계역 3번,5
3110418,광운대학교 남단,6
3110419,수락산디자인거리,20
