query,priceCategory,options,parking
가비수구.거니는집,,,No
카페인중독잠실,,,No
제이든커피로스터스JDCR,1만원 대,무선 인터넷포장배달제로페이지역화폐 (카드형)간편결제지역화폐 (모바일형)주차,Yes
커피가게동경연희점,1만원 대,제로페이주차,Yes
컴포즈커피강남,,,No
컴포즈커피은평서북,,,No
더치앤빈흑리단길점,,,No
세운나다방,1만원 대,무선 인터넷단체 이용 가능남/녀 화장실 구분포장,No
브라운컬렉션,1만원 대,포장무선 인터넷남/녀 화장실 구분제로페이,No
서울바나나커피,1만원 대,배달무선 인터넷포장남/녀 화장실 구분,No
챔프커피,1만원 대,포장반려동물 동반제로페이,No
이프프커피,1만원 대,포장무선 인터넷반려동물 동반배달남/녀 화장실 구분간편결제,No
헤일리스커피,,,No
리오네커피,1만원 대,포장반려동물 동반단체 이용 가능무선 인터넷,No
해피클럽,1만원 대,포장무선 인터넷,No
톤즈,,반려동물 동반포장무선 인터넷지역화폐 (지류형)지역화폐 (모바일형)지역화폐 (카드형)제로페이주차,Yes
빈티지라이언,2만원 대,무선 인터넷제로페이간편결제,No
호랑이,,반려동물 동반무선 인터넷포장,No
아르팡,1만원 대,포장지역화폐 (지류형)지역화폐 (카드형),No
멀티커피,1만원 대,포장배달대기공간,No
티아트커피로스터스,,,No
카페쏙,1만원 대,포장무선 인터넷단체 이용 가능제로페이,No
단조,2만원 대,단체 이용 가능예약무선 인터넷포장남/녀 화장실 구분배달제로페이지역화폐 (모바일형)간편결제지역화폐 (지류형)지역화폐 (카드형)주차,Yes
이디야커피,,포장,No
카페숲,1만원 대,주차포장무선 인터넷단체 이용 가능제로페이,Yes
스타벅스,,,No
이디아,,포장,No
에나꼬레,,,No
태무든TAEMOODEN,,,No
두번째디저트,,,No
이디야사가정점,,,No
로스토,1만원 대,포장무선 인터넷예약제로페이간편결제,No
청림무역,,,No
9카페,,,No
쥬씨삼호가든,,,No
몹시,1만원 대,포장남/녀 화장실 구분무선 인터넷,No
마룬여유,,,No
탐앤탐스홍제역점,,,No
홍제동냇길,,,No
아케디뜨,7만원 대,단체 이용 가능예약제로페이,No
잇푸쿠,1만원 대,포장무선 인터넷예약배달반려동물 동반제로페이간편결제주차,Yes
메가엠지씨커피북한산,,,No
까페캠퍼,1만원 대,포장반려동물 동반무선 인터넷예약배달간편결제제로페이,No
설빙,2만원 대,,No
매머드익스프레스보라매대교점,1만원 대,,No
커피앤김밥,1만원 대,예약무선 인터넷주차포장남/녀 화장실 구분배달지역화폐 (모바일형)제로페이,Yes
원두볶는사람들,1만원 대,포장제로페이,No
이디야커피창동학원가점,1만원 대,포장,No
앨리스,1만원 대,,No
아키비스트,1만원 대,포장무선 인터넷반려동물 동반주차,Yes
멜로드,10만원 대,,No
요거요거요거트,,포장배달무선 인터넷지역화폐 (지류형)지역화폐 (카드형)지역화폐 (모바일형)제로페이,No
바스크,1만원 대,제로페이간편결제,No
커피인페르노,,,No
커피볶는김여사,2만원 대,,No
구루구루,1만원 대,,No
미쉐,1만원 대,,No
디자인정인플러스,,,No
봉명동내커피,1만원 대,,No
이디야팀이공사점,,,No
메가엠지씨커피창동역점,,,No
공활,1만원 대,포장반려동물 동반예약제로페이간편결제주차,Yes
어깨동무,2만원 대,포장,No
커피온리,1만원 대,,No
메가엠지씨커피남부터미널역점,,,No
카페다인,,,No
남산#52LAB,,,No
베비아모,1만원 대,예약반려동물 동반,No
