TRDAR_CD,TRDAR_CD_N,카페_점포_수,RELM_AR,단위면적당_카페수
3001491,이태원 관광특구,29,372565.0,0.0778387663897575
3001492,명동 남대문 북창동 다동 무교동 관광특구,49,983618.0,0.049816087139519606
3001493,동대문패션타운 관광특구,22,606058.0,0.03630015609067119
3001494,종로?청계 관광특구,6,653127.0,0.009186574739675438
3001495,잠실 관광특구,25,2462734.0,0.010151319630946745
3001496,강남 마이스 관광특구,10,237892.0,0.042035881828729006
3110001,이북5도청사,2,108529.0,0.018428254199338426
3110002,독립문역 1번,4,31531.0,0.1268592813421712
3110003,세검정초등학교,4,191570.0,0.020880096048441824
3110004,대신고등학교,1,18781.0,0.05324530110217773
3110005,세검정,2,244923.0,0.00816583171037428
3110006,부암동주민센터,2,91486.0,0.021861268390792034
3110007,사직공원(한국사회과학도서관),6,80252.0,0.0747644918506704
3110008,배화여자대학교(박노수미술관),28,149264.0,0.18758709400793225
3110009,자하문터널,9,178306.0,0.050475026078763474
3110010,평창동서측,8,369415.0,0.02165586129420841
3110012,성곡미술관,8,124348.0,0.06433557435584006
3110013,체부동홍종문가옥,2,17064.0,0.11720581340834506
3110014,경복고등학교,7,63411.0,0.11039094163473215
3110015,청와대사랑채,4,69399.0,0.05763771812273952
3110016,평창동동측,6,522818.0,0.011476268988443398
3110017,정독도서관,4,83855.0,0.04770138930296345
3110018,중앙고등학교,17,166872.0,0.10187449062754686
3110019,창덕궁,16,40999.0,0.3902534208151418
3110020,서울국제고등학교,10,133692.0,0.07479879125153337
3110021,성균관대학교,14,77655.0,0.18028459210611036
3110022,경신고등학교,8,60182.0,0.13293011199361934
3110023,서울대병원,6,15969.0,0.375727972947586
3110024,혜회동주민센터,9,52850.0,0.17029328287606432
3110025,충신시장옆,2,39184.0,0.05104124132298898
3110026,종로5가역 4번,1,16485.0,0.060661207158022444
3110027,혜화역 1번,11,117673.0,0.09347938779499121
3110028,이화달팽이길,10,159124.0,0.06284407129031447
3110029,동대문역 1번,7,153230.0,0.04568296025582458
3110031,창신역 1번,3,32878.0,0.09124642618164122
3110033,창신역 4번,2,77869.0,0.02568416186158805
3110035,동묘앞역 2번,5,95779.0,0.05220351016402343
3110036,동묘앞역 3번,3,18431.0,0.16276924746351254
3110037,신설동역 12번,5,55232.0,0.09052723059096177
3110038,경향신문사,12,36893.0,0.32526495541159567
3110039,회현역 1번,2,9928.0,0.201450443190975
3110040,중구회현체육센터(정화예술대남산캠퍼스),3,76242.0,0.03934839065082238
3110041,남산케이블카,11,130560.0,0.08425245098039215
3110042,남산골공원옆,5,72607.0,0.06886388364758218
3110043,충무초등학교,14,110058.0,0.12720565519998545
3110045,동대문역사문화공원역 5번,4,44820.0,0.0892458723784025
3110047,다산성곽길,4,85386.0,0.04684608718056824
3110048,장충동주민센터,5,135606.0,0.03687152485878206
3110049,장충단 고개,13,70693.0,0.18389373771094733
3110050,약수역 7번,1,34553.0,0.028941047087083612
3110051,한양공고앞 교차로,2,44893.0,0.04455037533691221
3110052,장충초등학교,1,68893.0,0.014515262798832973
3110053,청구역 1번,3,85550.0,0.03506721215663355
3110054,청구역 3번,6,69155.0,0.08676162244233968
3110055,황학동벼룩시장,2,27575.0,0.07252946509519492
3110056,신당역 3번,9,129607.0,0.06944069378968729
3110057,황학코아루아파트,4,30230.0,0.13231888852133641
3110058,성심여자고등학교,9,135620.0,0.0663618935260286
3110059,새남터성지,3,56970.0,0.0526592943654555
3110060,효창공원앞역 6번,8,94719.0,0.08446035114390989
3110061,효창동주민센터,7,100249.0,0.06982613292900677
3110062,한강로동땡땡거리(은행나무길),31,132684.0,0.2336378161647222
3110063,효창공원앞역 5번,8,110329.0,0.07251040071060193
3110064,효창공원앞역 2번,10,131550.0,0.07601672367920942
3110065,남정초등학교,1,18065.0,0.05535566011624688
3110066,서울역 15번,12,133737.0,0.08972834742816124
3110067,배문고등학교,8,204936.0,0.03903657727290471
