상가업소번호,법정동코드,지번본번지,지번부번지,상호명,지점명,상권_코드,균등분배_전용면적,리뷰수,별점,카페_추정매출
MA010120220800672495,1162010200,1602.0,1.0,가비수구.거니는집,,3130284,1517.3275954516637,0.0,5.0,
MA0101202406A0465702,1171011100,48.0,2.0,카페인중독잠실,방이점,3120233,411.82661387268035,11.0,2.8,36842112.22178859
MA0106202410A0428092,1174010100,338.0,17.0,제이든커피로스터스JDCR,,3111080,110.23455374143623,0.0,4.62,73576593.74185584
MA010120220803375113,1141011700,131.0,1.0,커피가게동경연희점,,3130174,,256.0,4.025,
MA010120220813491137,1168010700,510.0,11.0,컴포즈커피강남,시장점,3130302,,16.0,4.75,
MA0101202310A0083403,1138010500,190.0,8.0,컴포즈커피은평서북,병원점,3110450,119.97721091779073,8.0,4.7,17946665.024383556
MA010120220814115583,1159010500,43.0,5.0,더치앤빈흑리단길점,,3110842,107.77540297320476,19.0,4.34,92550628.91300431
MA010120220807123745,1114015700,207.0,2.0,세운나다방,,3130033,649.7185363528893,148.0,4.6,18607483.540163726
MA010120220813241715,1114015700,207.0,2.0,브라운컬렉션,,3130033,649.7185363528893,82.0,4.58,17475042.304938268
MA0101202303A0114093,1114015700,207.0,2.0,서울바나나커피,을지로4가점,3130033,649.7185363528893,868.0,4.3,30961387.924441427
MA010120220803699812,1114015700,207.0,2.0,챔프커피,,3130033,649.7185363528893,1545.0,4.279999999999999,42577489.685769215
MA0101202307A0001081,1114015700,207.0,2.0,이프프커피,,3130033,649.7185363528893,457.0,4.7,23909367.5050829
MA0101202305A0155336,1114015700,207.0,2.0,헤일리스커피,을지로점,3130033,649.7185363528893,34.0,4.35,16651448.679319754
MA0101202406A0288695,1114015700,207.0,2.0,리오네커피,,3130033,649.7185363528893,135.0,4.6,18384426.933225375
MA010120220807113501,1114015700,207.0,2.0,해피클럽,,3130033,649.7185363528893,0.0,4.47,16068069.861173308
MA0101202409A0004940,1114015700,207.0,2.0,톤즈,,3130033,649.7185363528893,409.0,4.9,23085773.87946439
MA010120220806525068,1114015700,207.0,2.0,빈티지라이언,,3130033,649.7185363528893,0.0,4.28,16068069.861173308
MA010120220810045634,1114015700,207.0,2.0,호랑이,,3130033,649.7185363528893,3467.0,4.01,75555551.11157718
MA0101202209A0021984,1117010800,260.0,1.0,아르팡,,3130057,1461.98644658814,5.0,5.0,
MA0106202303A1044347,1120010700,19.0,54.0,멀티커피,한양대점,3130069,148.82855681958574,0.0,,55648255.163409695
MA010120220805143379,1120010700,19.0,54.0,티아트커피로스터스,,3130069,148.82855681958574,0.0,4.5,55648255.163409695
MA010120220802972784,1129013700,64.0,1.0,카페쏙,,3110323,42.662349355267715,34.0,4.1,37497926.02814727
MA010120220804964341,1126010100,185.0,1.0,단조,,3130106,223.55324206969044,218.0,4.495,297228360.5307819
MA010120220812595260,1132010600,670.0,,이디야커피,,3110393,139.64773070118594,15.0,4.005,47805002.86077767
MA010120220807929010,1123010300,1019.0,,카페숲,,3130088,,0.0,4.63,
MA0106202406A2465633,1123010300,1036.0,,스타벅스,경동1960,3130088,,399.0,4.34,
MA010120220800600549,1141011600,30.0,20.0,이디아,,3120094,205.21811969159367,37.0,2.2,306006240.0623239
MA0101202409A0021931,1141012000,345.0,4.0,에나꼬레,,3130173,917.2195696508551,0.0,,
MA010120220810199262,1141011800,36.0,6.0,태무든TAEMOODEN,,3110525,40.6566779596686,0.0,5.0,30563116.96447208
MA0101202311A0083488,1159010700,1005.0,1.0,두번째디저트,,3110852,106.45874932157506,0.0,4.44,20350824.605402302
MA0106202406A2465517,1141011600,18.0,55.0,스타벅스,신촌,3130175,163.3541567807414,164.0,4.1899999999999995,437773268.3096172
MA010120220803658119,1126010100,496.0,18.0,이디야사가정점,,3120068,78.91682133303559,39.0,4.265,220901001.28958786
MA010120220810433268,1111017500,365.0,,로스토,,3110037,72.6398787055436,30.0,5.0,7805505.9835530855
MA0101202311A0016316,1111017500,365.0,,청림무역,,3110037,72.6398787055436,0.0,,7409341.71150934
MA010120220812360152,1123010600,416.0,5.0,9카페,,3120066,518.6876635176153,57.0,3.855,115164615.19950227
MA010120220803705421,1165010700,52.0,2.0,쥬씨삼호가든,사거리점,3120170,429.90674633623587,7.0,4.640000000000001,281299094.0058823
MA0101202305A0094771,1111010600,108.0,,몹시,,3120002,286.652056645813,165.0,4.7,284371410.5972364
MA010120220800795375,1141011700,75.0,3.0,마룬여유,,3110517,121.87877364751371,0.0,4.7,11249737.680229006
MA0101202212A0069021,1141011100,294.0,46.0,탐앤탐스홍제역점,,3130176,4656.799264767575,37.0,3.745,
MA010120220810013229,1141011100,294.0,46.0,홍제동냇길,,3130176,4656.799264767575,0.0,,
MA010120220804670501,1117010200,1.0,490.0,아케디뜨,,3130060,152.5532505263157,0.0,4.62,115463591.96708557
MA0101202210A0069909,1144012600,254.0,,잇푸쿠,,3110553,114.23595889463448,53.0,4.6,40516897.502326414
MA0101202411A0148010,1132010700,750.0,2.0,메가엠지씨커피북한산,아이파크점,3110408,716.227152071217,14.0,2.9,48009131.792580806
MA010120220811453534,1171010100,233.0,,까페캠퍼,잠실점,3111004,129.2010568617336,39.0,5.0,76934259.08393496
MA010120220806570363,1162010100,729.0,32.0,설빙,,3120151,178.69620826332263,136.0,3.815,437695736.2542927
MA0101202308A0030688,1162010100,729.0,32.0,매머드익스프레스보라매대교점,,3120151,178.69620826332263,5.0,4.0,93716454.46208586
MA0101202303A0088204,1162010100,729.0,32.0,커피앤김밥,,3120151,178.69620826332263,0.0,,80587474.24100925
MA0101202212A0063472,1174010800,534.0,18.0,원두볶는사람들,,3111050,99.94471658547586,7.0,4.154999999999999,26459567.15499151
MA0101202406A0348730,1132010700,288.0,40.0,이디야커피창동학원가점,,3110409,123.58497930321067,21.0,3.665,110285597.89495888
MA0106202406A2465527,1129012500,104.0,30.0,스타벅스,고대,3110313,592.4142144034449,131.0,3.6399999999999997,371643342.23003244
MA010120220800594420,1141011200,34.0,23.0,앨리스,,3130178,70.11259622268248,283.0,4.484999999999999,60828585.22730215
MA010120220814090613,1111010400,164.0,7.0,아키비스트,,3110015,109.61893017690316,2967.0,4.2,368056758.5358928
MA010120220812595540,1159010200,465.0,16.0,멜로드,,3130268,188.6965756224762,131.0,4.8,89788788.58631845
MA0101202307A0029658,1150010200,643.0,1.0,요거요거요거트,,3110671,89.45116975513815,0.0,4.5,27484431.731909867
MA010120220807372753,1129013400,1171.0,14.0,바스크,,3110306,103.8128518824709,189.0,3.8649999999999998,60502682.190972865
MA010120220804283432,1171011300,135.0,19.0,커피인페르노,,3111042,176.34443890814418,0.0,4.43,31470729.879992347
MA010120220811802533,1141011800,36.0,3.0,커피볶는김여사,,3110525,58.48698394113808,41.0,4.16,125015118.3845446
MA010120220813194426,1159010500,43.0,38.0,구루구루,,3110842,102.39125645049074,6.0,5.0,78148947.9512854
MA0101202308A0087121,1144012000,365.0,17.0,미쉐,,3130190,48.432302265941736,43.0,3.6,273539257.313208
MA010120220814138033,1129010100,125.0,6.0,디자인정인플러스,,3110283,83.66644799974007,0.0,,13112147.375151401
MA0101202306A0098791,1135010300,408.0,26.0,봉명동내커피,,3110438,96.08115379490565,10.0,4.0,23386332.819485266
MA0101202310A0014635,1114016200,204.0,48.0,이디야팀이공사점,,3130046,664.1277546988055,0.0,,
MA010120220804369500,1132010700,4.0,,메가엠지씨커피창동역점,,3130153,374.3959217785208,29.0,3.675,157000249.4265883
MA010120220813450022,1150010900,615.0,54.0,공활,,3110630,86.21409173473606,55.0,5.0,44780893.514489196
MA010120220800992852,1154510300,924.0,10.0,어깨동무,,3110753,106.10211040557415,0.0,4.56,26899229.568901956
MA010120220812381987,1165010800,1673.0,1.0,커피온리,교대역점,3120173,245.10702854620578,10.0,4.08,121053782.10612313
MA0101202406A0006355,1165010800,1445.0,1.0,메가엠지씨커피남부터미널역점,,3120175,270.11540065249244,8.0,5.0,163478691.56546256
MA010120220803746048,1120010400,185.0,27.0,카페다인,,3130067,79.565443164109,7.0,4.6899999999999995,44018652.01507213
MA010120220805528341,1114012300,9.0,15.0,남산#52LAB,,3120027,20.287975536561184,60.0,4.42,780093801.696622
MA010120220812223813,1135010300,513.0,47.0,베비아모,,3110433,60.8856951970885,189.0,4.8,48687485.92891271
MA010120220813622947,1120010200,890.0,381.0,오루베,,3110110,52.9446933996856,96.0,4.8,67580838.7874283
MA010120220812249653,1162010100,196.0,114.0,프리커피,,3110900,109.27215622891133,0.0,4.61,71886039.34656389
MA0101202210A0089507,1132010600,650.0,3.0,노브.,,3110405,164.52870172727742,0.0,,7819251.523228776
MA010120220810325777,1114011300,18.0,7.0,히든아일렛,,3120022,113.79118754259166,329.0,4.4,423531147.2138893
MA010120220812816297,1120011400,13.0,384.0,피카워크샵,,3110129,73.0568828389631,95.0,4.5600000000000005,4908326.308052073
MA010120220812692268,1132010600,719.0,2.0,셀렉토커피방학역점,,3110410,1324.135695100694,13.0,3.72,204850006.8836228
MA010120220814131733,1111015900,84.0,2.0,미러볼커피스탠드,,3120010,286.25969860379047,0.0,,43255352.69792322
MA010120220808471611,1130510300,28.0,18.0,단미제과,,3110359,79.24510160630058,0.0,,364569.97767409653
MA010120220806750334,1144010800,241.0,40.0,파크사이드,,3110576,72.42205982842553,332.0,4.1,101407579.48367275
MA010120220807072648,1171011100,64.0,6.0,코지,,3120229,291.16493699600323,273.0,4.2,642649989.2282906
MA010120220805629360,1129011600,2.0,2.0,데이데이,,3120072,65.6346265901084,30.0,5.0,145406819.6508454
MA010120220803903262,1129012100,9.0,,라운드테이블,,3110300,93.28381802850636,0.0,,104892525.01944137
MA010120220812684551,1123010500,70.0,9.0,리예몬,,3130100,78.37671844265736,0.0,,4324517.597337574
MA0101202406A0003591,1159010200,485.0,1.0,미학당,,3110838,252.97818808316308,258.0,4.82,69762186.777624
MA0101202406A0354707,1111013100,171.0,6.0,커피베이베이크앤비스트로서순라길점,,3110019,133.3849082792483,0.0,3.6,146176418.31436008
MA0101202306A0081109,1159010200,488.0,,컴포즈커피숭실대점,,3130269,,12.0,1.3,
MA010120220812045492,1121510300,248.0,87.0,집생로커피,,3110166,105.67604909788648,89.0,4.4,65044673.45738499
MA010120220805502965,1121510400,245.0,7.0,에그허그,,3110179,129.26371795865234,0.0,4.65,607213803.0901146
MA010120220804498801,1168010800,201.0,16.0,뷰파트너스주,,3120187,203.1035652946796,0.0,,297934582.55872
MA0101202212A0097331,1168010400,134.0,20.0,현욱기획,,3130308,,0.0,,
MA0106202201A0722612,1168010400,134.0,20.0,커피를만드는사람들,,3130308,,0.0,,
MA010120220803865372,1121510500,620.0,17.0,카페오,,3130081,108.71743724044983,0.0,,
MA0101202409A0141583,1135010300,592.0,7.0,퐁치커피익스프레스,공릉점,3110434,208.26151155022416,0.0,,24081832.811867416
MA0106202406A2464980,1168010100,858.0,,스타벅스,강남역신분당역사,3120192,373.1462097624886,155.0,4.4399999999999995,525914812.5187758
MA010120220812515182,1165010700,1313.0,,하우스브란트,,3110908,588.1843285070104,0.0,4.4,4502023.924570068
MA010120220806653613,1165010700,1313.0,,카페301,,3110908,588.1843285070104,0.0,,4502023.924570068
MA010120220803675047,1165010700,1313.0,,퀼트카페인,,3110908,588.1843285070104,0.0,,4502023.924570068
MA0101202406A0075604,1147010300,575.0,1.0,컴포즈양천신곡점,,3130205,334.31228207899517,13.0,3.62,84808018.1553571
MA0101202311A0105550,1114011200,33.0,1.0,스타트카페,,3130024,1038.2867321848155,3.0,5.0,248246376.57269713
MA010120220800117732,1114011200,33.0,1.0,커피집,,3130024,1038.2867321848155,747.0,4.145,862916602.9223558
MA010120220814124659,1159010700,68.0,1.0,나를위한하루날위한커피,사당점,3110851,77.72414495090163,0.0,,
MA010120220806848914,1132010500,422.0,80.0,카페크레프리,,3110383,240.11130211914204,10.0,4.6,56531725.62308421
