상가업소번호,상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
MA010120220800000033,부동산임대김은숙,3120005,456.4156768485561,0.0,,872525665.1591167
MA010120220800000302,한옥,3120008,123.19590005789692,133.0,4.225,1188689244.940988
MA010120220800000971,상록,3120009,195.8325827513194,1771.0,4.715,34824171122.050255
MA010120220800001379,우궁옛날전통찻집,3120008,79.22008324713646,0.0,,824538360.0356308
MA010120220800001558,화동커피,3120007,66.81225106875209,95.0,5.0,1341285727.4283783
MA010120220800002698,서울커피,3110023,37.17183947343749,9835.0,3.4333333333333336,2128019720.828393
MA010120220800002867,조셉의커피나무,3110280,17.98145387896453,478.0,4.29,107724863.99103247
MA010120220800002889,꽃휴게실,3120009,267.12316383376736,0.0,,6924731276.169807
MA010120220800003226,가야스넥코너,3120011,1724.0156043092293,0.0,,3597783461.0047336
MA010120220800003634,차향가,3120008,168.31549918684237,0.0,4.36,1000535913.4809426
MA010120220800003898,홍매,3110019,37.91127720500893,0.0,4.56,309482450.9658911
MA010120220800004660,서울찻집,3120008,445.7526120674364,1030.0,4.91,3696135632.0176926
MA010120220800005369,흐린세상건너기,3120008,94.88299041724585,15.0,4.24,886722441.8113991
MA010120220800005626,승리,3120009,680.380213864736,0.0,,12591048912.522673
MA010120220800006673,아꼬떼,3120007,85.40834590595898,14.0,4.585,970828798.4100604
MA010120220800007126,엘빈,3120012,182.43267626028359,286.0,3.9249999999999994,3168095785.657031
MA010120220800007320,가케하시,3120094,143.7318284567852,0.0,3.2,1445819032.1336772
MA010120220800007378,하나로다방,3120008,1129.4685661228848,0.0,,2899213332.1887155
MA010120220800008535,오가다종로2가인 사동점,3120006,139.29373652335343,60.0,4.23,2706626165.5692325
MA010120220800009105,지대방,3120008,102.89478405679903,264.0,4.6,1421762783.8819907
MA010120220800009183,나무요일,3120007,49.49618631425132,0.0,,824061557.7222239
MA010120220800009220,전통다원,3120008,236.87290678698412,1360.0,4.5,3971622704.207612
MA010120220800013362,불라여행카페,3120006,114.33412186280309,0.0,,1390343317.6458132
MA010120220800013429,커피친구,3120004,3622.90023842675,145.0,4.4399999999999995,7137155279.816789
MA010120220800013501,포석정,3120012,129.68539939238897,0.0,4.0,1002602903.4510436
MA010120220800013605,델리카,3110085,40.34528966741323,40.0,4.155,874914850.7153122
MA010120220800013834,지커뮨홀,3120002,56.05907687858019,0.0,,746607989.5245482
MA010120220800014174,키미아트,3110016,200.409039828985,0.0,,192780536.35173503
MA010120220800014726,TheMonoCo.,3110542,107.13598131807865,0.0,,427397597.7986518
MA010120220800014949,문화공간아리랑,3120005,456.4156768485561,16.0,3.7,915703652.0384657
MA010120220800016098,커피스트,3110012,161.62332110296012,836.0,4.38,4301556848.885828
MA010120220800016667,홍스커피홍，sCoffee,3130240,10126.858106565356,0.0,,2628848623.1103797
MA010120220800016838,보리수,3120009,210.08791546640845,0.0,,6142626717.679306
MA010120220800017772,디저트카페스테이,3120045,118.1264088203956,0.0,,3044382393.6937256
MA010120220800018127,지음,3120006,62.30537579976562,198.0,4.66,5565553043.18442
MA010120220800018393,파툼,3120005,65.2711259635714,213.0,2.8449999999999998,1071594572.7571875
MA010120220800019983,오후,3120002,66.70030189581561,1480.0,4.0,3558556968.1473
MA010120220800020110,커피로스팅하우스,3110326,131.5976876097016,0.0,4.53,4418048.147613863
MA010120220800020280,CAFE하비비,3120235,,0.0,4.28,646138102.760976
MA010120220800020809,귀천,3120008,338.1750833724367,132.0,4.59,1611270361.4830446
MA010120220800021606,코피티암,3120002,210.42887224255438,943.0,3.965,3168346612.4288006
MA010120220800021629,올림픽,3120009,230.0295265434047,0.0,4.49,6415991897.096133
MA010120220800021661,옛찻집,3120008,120.7274509491235,312.0,3.365,1557072368.8131557
MA010120220800021663,인사동,3120008,120.7274509491235,354.0,2.4,1644645204.8858306
MA010120220800022072,갤러리카페모짜르트,3120012,216.83093832422895,90.0,4.335,1888088440.0248742
MA010120220800022528,구스토,3120011,1948.975726950787,0.0,,3929325165.6425943
MA010120220800022626,더스키,3120012,217.16236793534628,209.0,3.455,2726569332.847375
