상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
부동산임대김은숙,3120005,439.7924567331972,0.0,,876592413.1173694
한옥,3120008,123.19590005789692,133.0,4.225,1211235253.572654
상록,3120154,195.8325827513194,1771.0,4.715,15984326713.766356
우궁옛날전통찻집,3120008,79.22008324713646,0.0,,872989079.9677047
화동커피,3120007,66.81225106875209,95.0,5.0,1331167247.9947543
서울커피,3110023,3942.13955026564,9835.0,3.4333333333333336,2839354165.5111713
조셉의커피나무,3110280,17.98145387896453,478.0,4.29,107725103.63146906
꽃휴게실,3120009,267.12316383376736,0.0,,4273319408.0710683
가야스넥코너,3120011,1724.0156043092293,0.0,,2987443546.2765727
차향가,3120008,168.31549918684237,0.0,4.36,1016621515.3812613
홍매,3110019,37.91127720500893,0.0,4.56,231312140.60824102
서울찻집,3120145,445.7526120674364,1030.0,4.91,49604495687.168625
흐린세상건너기,3120008,94.88299041724585,15.0,4.24,928392025.5297635
승리,3120009,680.380213864736,0.0,,6492236499.489168
아꼬떼,3120007,85.40834590595898,14.0,4.585,959407567.3871053
엘빈,3120197,202.95417154700417,286.0,3.9249999999999994,8202052378.461514
가케하시,3120094,143.7318284567852,0.0,3.2,1350592967.3637524
하나로다방,3120008,1129.4685661228848,0.0,,2566114879.9182014
지대방,3120008,102.89478405679903,264.0,4.6,1441839016.7376623
나무요일,3120007,49.49618631425132,0.0,,823516730.9200771
전통다원,3120008,236.87290678698412,1360.0,4.5,3860968301.294351
불라여행카페,3120006,114.33412186280309,0.0,,1246263126.2328792
커피친구,3120004,3622.90023842675,145.0,4.4399999999999995,8392018778.634584
포석정,3120012,129.68539939238897,0.0,4.0,774678749.2564933
델리카,3110085,40.34528966741323,40.0,4.155,875122687.4597001
지커뮨홀,3120002,56.05907687858019,0.0,,812148036.5939711
키미아트,3110016,200.409039828985,0.0,,198802132.3550149
TheMonoCo.,3110542,107.13598131807865,0.0,,399605661.3256107
문화공간아리랑,3120005,439.7924567331972,16.0,3.7,913724366.4207531
커피스트,3110012,161.62332110296012,836.0,4.38,4155841971.6303344
홍스커피홍，sCoffee,3130240,10126.858106565356,0.0,,5147145395.22509
보리수,3110305,210.08791546640845,0.0,,435010684.8812327
디저트카페스테이,3120045,118.1264088203956,0.0,,3077572649.997225
지음,3120006,62.30537579976562,198.0,4.66,6156384567.1564865
파툼,3120005,65.2711259635714,213.0,2.8449999999999998,997664397.1884694
오후,3110027,487.32026870521804,1480.0,4.0,516183417.68022555
커피로스팅하우스,3110326,131.5976876097016,0.0,4.53,4418058.87787838
CAFE하비비,3120235,1096.868736443744,0.0,4.28,969867189.4302542
귀천,3120008,462.2963574272563,132.0,4.59,1755895464.9301345
코피티암,3110464,210.42887224255438,943.0,3.965,3745367117.604757
올림픽,3120009,230.0295265434047,0.0,4.49,4074151104.08138
옛찻집,3120008,120.7274509491235,312.0,3.365,1567075310.6952937
인사동,3120008,120.7274509491235,354.0,2.4,1651502230.4784029
갤러리카페모짜르트,3120012,216.83093832422895,90.0,4.335,1722192589.105511
구스토,3120011,1948.975726950787,0.0,,3253998551.8693476
더스키,3120012,217.16236793534628,209.0,3.455,2799264749.2928395
더블하모니,3110554,275.9569046265662,0.0,,331348550.63508266
국제다방,3120009,179.23381669434366,0.0,,3801411730.98091
혜화동콩집,3110024,64.41024120958961,60.0,4.355,586159488.2788244
수요일,3120008,204.7577198520651,225.0,3.915,1527657791.2138522
백년건강음료,3120009,831.6880243214805,0.0,5.0,7304659388.977347
담다,3110235,103.47211544471119,69.66666666666667,4.8999999999999995,
지하철다방,3120014,337.4589773149367,0.0,,3617655327.281623
덤,3110024,100.13713385718938,0.0,,467601378.11541724
스탐티쉬,3110009,73.23289230658683,128.0,4.6899999999999995,605821230.0566754
커피투어,3130002,132.0099235833706,304.0,4.318333333333334,10117369290.357592
바닐라스카이,3130010,567.6235233831509,0.0,4.44,6002390913.919602
소연,3110019,114.75505507158559,45.0,4.4,519567254.76761097
아리스타커피,3130034,10126.858106565356,11.8,4.071875,
카페모노블럭,3120103,370.7958958093847,281.0,4.125,4773996854.254262
조은날,3120003,1482.4675328857832,0.0,,1793383439.4819517
엠케이투,3120002,80.62691289965618,134.0,3.4,1161355546.4865966
소마,3110283,112.47029474244063,170.0,3.7,3013242230.161832
