상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,estimated_population,estimated_population_total
MA010120220800672495,가비수구.거니는집,,3130284,관악종합시장(신원시장),서울특별시 관악구 신원로 23,70102,70102
MA0101202406A0465702,카페인중독잠실,방이점,3120233,몽촌토성역,서울특별시 송파구 위례성대로2길 11,46743,46743
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,굽은다리역 3번,서울특별시 강동구 상암로51길 31,28573,28573
MA010120220803375113,커피가게동경연희점,,3130174,연희사러가,서울특별시 서대문구 연희맛로 23,37170,37170
MA010120220813491137,컴포즈커피강남,시장점,3130302,강남시장(강남구 강남시장),서울특별시 강남구 압구정로2길 46,50805,50805
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,시립서북병원,서울특별시 은평구 갈현로11길 12,166295,166295
MA010120220814115583,더치앤빈흑리단길점,,3110842,흑리단길,서울특별시 동작구 서달로14길 40,20720,20720
MA010120220807123745,세운나다방,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA010120220813241715,브라운컬렉션,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA010120220803699812,챔프커피,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202307A0001081,이프프커피,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202305A0155336,헤일리스커피,을지로점,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202406A0288695,리오네커피,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA010120220807113501,해피클럽,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202409A0004940,톤즈,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA010120220806525068,빈티지라이언,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA010120220810045634,호랑이,,3130033,대림상가(청계상가),서울특별시 중구 을지로 157,5309,58399
MA0101202209A0021984,아르팡,,3130057,만리시장,서울특별시 용산구 효창원로 270,15682,15682
MA0106202303A1044347,멀티커피,한양대점,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",서울특별시 성동구 마조로 17,45340,90680
MA010120220805143379,티아트커피로스터스,,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",서울특별시 성동구 마조로 17,45340,90680
MA010120220802972784,카페쏙,,3110323,상월곡역 1번,서울특별시 성북구 장월로1길 66,142664,142664
MA010120220804964341,단조,,3130106,중랑동부시장,서울특별시 중랑구 중랑천로10길 68,88665,88665
MA010120220812595260,이디야커피,,3110393,국민은행방학지점,서울특별시 도봉구 방학로 171,12241,12241
MA010120220807929010,카페숲,,3130088,경동시장,서울특별시 동대문구 고산자로36길 3,29168,58336
MA0106202406A2465633,스타벅스,경동1960,3130088,경동시장,서울특별시 동대문구 고산자로36길 3,29168,58336
