,상가업소번호,상호명,지점명,TRDAR_CD,estimated_총_유동인구_수_total,estimated_시간대_00_06_유동인구_수_total,estimated_시간대_06_11_유동인구_수_total,estimated_시간대_11_14_유동인구_수_total,estimated_시간대_14_17_유동인구_수_total,estimated_시간대_17_21_유동인구_수_total,estimated_시간대_21_24_유동인구_수_total,상권_코드,매출_최대_시간대,피크_유동인구_수_상권별,기준_년분기_코드,피크_유동인구_수_11~14
0,MA010120220800672495,가비수구.거니는집,,3130284,70102,17245,13100,7883,8551,13485,9836,,,,,7883
1,MA0101202406A0465702,카페인중독잠실,방이점,3120233,46743,10682,9557,6341,6220,8328,5616,3120233.0,11_14,6341.0,20244.0,6341
2,MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,28573,7028,5777,3363,3344,5270,3791,3111080.0,06_11,5777.0,20244.0,3363
3,MA010120220803375113,커피가게동경연희점,,3130174,37170,6861,7352,5516,5577,7417,4444,,,,,5516
4,MA010120220813491137,컴포즈커피강남,시장점,3130302,50805,7467,8862,8687,8987,11223,5577,,,,,8687
5,MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,166295,49556,35714,17033,17204,24428,22360,3110450.0,11_14,17033.0,20244.0,17033
6,MA010120220814115583,더치앤빈흑리단길점,,3110842,20720,3588,4122,2943,3258,4452,2356,3110842.0,17_21,4452.0,20244.0,2943
7,MA010120220807123745,세운나다방,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
8,MA010120220813241715,브라운컬렉션,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
9,MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
10,MA010120220803699812,챔프커피,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
11,MA0101202307A0001081,이프프커피,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
12,MA0101202305A0155336,헤일리스커피,을지로점,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
13,MA0101202406A0288695,리오네커피,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
14,MA010120220807113501,해피클럽,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
15,MA0101202409A0004940,톤즈,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
16,MA010120220806525068,빈티지라이언,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
17,MA010120220810045634,호랑이,,3130033,58399,5434,13057,12045,12331,11165,4389,3130033.0,11_14,12045.0,20244.0,12045
18,MA0101202209A0021984,아르팡,,3130057,15682,3809,3346,1915,1907,2717,1990,,,,,1915
19,MA0106202303A1044347,멀티커피,한양대점,3130069,90680,21520,17512,11040,10892,16810,12908,3130069.0,17_21,16810.0,20244.0,11040
20,MA010120220805143379,티아트커피로스터스,,3130069,90680,21520,17512,11040,10892,16810,12908,3130069.0,17_21,16810.0,20244.0,11040
21,MA010120220802972784,카페쏙,,3110323,142664,40156,28825,15770,15501,23138,19273,3110323.0,11_14,15770.0,20244.0,15770
22,MA010120220804964341,단조,,3130106,88665,21513,17000,10391,11116,16430,12216,3130106.0,17_21,16430.0,20244.0,10391
23,MA010120220812595260,이디야커피,,3110393,12241,2352,2178,1667,1825,2638,1582,3110393.0,11_14,1667.0,20244.0,1667
24,MA010120220807929010,카페숲,,3130088,58336,8738,12840,10980,10844,9680,5256,,,,,10980
25,MA0106202406A2465633,스타벅스,경동1960,3130088,58336,8738,12840,10980,10844,9680,5256,,,,,10980
26,MA010120220800600549,이디아,,3120094,55064,9586,9340,7940,8474,12623,7101,3120094.0,17_21,12623.0,20244.0,7940
27,MA0101202409A0021931,에나꼬레,,3130173,74191,17054,16565,8743,9522,12867,9440,,,,,8743
28,MA010120220810199262,태무든TAEMOODEN,,3110525,49794,9554,9830,6704,7265,10351,6090,3110525.0,11_14,6704.0,20244.0,6704
29,MA0101202311A0083488,두번째디저트,,3110852,82742,23393,16782,9714,9280,13196,10378,3110852.0,14_17,9280.0,20244.0,9714
30,MA0106202406A2465517,스타벅스,신촌,3130175,16809,2710,3229,2466,2638,3721,2045,3130175.0,17_21,3721.0,20244.0,2466
31,MA010120220803658119,이디야사가정점,,3120068,20231,3608,3861,2723,2875,4392,2772,3120068.0,17_21,4392.0,20244.0,2723
32,MA010120220810433268,로스토,,3110037,382588,104012,81558,45400,44632,58980,48008,3110037.0,11_14,45400.0,20244.0,45400
33,MA0101202311A0016316,청림무역,,3110037,382588,104012,81558,45400,44632,58980,48008,3110037.0,11_14,45400.0,20244.0,45400
34,MA010120220812360152,9카페,,3120066,35096,7087,7471,5134,5083,6306,4014,3120066.0,11_14,5134.0,20244.0,5134
35,MA010120220803705421,쥬씨삼호가든,사거리점,3120170,107294,22925,18707,13714,17085,22631,12232,3120170.0,11_14,13714.0,20244.0,13714
36,MA0101202305A0094771,몹시,,3120002,22612,2957,4103,4083,4360,4787,2322,3120002.0,14_17,4360.0,20244.0,4083
37,MA010120220800795375,마룬여유,,3110517,115609,21364,24440,17195,16618,22031,13961,3110517.0,11_14,17195.0,20244.0,17195
38,MA0101202212A0069021,탐앤탐스홍제역점,,3130176,20274,2568,3818,3252,3580,4788,2268,,,,,3252
39,MA010120220810013229,홍제동냇길,,3130176,20274,2568,3818,3252,3580,4788,2268,,,,,3252
40,MA010120220804670501,아케디뜨,,3130060,34195,7737,6559,4152,4619,6728,4399,3130060.0,17_21,6728.0,20244.0,4152
41,MA0101202210A0069909,잇푸쿠,,3110553,154891,46868,31911,15935,15507,23307,21364,3110553.0,11_14,15935.0,20244.0,15935
42,MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,35319,6651,6649,4822,5357,7656,4182,3110408.0,11_14,4822.0,20244.0,4822
43,MA010120220811453534,까페캠퍼,잠실점,3111004,106040,30096,21598,11258,11228,17297,14562,3111004.0,14_17,11228.0,20244.0,11258
44,MA010120220806570363,설빙,,3120151,99594,22740,20805,14670,14397,16086,10899,3120151.0,11_14,14670.0,20244.0,14670
45,MA0101202308A0030688,매머드익스프레스보라매대교점,,3120151,99594,22740,20805,14670,14397,16086,10899,3120151.0,11_14,14670.0,20244.0,14670
46,MA0101202303A0088204,커피앤김밥,,3120151,99594,22740,20805,14670,14397,16086,10899,3120151.0,11_14,14670.0,20244.0,14670
47,MA0101202212A0063472,원두볶는사람들,,3111050,52258,13322,10948,6744,6432,8419,6393,3111050.0,11_14,6744.0,20244.0,6744
48,MA0101202406A0348730,이디야커피창동학원가점,,3110409,41408,9144,7965,5203,5724,8309,5064,3110409.0,17_21,8309.0,20244.0,5203
49,MA0106202406A2465527,스타벅스,고대,3110313,80366,14153,14396,12407,12484,16693,10233,3110313.0,11_14,12407.0,20244.0,12407
50,MA010120220800594420,앨리스,,3130178,7910,1327,1647,1441,1411,1334,751,3130178.0,11_14,1441.0,20244.0,1441
51,MA010120220814090613,아키비스트,,3110015,14872,1726,2886,2974,3212,2704,1370,3110015.0,11_14,2974.0,20244.0,2974
52,MA010120220812595540,멜로드,,3130268,34115,8133,6665,3995,4379,6621,4321,3130268.0,21_24,4321.0,20244.0,3995
53,MA0101202307A0029658,요거요거요거트,,3110671,58847,16895,12631,6833,6459,8640,7389,3110671.0,11_14,6833.0,20244.0,6833
54,MA010120220807372753,바스크,,3110306,49874,11132,9234,5979,7155,10314,6060,3110306.0,14_17,7155.0,20244.0,5979
55,MA010120220804283432,커피인페르노,,3111042,234871,64739,46984,25176,25738,39372,32863,3111042.0,11_14,25176.0,20244.0,25176
56,MA010120220811802533,커피볶는김여사,,3110525,49794,9554,9830,6704,7265,10351,6090,3110525.0,11_14,6704.0,20244.0,6704
57,MA010120220813194426,구루구루,,3110842,20720,3588,4122,2943,3258,4452,2356,3110842.0,17_21,4452.0,20244.0,2943
58,MA0101202308A0087121,미쉐,,3130190,22691,3522,2756,3090,4190,6113,3019,3130190.0,17_21,6113.0,20244.0,3090
59,MA010120220814138033,디자인정인플러스,,3110283,34187,8867,6999,4357,4037,5415,4512,3110283.0,11_14,4357.0,20244.0,4357
60,MA0101202306A0098791,봉명동내커피,,3110438,89899,23658,17860,9983,10354,15861,12182,3110438.0,11_14,9983.0,20244.0,9983
61,MA0101202310A0014635,이디야팀이공사점,,3130046,34842,8398,6924,4973,4533,5251,4765,,,,,4973
62,MA010120220804369500,메가엠지씨커피창동역점,,3130153,24923,2452,4631,4536,5225,5838,2242,3130153.0,11_14,4536.0,20244.0,4536
63,MA010120220813450022,공활,,3110630,121001,35651,25762,14028,13043,17401,15115,3110630.0,11_14,14028.0,20244.0,14028
64,MA010120220800992852,어깨동무,,3110753,104989,32132,20438,10180,10182,16972,15085,3110753.0,14_17,10182.0,20244.0,10180
65,MA010120220812381987,커피온리,교대역점,3120173,50486,6601,10596,9232,9064,10309,4684,3120173.0,11_14,9232.0,20244.0,9232
66,MA0101202406A0006355,메가엠지씨커피남부터미널역점,,3120175,30446,5678,6714,4975,4962,5122,2995,3120175.0,11_14,4975.0,20244.0,4975
67,MA010120220803746048,카페다인,,3130067,92509,25799,18936,10573,10200,14917,12084,3130067.0,11_14,10573.0,20244.0,10573
68,MA010120220805528341,남산#52LAB,,3120027,23439,2403,4878,5002,4953,4479,1724,3120027.0,11_14,5002.0,20244.0,5002
69,MA010120220812223813,베비아모,,3110433,66567,20418,13754,6486,6135,10125,9649,3110433.0,21_24,9649.0,20244.0,6486
70,MA010120220813622947,오루베,,3110110,266052,72483,54918,29666,30050,44771,34164,3110110.0,14_17,30050.0,20244.0,29666
71,MA010120220812249653,프리커피,,3110900,194781,58566,39971,18540,18371,30827,28506,3110900.0,14_17,18371.0,20244.0,18540
72,MA0101202210A0089507,노브.,,3110405,160865,38589,31579,18783,19821,30027,22066,3110405.0,14_17,19821.0,20244.0,18783
73,MA010120220810325777,히든아일렛,,3120022,46754,2034,9130,11558,11851,9860,2321,3120022.0,11_14,11558.0,20244.0,11558
74,MA010120220812816297,피카워크샵,,3110129,10192,2621,2149,1414,1416,1493,1101,3110129.0,11_14,1414.0,20244.0,1414
75,MA010120220812692268,셀렉토커피방학역점,,3110410,65209,11956,12787,9315,10122,13255,7773,3110410.0,17_21,13255.0,20244.0,9315
76,MA010120220814131733,미러볼커피스탠드,,3120010,68841,12225,16043,12819,12183,9983,5588,3120010.0,11_14,12819.0,20244.0,12819
77,MA010120220808471611,단미제과,,3110359,255040,76410,50689,25429,25375,40499,36638,3110359.0,14_17,25375.0,20244.0,25429
78,MA010120220806750334,파크사이드,,3110576,36465,5347,6876,5434,5948,8376,4485,3110576.0,17_21,8376.0,20244.0,5434
79,MA010120220807072648,코지,,3120229,98528,18495,17007,13252,14047,21970,13759,3120229.0,17_21,21970.0,20244.0,13252
80,MA010120220805629360,데이데이,,3120072,28257,5222,5177,3787,4170,6254,3647,3120072.0,17_21,6254.0,20244.0,3787
81,MA010120220803903262,라운드테이블,,3110300,129755,30996,26603,16587,16373,23088,16108,3110300.0,11_14,16587.0,20244.0,16587
82,MA010120220812684551,리예몬,,3130100,82151,18519,16378,10294,11193,15751,10016,3130100.0,11_14,10294.0,20244.0,10294
83,MA0101202406A0003591,미학당,,3110838,33334,9803,5889,3735,3987,5729,4190,3110838.0,11_14,3735.0,20244.0,3735
84,MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,,3110019,39425,4170,7651,8027,8689,7836,3051,3110019.0,14_17,8689.0,20244.0,8027
85,MA0101202306A0081109,컴포즈커피숭실대점,,3130269,44533,11861,7689,5480,6006,8271,5224,,,,,5480
86,MA010120220812045492,집생로커피,,3110166,136037,38570,28519,15270,14735,20820,18124,3110166.0,11_14,15270.0,20244.0,15270
87,MA010120220805502965,에그허그,,3110179,67396,19643,14834,8460,7541,9007,7910,3110179.0,11_14,8460.0,20244.0,8460
88,MA010120220804498801,뷰파트너스주,,3120187,41208,6170,7816,6680,7086,8979,4476,3120187.0,11_14,6680.0,20244.0,6680
89,MA0101202212A0097331,현욱기획,,3130308,20880,4048,5100,3468,3280,2966,2012,,,,,3468
90,MA0106202201A0722612,커피를만드는사람들,,3130308,20880,4048,5100,3468,3280,2966,2012,,,,,3468
91,MA010120220803865372,카페오,,3130081,372106,97221,74973,42532,44877,63778,48723,,,,,42532
92,MA0101202409A0141583,퐁치커피익스프레스,공릉점,3110434,60359,17617,12525,6332,6358,9590,7936,3110434.0,17_21,9590.0,20244.0,6332
93,MA0106202406A2464980,스타벅스,강남역신분당역사,3120192,35592,6511,7770,5951,5754,6058,3549,3120192.0,11_14,5951.0,20244.0,5951
94,MA010120220812515182,하우스브란트,,3110908,17427,435,3882,3783,4350,3975,1005,3110908.0,11_14,3783.0,20244.0,3783
95,MA010120220806653613,카페301,,3110908,17427,435,3882,3783,4350,3975,1005,3110908.0,11_14,3783.0,20244.0,3783
96,MA010120220803675047,퀼트카페인,,3110908,17427,435,3882,3783,4350,3975,1005,3110908.0,11_14,3783.0,20244.0,3783
97,MA0101202406A0075604,컴포즈양천신곡점,,3130205,12357,2708,2415,1482,1609,2422,1722,3130205.0,11_14,1482.0,20244.0,1482
98,MA0101202311A0105550,스타트카페,,3130024,112736,5796,22862,30486,29688,19336,4568,3130024.0,11_14,30486.0,20244.0,30486
99,MA010120220800117732,커피집,,3130024,112736,5796,22862,30486,29688,19336,4568,3130024.0,11_14,30486.0,20244.0,30486
100,MA010120220814124659,나를위한하루날위한커피,사당점,3110851,276288,86860,57103,26219,25372,40985,39749,,,,,26219
