동이름,cortarNo,구이름
개포동,4113510300,강남구
논현동,1168010800,강남구
대치동,1168010600,강남구
도곡동,1168011800,강남구
삼성동,1168010500,강남구
세곡동,1168011100,강남구
수서동,1168011500,강남구
신사동,1168010700,강남구
압구정동,1168011000,강남구
역삼동,1168010100,강남구
율현동,1168011300,강남구
일원동,1168011400,강남구
자곡동,1168011200,강남구
청담동,1168010400,강남구
강일동,4113510300,강동구
고덕동,1174010200,강동구
길동,1174010500,강동구
둔촌동,1174010600,강동구
명일동,1174010100,강동구
상일동,1174010300,강동구
성내동,1174010800,강동구
암사동,1174010700,강동구
천호동,1174010900,강동구
미아동,4113510300,강북구
번동,1130510200,강북구
수유동,1130510300,강북구
우이동,1130510400,강북구
가양동,4113510300,강서구
개화동,1150011000,강서구
공항동,1150010800,강서구
과해동,1150011100,강서구
내발산동,1150010600,강서구
등촌동,1150010200,강서구
마곡동,1150010500,강서구
방화동,1150010900,강서구
염창동,1150010100,강서구
오곡동,1150011200,강서구
오쇠동,1150011300,강서구
외발산동,1150010700,강서구
화곡동,1150010300,강서구
남현동,4113510300,관악구
봉천동,1162010100,관악구
신림동,1162010200,관악구
광장동,4113510300,광진구
구의동,1121510300,광진구
군자동,1121510900,광진구
능동,1121510200,광진구
자양동,1121510500,광진구
중곡동,1121510100,광진구
화양동,1121510700,광진구
가리봉동,4113510300,구로구
개봉동,1153010700,구로구
고척동,1153010600,구로구
구로동,1153010200,구로구
궁동,1153010900,구로구
신도림동,1153010100,구로구
오류동,1153010800,구로구
온수동,1153011000,구로구
천왕동,1153011100,구로구
항동,1153011200,구로구
가산동,4113510300,금천구
독산동,1154510200,금천구
시흥동,1154510300,금천구
공릉동,4113510300,노원구
상계동,1135010500,노원구
월계동,1135010200,노원구
중계동,1135010600,노원구
하계동,1135010400,노원구
도봉동,4113510300,도봉구
방학동,1132010600,도봉구
쌍문동,1132010500,도봉구
창동,1132010700,도봉구
답십리동,4113510300,동대문구
신설동,1123010100,동대문구
용두동,1123010200,동대문구
이문동,1123011000,동대문구
장안동,1123010600,동대문구
전농동,1123010400,동대문구
제기동,1123010300,동대문구
청량리동,1123010700,동대문구
회기동,1123010800,동대문구
휘경동,1123010900,동대문구
노량진동,4113510300,동작구
대방동,1159010800,동작구
동작동,1159010600,동작구
본동,1159010400,동작구
사당동,1159010700,동작구
상도1동,1159010300,동작구
상도동,1159010200,동작구
신대방동,1159010900,동작구
흑석동,1159010500,동작구
공덕동,4113510300,마포구
구수동,1144011300,마포구
노고산동,1144011000,마포구
당인동,1144011800,마포구
대흥동,1144010800,마포구
도화동,1144010400,마포구
동교동,1144012100,마포구
마포동,1144010700,마포구
망원동,1144012300,마포구
상수동,1144011500,마포구
상암동,1144012700,마포구
서교동,1144012000,마포구
성산동,1144012500,마포구
신공덕동,1144010300,마포구
신수동,1144011100,마포구
신정동,1144011700,마포구
아현동,1144010100,마포구
연남동,1144012400,마포구
염리동,1144010900,마포구
용강동,1144010500,마포구
중동,1144012600,마포구
창전동,1144011400,마포구
토정동,1144010600,마포구
하중동,1144011600,마포구
합정동,1144012200,마포구
현석동,1144011200,마포구
남가좌동,4113510300,서대문구
냉천동,1141010500,서대문구
대신동,1141011300,서대문구
대현동,1141011200,서대문구
미근동,1141010400,서대문구
봉원동,1141011500,서대문구
북가좌동,1141011900,서대문구
북아현동,1141011000,서대문구
신촌동,1141011400,서대문구
연희동,1141011700,서대문구
영천동,1141010800,서대문구
옥천동,1141010700,서대문구
창천동,1141011600,서대문구
천연동,1141010600,서대문구
충정로2가,1141010100,서대문구
충정로3가,1141010200,서대문구
합동,1141010300,서대문구
현저동,1141010900,서대문구
홍은동,1141011800,서대문구
홍제동,1141011100,서대문구
내곡동,4113510300,서초구
반포동,1165010700,서초구
방배동,1165010100,서초구
서초동,1165010800,서초구
신원동,1165011100,서초구
양재동,1165010200,서초구
염곡동,1165011000,서초구
우면동,1165010300,서초구
원지동,1165010400,서초구
잠원동,1165010600,서초구
금호동1가,4113510300,성동구
금호동2가,1120011000,성동구
금호동3가,1120011100,성동구
금호동4가,1120011200,성동구
도선동,1120010400,성동구
마장동,1120010500,성동구
사근동,1120010600,성동구
상왕십리동,1120010100,성동구
성수동1가,1120011400,성동구
성수동2가,1120011500,성동구
송정동,1120011800,성동구
옥수동,1120011300,성동구
용답동,1120012200,성동구
응봉동,1120010800,성동구
하왕십리동,1120010200,성동구
행당동,1120010700,성동구
홍익동,1120010300,성동구
길음동,4113510300,성북구
돈암동,1129010300,성북구
동선동1가,1129011600,성북구
동선동2가,1129011700,성북구
동선동3가,1129011800,성북구
동선동4가,1129011900,성북구
동선동5가,1129012000,성북구
동소문동1가,1129010400,성북구
동소문동2가,1129010500,성북구
동소문동3가,1129010600,성북구
동소문동4가,1129010700,성북구
동소문동5가,1129010800,성북구
동소문동6가,1129010900,성북구
동소문동7가,1129011000,성북구
보문동1가,1129013000,성북구
보문동2가,1129013100,성북구
보문동3가,1129013200,성북구
보문동4가,1129012600,성북구
보문동5가,1129012700,성북구
보문동6가,1129012800,성북구
보문동7가,1129012900,성북구
삼선동1가,1129011100,성북구
삼선동2가,1129011200,성북구
삼선동3가,1129011300,성북구
삼선동4가,1129011400,성북구
삼선동5가,1129011500,성북구
상월곡동,1129013700,성북구
석관동,1129013900,성북구
성북동,1129010100,성북구
성북동1가,1129010200,성북구
안암동1가,1129012100,성북구
안암동2가,1129012200,성북구
안암동3가,1129012300,성북구
안암동4가,1129012400,성북구
안암동5가,1129012500,성북구
장위동,1129013800,성북구
정릉동,1129013300,성북구
종암동,1129013500,성북구
하월곡동,1129013600,성북구
가락동,4113510300,송파구
거여동,1171011300,송파구
마천동,1171011400,송파구
문정동,1171010800,송파구
방이동,1171011100,송파구
삼전동,1171010600,송파구
석촌동,1171010500,송파구
송파동,1171010400,송파구
신천동,1171010200,송파구
오금동,1171011200,송파구
잠실동,1171010100,송파구
장지동,1171010900,송파구
풍납동,1171010300,송파구
목동,4113510300,양천구
신월동,1147010300,양천구
신정동,1147010100,양천구
당산동,4113510300,영등포구
당산동1가,1156011100,영등포구
당산동2가,1156011200,영등포구
당산동3가,1156011300,영등포구
당산동4가,1156011400,영등포구
당산동5가,1156011500,영등포구
당산동6가,1156011600,영등포구
대림동,1156013300,영등포구
도림동,1156011800,영등포구
문래동1가,1156011900,영등포구
문래동2가,1156012000,영등포구
문래동3가,1156012100,영등포구
문래동4가,1156012200,영등포구
문래동5가,1156012300,영등포구
문래동6가,1156012400,영등포구
신길동,1156013200,영등포구
양평동,1156013400,영등포구
양평동1가,4113510300,영등포구
양평동2가,1156012600,영등포구
양평동3가,1156012700,영등포구
양평동4가,1156012800,영등포구
양평동5가,1156012900,영등포구
양평동6가,1156013000,영등포구
양화동,1156013100,영등포구
여의도동,1156011000,영등포구
영등포동,1156010100,영등포구
영등포동1가,1156010200,영등포구
영등포동2가,1156010300,영등포구
영등포동3가,1156010400,영등포구
영등포동4가,1156010500,영등포구
영등포동5가,1156010600,영등포구
영등포동6가,1156010700,영등포구
영등포동7가,1156010800,영등포구
영등포동8가,1156010900,영등포구
갈월동,4113510300,용산구
남영동,1117010500,용산구
도원동,1117012000,용산구
동빙고동,1117013200,용산구
동자동,1117010700,용산구
문배동,1117012200,용산구
보광동,1117013600,용산구
산천동,1117011500,용산구
서계동,1117010800,용산구
서빙고동,1117013300,용산구
신계동,1117012300,용산구
신창동,1117011400,용산구
용문동,1117012100,용산구
용산동1가,1117010600,용산구
용산동2가,1117010200,용산구
용산동3가,1117012600,용산구
용산동4가,1117010300,용산구
용산동5가,1117012700,용산구
용산동6가,1117013500,용산구
원효로1가,1117011200,용산구
원효로2가,1117011300,용산구
원효로3가,1117011700,용산구
원효로4가,1117011800,용산구
이촌동,1117012900,용산구
이태원동,1117013000,용산구
주성동,1117013400,용산구
청암동,1117011600,용산구
청파동1가,1117010900,용산구
청파동2가,1117011000,용산구
청파동3가,1117011100,용산구
한강로1가,1117012400,용산구
한강로2가,1117012500,용산구
한강로3가,1117012800,용산구
한남동,1117013100,용산구
효창동,1117011900,용산구
후암동,1117010100,용산구
갈현동,4113510300,은평구
구산동,1138010500,은평구
녹번동,1138010200,은평구
대조동,1138010600,은평구
불광동,1138010300,은평구
수색동,1138010100,은평구
신사동,1138010900,은평구
역촌동,1138010800,은평구
응암동,1138010700,은평구
증산동,1138011000,은평구
진관동,1138011400,은평구
가회동,4113510300,종로구
견지동,1111012900,종로구
경운동,1111013400,종로구
계동,1111014800,종로구
공평동,1111012700,종로구
관수동,1111015500,종로구
관철동,1111013500,종로구
관훈동,1111012800,종로구
교남동,1111017600,종로구
교북동,1111018000,종로구
구기동,1111018200,종로구
궁정동,1111010300,종로구
권농동,1111015000,종로구
낙원동,1111013700,종로구
내수동,1111011800,종로구
내자동,1111011400,종로구
누상동,1111010900,종로구
누하동,1111011000,종로구
당주동,1111011700,종로구
도렴동,1111011600,종로구
돈의동,1111015300,종로구
동숭동,1111016800,종로구
명륜1가,1111017000,종로구
명륜2가,1111017100,종로구
명륜3가,1111017300,종로구
명륜4가,1111017200,종로구
묘동,1111015100,종로구
무악동,1111018700,종로구
봉익동,1111015200,종로구
부암동,1111018400,종로구
사간동,1111014400,종로구
사직동,1111011500,종로구
삼청동,1111014000,종로구
서린동,1111012300,종로구
세종로,1111011900,종로구
소격동,1111014200,종로구
송월동,1111017800,종로구
송현동,1111014500,종로구
수송동,1111012400,종로구
숭인동,1111017500,종로구
신교동,1111010200,종로구
신문로1가,1111012000,종로구
신문로2가,1111012100,종로구
신영동,1111018600,종로구
안국동,1111014100,종로구
연건동,1111016600,종로구
연지동,1111016000,종로구
예지동,1111015800,종로구
옥인동,1111011100,종로구
와룡동,1111013000,종로구
운니동,1111013200,종로구
원남동,1111015900,종로구
원서동,1111014900,종로구
이화동,1111016500,종로구
익선동,1111013300,종로구
인사동,1111013600,종로구
인의동,1111015700,종로구
장사동,1111015400,종로구
재동,1111014700,종로구
적선동,1111010700,종로구
종로1가,1111012600,종로구
종로2가,1111013800,종로구
종로3가,1111015600,종로구
종로4가,1111016100,종로구
종로5가,1111016300,종로구
종로6가,1111016400,종로구
중학동,1111012500,종로구
창성동,1111010500,종로구
창신동,1111017400,종로구
청운동,1111010100,종로구
청진동,1111012200,종로구
체부동,1111011200,종로구
충신동,1111016700,종로구
통의동,1111010600,종로구
통인동,1111010800,종로구
팔판동,1111013900,종로구
평동,1111017700,종로구
평창동,1111018300,종로구
필운동,1111011300,종로구
행촌동,1111018100,종로구
혜화동,1111016900,종로구
홍지동,1111018500,종로구
홍파동,1111017900,종로구
화동,1111014300,종로구
효자동,1111010400,종로구
효제동,1111016200,종로구
훈정동,1111015000,종로구
광희동1가,4113510300,중구
광희동2가,1114014600,중구
남대문로1가,1114010600,중구
남대문로2가,1114011500,중구
남대문로3가,1114011600,중구
남대문로4가,1114011700,중구
남대문로5가,1114011800,중구
남산동1가,1114012800,중구
남산동2가,1114012900,중구
남산동3가,1114013000,중구
남창동,1114011200,중구
남학동,1114014000,중구
다동,1114010200,중구
만리동1가,1114017300,중구
만리동2가,1114017400,중구
명동1가,1114012600,중구
명동2가,1114012700,중구
무교동,1114010100,중구
무학동,1114016400,중구
묵정동,1114013600,중구
방산동,1114015300,중구
봉래동1가,1114011900,중구
봉래동2가,1114012000,중구
북창동,1114011300,중구
산림동,1114015700,중구
삼각동,1114010700,중구
서소문동,1114016600,중구
소공동,1114011100,중구
수표동,1114011000,중구
수하동,1114010800,중구
순화동,1114016800,중구
신당동,1114016200,중구
쌍림동,1114014700,중구
예관동,1114013500,중구
예장동,1114014200,중구
오장동,1114015400,중구
을지로1가,1114010400,중구
을지로2가,1114010500,중구
을지로3가,1114015500,중구
을지로4가,1114015000,중구
을지로5가,1114015100,중구
을지로6가,1114014800,중구
을지로7가,1114014900,중구
의주로1가,1114016900,중구
의주로2가,4113510300,중구
인현동1가,1114016000,중구
인현동2가,1114013400,중구
입정동,1114015600,중구
장교동,1114010900,중구
장충동1가,1114014300,중구
장충동2가,1114014400,중구
저동1가,1114013100,중구
저동2가,1114016100,중구
정동,1114016700,중구
주교동,1114015200,중구
주자동,1114014100,중구
중림동,1114017100,중구
초동,1114015900,중구
충무로1가,1114012400,중구
충무로2가,1114012500,중구
충무로3가,1114015800,중구
충무로4가,1114013200,중구
충무로5가,1114013300,중구
충정로1가,1114017000,중구
태평로1가,1114010300,중구
태평로2가,1114011400,중구
필동1가,1114013700,중구
필동2가,1114013800,중구
필동3가,1114013900,중구
황학동,1114016500,중구
회현동1가,1114012100,중구
회현동2가,1114012200,중구
회현동3가,1114012300,중구
흥인동,1114016300,중구
망우동,4113510300,중랑구
면목동,1126010100,중랑구
묵동,1126010400,중랑구
상봉동,1126010200,중랑구
신내동,1126010600,중랑구
중화동,1126010300,중랑구
