상권_코드,총_유동인구,상권_카페수,상권명,행정동,성공률,상권_면적_m2,인구_밀집도(명/500m2),카페_밀집도(개/500m2),성공률_표시,인구_밀집도_표시,카페_밀집도_표시,최대_월세,최대_보증금,최대_면적,평균_성공확률
3001492,4236889.352941177,49.0,명동 남대문 북창동 다동 무교동 관광특구,명동,41.7,983618.0,2153.7,0.025,41.7%,2153.7명/500m²,0.025개/500m² (총 49개),1500.0,15000.0,337.0,0.41734482823722463
3001495,3538187.230769231,25.0,잠실 관광특구,방이2동,50.0,2462734.0,718.3,0.005,50.0%,718.3명/500m²,0.005개/500m² (총 25개),2520.0,550000.0,760.0,0.5000681123037042
3110001,0.0,2.0,이북5도청사,평창동,38.8,108529.0,0.0,0.009,38.8%,0.0명/500m²,0.009개/500m² (총 2개),150.0,100000.0,303.0,0.3877312306725592
3110002,0.0,4.0,독립문역 1번,무악동,53.0,31531.0,0.0,0.063,53.0%,0.0명/500m²,0.063개/500m² (총 4개),,69000.0,67.0,0.5301701782878476
3110003,169160.5,4.0,세검정초등학교,부암동,55.1,191570.0,441.5,0.01,55.1%,441.5명/500m²,0.01개/500m² (총 4개),680.0,520000.0,683.0,0.550789845372603
3110004,0.0,1.0,대신고등학교,교남동,43.7,18781.0,0.0,0.027,43.7%,0.0명/500m²,0.027개/500m² (총 1개),180.0,4000.0,124.0,0.43739959832865694
3110005,46968.5,2.0,세검정,부암동,48.8,244923.0,95.9,0.004,48.8%,95.9명/500m²,0.004개/500m² (총 2개),180.0,2000.0,99.0,0.4884412409033648
3110006,4422.0,2.0,부암동주민센터,부암동,46.8,91486.0,24.2,0.011,46.8%,24.2명/500m²,0.011개/500m² (총 2개),300.0,10000.0,139.0,0.46778953329571404
3110008,625053.0,28.0,배화여자대학교(박노수미술관),청운효자동,66.4,149264.0,2093.8,0.094,66.4%,2093.8명/500m²,0.094개/500m² (총 28개),330.0,7000.0,100.0,0.6643982269964908
3110009,124984.5,9.0,자하문터널,부암동,68.7,178306.0,350.5,0.025,68.7%,350.5명/500m²,0.025개/500m² (총 9개),650.0,10000.0,360.0,0.6865411337104218
