상권_코드,총_유동인구,상권_카페수,상권명,행정동,성공률,상권_면적_m2,인구_밀집도(명/500m2),카페_밀집도(개/500m2),성공률_표시,인구_밀집도_표시,카페_밀집도_표시,최대_월세,최대_보증금,최대_면적,최대_성공확률
3001491,1897238.2222222225,29,이태원 관광특구,이태원1동,42.3,372565.0,2546.2,0.039,42.3%,2546.2명/500m²,0.039개/500m² (총 29개),250.0,5000.0,48.0,0.6607538364889274
3001492,4236889.352941177,49,명동 남대문 북창동 다동 무교동 관광특구,명동,27.8,983618.0,2153.7,0.025,27.8%,2153.7명/500m²,0.025개/500m² (총 49개),1500.0,15000.0,337.0,0.5037290757891193
3001493,2369813.3333333335,22,동대문패션타운 관광특구,광희동,6.7,606058.0,1955.1,0.018,6.7%,1955.1명/500m²,0.018개/500m² (총 22개),,,,
3001494,0.0,6,종로?청계 관광특구,종로1.2.3.4가동,33.3,653127.0,0.0,0.005,33.3%,0.0명/500m²,0.005개/500m² (총 6개),50.0,50000.0,69.0,0.603258638944277
3001495,3538187.230769231,25,잠실 관광특구,방이2동,36.4,2462734.0,718.3,0.005,36.4%,718.3명/500m²,0.005개/500m² (총 25개),2520.0,550000.0,760.0,0.5774595956548957
3001496,105501.0,10,강남 마이스 관광특구,삼성1동,25.0,237892.0,221.7,0.021,25.0%,221.7명/500m²,0.021개/500m² (총 10개),,,,
3110001,0.0,2,이북5도청사,평창동,29.0,108529.0,0.0,0.009,29.0%,0.0명/500m²,0.009개/500m² (총 2개),150.0,100000.0,303.0,0.4414560597289342
3110002,0.0,4,독립문역 1번,무악동,33.3,31531.0,0.0,0.063,33.3%,0.0명/500m²,0.063개/500m² (총 4개),,69000.0,67.0,0.5578731924498667
3110003,169160.5,4,세검정초등학교,부암동,50.0,191570.0,441.5,0.01,50.0%,441.5명/500m²,0.01개/500m² (총 4개),680.0,520000.0,683.0,0.6628960290284516
3110004,0.0,1,대신고등학교,교남동,29.0,18781.0,0.0,0.027,29.0%,0.0명/500m²,0.027개/500m² (총 1개),180.0,4000.0,124.0,0.487908946256772
3110005,46968.5,2,세검정,부암동,0.0,244923.0,95.9,0.004,0.0%,95.9명/500m²,0.004개/500m² (총 2개),180.0,2000.0,99.0,0.5528515909368945
3110006,4422.0,2,부암동주민센터,부암동,100.0,91486.0,24.2,0.011,100.0%,24.2명/500m²,0.011개/500m² (총 2개),300.0,10000.0,139.0,0.4812200939411031
3110007,538005.5,6,사직공원(한국사회과학도서관),교남동,60.0,80252.0,3352.0,0.037,60.0%,3352.0명/500m²,0.037개/500m² (총 6개),,,,
3110008,625053.0,28,배화여자대학교(박노수미술관),청운효자동,54.5,149264.0,2093.8,0.094,54.5%,2093.8명/500m²,0.094개/500m² (총 28개),330.0,7000.0,100.0,0.6759483820780615
3110009,124984.5,9,자하문터널,부암동,37.5,178306.0,350.5,0.025,37.5%,350.5명/500m²,0.025개/500m² (총 9개),650.0,10000.0,360.0,0.6865411337104218
3110010,167513.3333333333,8,평창동서측,평창동,37.5,369415.0,226.7,0.011,37.5%,226.7명/500m²,0.011개/500m² (총 8개),800.0,900000.0,615.0,0.466029101754394
3110012,430959.75,8,성곡미술관,사직동,62.5,124348.0,1732.9,0.032,62.5%,1732.9명/500m²,0.032개/500m² (총 8개),630.0,235000.0,881.0,0.6376442602868673
3110013,0.0,2,체부동홍종문가옥,사직동,50.0,17064.0,0.0,0.059,50.0%,0.0명/500m²,0.059개/500m² (총 2개),250.0,3000.0,111.0,0.6587837290368712
3110014,28368.0,7,경복고등학교,청운효자동,66.7,63411.0,223.7,0.055,66.7%,223.7명/500m²,0.055개/500m² (총 7개),650.0,400000.0,312.0,0.6034384959630886
3110015,14872.25,4,청와대사랑채,청운효자동,50.0,69399.0,107.2,0.029,50.0%,107.2명/500m²,0.029개/500m² (총 4개),200.0,3000.0,80.0,0.7126722185655046
3110016,11798.5,6,평창동동측,평창동,100.0,522818.0,11.3,0.006,100.0%,11.3명/500m²,0.006개/500m² (총 6개),,,,
3110017,110693.5,4,정독도서관,가회동,33.3,83855.0,660.0,0.024,33.3%,660.0명/500m²,0.024개/500m² (총 4개),600.0,10000.0,164.0,0.7316104587404105
3110018,298411.23529411765,17,중앙고등학교,가회동,50.0,166872.0,894.1,0.051,50.0%,894.1명/500m²,0.051개/500m² (총 17개),500.0,30000.0,217.0,0.6814348235543335
3110019,275955.8666666667,15,창덕궁,종로1.2.3.4가동,14.3,40999.0,3365.4,0.183,14.3%,3365.4명/500m²,0.183개/500m² (총 15개),600.0,10000.0,231.0,0.6792915647420423
3110020,1076050.0,10,서울국제고등학교,혜화동,25.0,133692.0,4024.4,0.037,25.0%,4024.4명/500m²,0.037개/500m² (총 10개),150.0,80000.0,71.0,0.6611926884650976
3110021,768858.5,14,성균관대학교,혜화동,30.8,77655.0,4950.5,0.09,30.8%,4950.5명/500m²,0.09개/500m² (총 14개),500.0,8000.0,133.0,0.7017958337139711
3110022,492915.5,8,경신고등학교,혜화동,28.6,60182.0,4095.2,0.066,28.6%,4095.2명/500m²,0.066개/500m² (총 8개),250.0,70000.0,117.0,0.7046767835500681
3110023,773298.0,6,서울대병원,이화동,0.0,15969.0,24212.5,0.188,0.0%,24212.5명/500m²,0.188개/500m² (총 6개),720.0,15000.0,190.0,0.6562592937158871
3110024,61454.66666666666,9,혜회동주민센터,혜화동,33.3,52850.0,581.4,0.085,33.3%,581.4명/500m²,0.085개/500m² (총 9개),240.0,2000.0,114.0,0.7511518088003012
3110025,0.0,2,충신시장옆,종로5.6가동,29.0,39184.0,0.0,0.026,29.0%,0.0명/500m²,0.026개/500m² (총 2개),130.0,2000.0,27.0,0.6056024322349066
3110026,0.0,1,종로5가역 4번,종로5.6가동,29.0,16485.0,0.0,0.03,29.0%,0.0명/500m²,0.03개/500m² (총 1개),,,,
3110027,239762.0909090909,11,혜화역 1번,이화동,40.0,117673.0,1018.8,0.047,40.0%,1018.8명/500m²,0.047개/500m² (총 11개),690.0,10000.0,291.0,0.6643287750947537
3110028,932200.4444444445,10,이화달팽이길,이화동,20.0,159124.0,2929.2,0.031,20.0%,2929.2명/500m²,0.031개/500m² (총 10개),1600.0,39000.0,350.0,0.6851164399797318
3110029,0.0,7,동대문역 1번,창신2동,42.9,153230.0,0.0,0.023,42.9%,0.0명/500m²,0.023개/500m² (총 7개),200.0,180000.0,120.0,0.6444414986803759
3110031,0.0,3,창신역 1번,창신3동,29.0,32878.0,0.0,0.046,29.0%,0.0명/500m²,0.046개/500m² (총 3개),200.0,3000.0,133.0,0.4946933438074208
3110033,407937.0,2,창신역 4번,숭인1동,0.0,77869.0,2619.4,0.013,0.0%,2619.4명/500m²,0.013개/500m² (총 2개),750.0,400000.0,494.0,0.5999822867370072
3110035,516938.0,5,동묘앞역 2번,숭인2동,0.0,95779.0,2698.6,0.026,0.0%,2698.6명/500m²,0.026개/500m² (총 5개),300.0,4000.0,126.0,0.667232114833138
3110036,0.0,3,동묘앞역 3번,숭인2동,29.0,18431.0,0.0,0.081,29.0%,0.0명/500m²,0.081개/500m² (총 3개),750.0,8000.0,198.0,0.6425041590944828
3110037,239118.5,5,신설동역 12번,숭인2동,20.0,55232.0,2164.7,0.045,20.0%,2164.7명/500m²,0.045개/500m² (총 5개),1215.0,90000.0,291.0,0.6356182606290641
3110038,20295.100000000002,12,경향신문사,소공동,16.7,36893.0,275.1,0.163,16.7%,275.1명/500m²,0.163개/500m² (총 12개),450.0,5000.0,115.0,0.670659815897533
